,descricao_objeto,modalidade licitatoria,processo,objeto,valor_estimado,tipo,texto
10,,nPREGAO,00060-00415310/2018-49," Aquisicao regular do material odontologico CATALISADOR e outros em sistema de registro de\nprecos, para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos\nconstantes no Anexo I deste Edital", 302.194,,"('\nPREGAO ELETRONICO POR SRP No 110/2019 - UASG 926119\nObjeto: Aquisicao regular do material odontologico CATALISADOR e outros em sistema de registro de\nprecos, para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos\nconstantes no Anexo I deste Edital. Processo SEI no: 00060-00415310/2018-49. Total de 15 itens (ampla\nconcorrencia, cotas e exclusividade as ME/EPP). Valor Estimado: R$ 302.194,1040. Cadastro das\nPropostas: a partir de 28/05/2019. Abertura das Propostas: 07/06/2019, as 09 horas, horario de Brasilia, no\nsite www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no\nendereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar,\nsala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
11,,,000020," e contratacao de empresa\nespecializada para implantacao e construcao da Escola Tecnica de Santa Maria, destinada a educacao\nprofissional, a ser localizada na QR 119, conjunto ""A"", lote 01 -RA XIII - Santa Maria/DF, conforme\nespecificacoes tecnicas, detalhes construtivos, projeto basico e executivo elaborados pela coordenacao de\nInfraestrutura e todos os anexos deste edital, referente ao processo n.o 080.000020/2018", 1.200.000,,"('\nCONCORRENCIA No 05/2018\nA COMISSAO PERMANENTE DE LICITACAO, DA SUBSECRETARIA DE ADMINISTRACAO\nGERAL, DA SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL, comunica aos\ninteressados a reabertura do procedimento licitatorio em epigrafe apos ratificacao da Subsecretaria de\nInfraestrutura e Apoio Educacional SIAE/DEDF, quanto ao cumprimento na integra de todas as\nrecomendacoes constantes nas Decisoes 4598/2018 e 1295/2019 TCDF. O objeto e contratacao de empresa\nespecializada para implantacao e construcao da Escola Tecnica de Santa Maria, destinada a educacao\nprofissional, a ser localizada na QR 119, conjunto ""A"", lote 01 -RA XIII - Santa Maria/DF, conforme\nespecificacoes tecnicas, detalhes construtivos, projeto basico e executivo elaborados pela coordenacao de\nInfraestrutura e todos os anexos deste edital, referente ao processo n.o 080.000020/2018. O valor estimado\nda obra e R$ 14.687.647,50 (catorze milhoes, seiscentos e oitenta e sete mil, seiscentos e quarenta e sete\nreais e cinquenta centavos), sendo que o valor de R$ 7.424.984,40 (sete milhoes, quatrocentos e vinte e\nquatro mil, novecentos e oitenta e quatro reais e quarenta centavos) sera custeado com recursos a serem\nrepassados pelo Fundo Nacional de Desenvolvimento da Educacao - FNDE, devendo esta Secretaria de\nEducacao custear com recursos proprios o valor de R$ 7.262.663,10 (sete milhoes, duzentos e sessenta e\ndois mil, seiscentos e sessenta e tres reais e dez centavos) destes, R$ 1.200.000,00 (um milhao e duzentos\nmil reais) registrados no Programa de Trabalho: 12.363.6221.3234.2929; FONTE: 321006826;\nNATUREZA DESPESA: 4.4.90.51. 365 (trezentos e sessenta e cinco) dias corridos - (12 meses) e a\nvigencia Contratual e 1095 (um mil e noventa e cinco) dias corridos. A data de abertura fica definida para\nocorrer no dia 15/01/2020 as 14h00min. Todos os arquivos necessarios a participacao no Certame poderao\nser retirados no SBN Quadra 02 bloco C, sala terreo, edificio Phenicia, mediante entrega de 02 (dois)\nDVDs. O edital podera ser visualizado no sitio www.se.df.gov.br. Os autos ficam com vistas franqueadas\naos interessados', '')"
12,,nPREGAO,00060-00143878/2019-33," Aquisicao regular do medicamento AMOXICILINA PO PARA SUSPENSAO ORAL 250\nMG/5ML FRASCO 150 ML COM DOSEADOR e outros, em sistema de registro de precos, para atender\nas necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no anexo\nI do edital", 8.266.655,,"('\nPREGAO ELETRONICO POR SRP No 245/2018 - UASG 926119\nObjeto: Aquisicao regular do medicamento AMOXICILINA PO PARA SUSPENSAO ORAL 250\nMG/5ML FRASCO 150 ML COM DOSEADOR e outros, em sistema de registro de precos, para atender\nas necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no anexo\nI do edital. Processo SEI no: 00060-00143878/2019-33. Total de 17 itens (Ampla concorrencia, cotas\nreservadas e itens exclusivos as ME/EPP). Valor Estimado: R$ 8.266.655,22. Cadastro das Propostas: a\npartir de 06/12/2019. Abertura das Propostas: 18/12/2019, as 09 horas, horario de Brasilia, no site\nwww.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco:\nSAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83,\nCentral de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
13,,nPREGAO,," Contratacao de empresa especializada para prestacao de servico de fornecimento de passagens\naereas, mediante a instalacao, em computadores do Tribunal de Contas do Distrito Federal (TCDF)\npreviamente indicados, de sistema ""online"" automatizado via rede mundial de computadores,\ncontemplando o servico de agenciamento de viagens, sob demanda, considerando a cotacao, reserva,\nemissao, remarcacao e cancelamento de passagens aereas nacionais e internacionais, para atendimento\ndas necessidades do TCDF, durante o exercicio de 2020", 288.327,,"('\nPREGAO ELETRONICO No 26/2019\nObjeto: Contratacao de empresa especializada para prestacao de servico de fornecimento de passagens\naereas, mediante a instalacao, em computadores do Tribunal de Contas do Distrito Federal (TCDF)\npreviamente indicados, de sistema ""online"" automatizado via rede mundial de computadores,\ncontemplando o servico de agenciamento de viagens, sob demanda, considerando a cotacao, reserva,\nemissao, remarcacao e cancelamento de passagens aereas nacionais e internacionais, para atendimento\ndas necessidades do TCDF, durante o exercicio de 2020. Processo: 23378/2019-TCDF. Valor estimado:\nR$ 288.327,00; enquadramento: natureza 33.90.33.01 - Passagens e Despesas com Locomocao;\n33.90.33.02 - Passagens e Despesas com Locomocao; 33.90.33.05 - Passagens e Despesas com\nLocomocao; classificacao funcional e programatica 01.122.6003.8517.0019 - Manutencao de Servicos\nAdministrativos Gerais do TCDF; fonte de Recursos 100. Data limite de recebimento das propostas:\n18/12/2019, as 14h30min. Copia do Edital encontra-se a disposicao no Servico de Licitacao,\nlocalizado no 2o Andar do Ed. Anexo do TCDF, telefone (61) 3314-2742 ou pelos sitios:\nwww.tc.df.gov.br e www.comprasnet.gov.br (UASG: 974003). A Sessao Publica sera processada no\nsitio do ComprasNet, nos termos do Edital. Em atendimento a Lei Distrital no 5.453/2015, as\ninformacoes referentes ao certame tambem estao disponiveis no sitio www.tc.df.gov.br, link: Consulta\nProcesso do TCDF', '')"
14,,nPREGAO,00054-00024068/2018-22," Contratacao de empresa especializada na\nprestacao de servico telefonico fixo comutado (STFC), nas modalidades local e longa distancia nacional e\ninternacional, por meio de entroncamento padrao E1 com acessos de ramais DDR (Discagem Direta a\nRamal), para atendimento as necessidades da Policia Militar do Distrito Federal conforme condicoes,\nquantidades e especificacoes minimas constantes no Termo de Referencia, Anexo I do Edital",,\nmenor preco global,"('\nPREGAO ELETRONICO No 45/2019\nProcesso SEI-GDF no 00054-00024068/2018-22. Objeto: Contratacao de empresa especializada na\nprestacao de servico telefonico fixo comutado (STFC), nas modalidades local e longa distancia nacional e\ninternacional, por meio de entroncamento padrao E1 com acessos de ramais DDR (Discagem Direta a\nRamal), para atendimento as necessidades da Policia Militar do Distrito Federal conforme condicoes,\nquantidades e especificacoes minimas constantes no Termo de Referencia, Anexo I do Edital. Valor\nestimado: R$ 180.128,76 (cento e oitenta mil e cento e vinte e oito reais e setenta e seis centavos). Tipo:\nmenor preco global. Data limita para recebimento das propostas: Dia 24/12/2019 as 08h (horario de\nBrasilia/DF). Unidade Orcamentaria: FCDF 100, Funcao 28, programa 845, subprograma 0903. Elemento\nde Despesas 3.3.90.39. Copia do Edital se encontra no sitio www.comprasgovernamentais.gov.br e em\nwww.pm.df.gov.br. UASG: 926016. Informacoes: 3190-5555/3190-5556/3190-5557/3190-5559', '')"
15,,nPREGAO,00060-00143878/2019-33," Aquisicao regular do medicamento AMOXICILINA PO PARA SUSPENSAO ORAL 250\nMG/5ML FRASCO 150 ML COM DOSEADOR e outros, em sistema de registro de precos, para atender\nas necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no anexo\nI do edital", 8.266.655,,"('\nPREGAO ELETRONICO POR SRP No 245/2019 - UASG 926119 (*)\nObjeto: Aquisicao regular do medicamento AMOXICILINA PO PARA SUSPENSAO ORAL 250\nMG/5ML FRASCO 150 ML COM DOSEADOR e outros, em sistema de registro de precos, para atender\nas necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no anexo\nI do edital. Processo SEI no: 00060-00143878/2019-33. Total de 17 itens (Ampla concorrencia, cotas\nreservadas e itens exclusivos as ME/EPP). Valor Estimado: R$ 8.266.655,22. Cadastro das Propostas: a\npartir de 06/12/2019. Abertura das Propostas: 18/12/2019, as 09 horas, horario de Brasilia, no site\nwww.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco:\nSAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83,\nCentral de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
16,,nPREGAO,00060-00198360/2019-37," Aquisicao regular do medicamento BIPERIDENO (CLORIDRATO) COMPRIMIDO 2 MG e outros\nem sistema de registro de precos, para atender as necessidades da Secretaria de Saude - DF, conforme\nespecificacoes e quantitativos constantes no anexo I do edital", 9.141.081,,"('\nPREGAO ELETRONICO POR SRP No 235/2019 - UASG 926119\nObjeto: Aquisicao regular do medicamento BIPERIDENO (CLORIDRATO) COMPRIMIDO 2 MG e outros\nem sistema de registro de precos, para atender as necessidades da Secretaria de Saude - DF, conforme\nespecificacoes e quantitativos constantes no anexo I do edital. Processo SEI no: 00060-00198360/2019-37. Total\nde 21 itens (Ampla concorrencia, cotas e exclusividade as ME/EPP). Valor Estimado: R$ 9.141.081,9100', '')"
17,,nPREGAO,00053-00060646/2019-01," Registro de precos para\neventual aquisicao de Liquido/Extrato Gerador de Espuma (LGE) compativel com o Sistema de Espuma\npor Ar Comprimido (CAFS) do CBMDF, conforme Edital e anexos",, Menor preco,"('', '\nPREGAO ELETRONICO No 48/2019\nProcesso: 00053-00060646/2019-01/CBMDF. TIPO: Menor preco. OBJETO: Registro de precos para\neventual aquisicao de Liquido/Extrato Gerador de Espuma (LGE) compativel com o Sistema de Espuma\npor Ar Comprimido (CAFS) do CBMDF, conforme Edital e anexos. O DICOA informa a NOVA\nABERTURA da licitacao publicada inicialmente no DODF No 154 e DOU No 157 ambos de 15/08/2019,\npara o dia 22/10/2019 as 13:30h. LOCAL: site: www.comprasnet.gov.br. RETIRADA DO EDITAL pela\ninternet, nos sites www.cbm.df.gov.br e www.comprasnet.gov.br. UASG: 170394. Inf.: (61) 3901-3481')"
18,,nPREGAO,00401-00001097/2019-82," Contratacao de empresa especializada na prestacao de\nservico continuado de manutencao preventiva, corretiva, e servicos eventuais por demanda nas\ninstalacoes prediais e mobiliarios pertencentes a Defensoria Publica do Distrito Federal - DPDF e dos\nque estejam sob sua responsabilidade, localizados no Distrito Federal, com o fornecimento de mao-\nde-obra, materiais, ferramentas, maquinas, equipamentos e transporte de seus funcionarios, conforme\nespecificacoes, quantitativos e condicoes estabelecidas neste Edital e seus anexos, mediante SISTEMA\nDE REGISTRO DE PRECOS (SRP)",, de Licitacao: menor preco global,"(' DE LICITACAO\nPREGAO ELETRONICO No 07/2019 - (UASG: 926314)\nSISTEMA DE REGISTRO DE PRECOS\nProcesso: 00401-00001097/2019-82. Objeto: Contratacao de empresa especializada na prestacao de\nservico continuado de manutencao preventiva, corretiva, e servicos eventuais por demanda nas\ninstalacoes prediais e mobiliarios pertencentes a Defensoria Publica do Distrito Federal - DPDF e dos\nque estejam sob sua responsabilidade, localizados no Distrito Federal, com o fornecimento de mao-\nde-obra, materiais, ferramentas, maquinas, equipamentos e transporte de seus funcionarios, conforme\nespecificacoes, quantitativos e condicoes estabelecidas neste Edital e seus anexos, mediante SISTEMA\nDE REGISTRO DE PRECOS (SRP). A despesa com a execucao do objeto desta licitacao e estimada\nem R$ 2.977.602,90 (dois milhoes, novecentos e setenta e sete mil seiscentos e dois reais e noventa\ncentavos). Tipo de Licitacao: menor preco global. Data e horario de abertura do certame as 14h30 do\ndia 08 de novembro de 2019. O Edital podera ser retirado nos enderecos eletronicos\nwww.comprasgovernamentais.gov.br  e http://transparencia.defensoria.df.gov.br/.  Informacoes pelo\ntelefone: (61) 2196-4387', '')"
19,,nPREGAO,000034," Contratacao de Empresa para prestacao de servicos tecnicos\nespecializados na area de sustentacao de Tecnologia da Informacao e Comunicacao (TIC) da PCDF,\nconforme Anexo I do Edital", 14.403.173, Menor Preco,"('\nPREGAO ELETRONICO No 10/2019\nProcesso: 052.000034/2017 OBJETO: Contratacao de Empresa para prestacao de servicos tecnicos\nespecializados na area de sustentacao de Tecnologia da Informacao e Comunicacao (TIC) da PCDF,\nconforme Anexo I do Edital. TIPO: Menor Preco. Valor estimado da licitacao: R$ 14.403.173,56 (quatorze\nmilhoes, quatrocentos e tres mil, cento e setenta e tres reais e cinquenta e seis centavos). Natureza de\nDespesa: 33.90.40, Fonte 100 (FCDF). Programa de Trabalho 28.845.0903.00NR.0053 - Manutencao da\nPolicia Civil do Distrito Federal. Unidade Orcamentaria: 73.901. UASG 926015. Prazo de execucao:\nconforme edital. Data limite do recebimento das propostas: 1o de novembro de 2019, as 10h30. O Edital,\ncom todos seus anexos, devera ser obtido no site www.comprasnet.gov.br ou www.pcdf.df.gov.br ou ainda\nna Comissao Permanente de Licitacao, localizada no SPO, Conjunto A, Lote 23, Edificio da Direcao Geral,\n3o Andar, Complexo da PCDF, Brasilia-DF, nos dias uteis, no horario: das 12h as 18h30min, atraves de\nCD, o qual devera ser fornecido pelo interessado. Maiores informacoes na CPL/PCDF fones: 3207-\n4071/4046', '')"
