,processo,objeto,valor_estimado,prazo,tipo,data,texto
10,00050-00010640/2018-89," Aquisicao de
atualizacao de assinatura de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo
manutencao ""on-site"", com upgrade para versao mais atual e atualizacao de assinaturas e demais modulos
da solucao, alem de garantia por um periodo minimo de 36 (trinta e seis) meses, conforme especificacoes
e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital","306.182,86"," De Entrega: no maximo 45 (quarenta e cinco) dias corridos, contados a partir
da assinatura do Contrato. De Vigencia do Contrato: 12 meses. De Atualizacao: por um periodo minimo
de 36  meses. ", Menor Preco,21/02/2019 as 09:00,"
PREGAO ELETRONICO No 18/2018
PROCESSO SEI-GDF: 00050-00010640/2018-89. TIPO: Menor Preco. OBJETO: Aquisicao de
atualizacao de assinatura de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo
manutencao ""on-site"", com upgrade para versao mais atual e atualizacao de assinaturas e demais modulos
da solucao, alem de garantia por um periodo minimo de 36 (trinta e seis) meses, conforme especificacoes
e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital. VALOR ESTIMADO:
R$ 306.182,86. PRAZOS: De Entrega: no maximo 45 (quarenta e cinco) dias corridos, contados a partir
da assinatura do Contrato. De Vigencia do Contrato: 12 meses. De Atualizacao: por um periodo minimo
de 36  meses. DATA DA  SESSAO PUBLICA:  21/02/2019 as 09:00  horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r.
AMILCAR UBIRATAN URACH VIEIRA
Coordenador"
11,," Registro de Precos para futura aquisicao
de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de Seguranca Publica","54.208,84"," Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90
(noventa) dias a partir da data da assinatura. ", Menor Preco,22/02/2019 as 09:30,"
PREGAO ELETRONICO No 07/2019
PROCESSO: 00050-0012995/2018-11. TIPO: Menor Preco. OBJETO: Registro de Precos para futura aquisicao
de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de Seguranca Publica. VALOR
ESTIMADO: R$ 54.208,84. PRAZOS: Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90
(noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 22/02/2019 as 09:30 horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r.
Brasilia/DF, 11 de fevereiro de 2019
AMILCAR UBIRATAN URACH VIEIRA
Coordenador"
12,," prestacao de servicos de apoio administrativo, por meio de
recepcionistas, para a CLDF, conforme Termo de Referencia, Anexo I do Edital","553.232,16",,  menor preco  global,"26/02/2019, as 10:00","
PREGAO ELETRONICO No 04/2019
Processo: 001-000984/2017. Objeto: prestacao de servicos de apoio administrativo, por meio de
recepcionistas, para a CLDF, conforme Termo de Referencia, Anexo I do Edital. Valor estimado: R$
553.232,16. Data/hora da Sessao Publica: 26/02/2019, as 10:00. Local: Internet, no endereco
www.comprasnet.gov.br.  Tipo:  menor preco  global.  O  edital encontra-se  nos  enderecos:
www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link transparencia. Maiores informacoes
(61) 3348-8650. Brasilia-DF, 12/02/2019. Daniel Luchine Ishihara - Pregoeiro."
13,,,,,,," PRESENCIAL No 11/2018
O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras - CPLIC/TERRACAP, no uso
das atribuicoes que lhe confere a Portaria no 105/2018-PRESI, comunica a realizacao do seguinte certame."
14,," Contratacao de empresa especializada para manutencao corretiva com
fornecimento de pecas novas e originais a 840 (oitocentos e quarenta) computadores de marca HP-Hewlett
Packard, todos de modelo EliteOne 800 G1, por 12 meses consecutivos, para Camara Legislativa do
Distrito Federal, de acordo com as especificacoes e quantitativos constantes do Termo de Referencia -
Anexo I do Edital","269.640,00",, menor preco global,"12/03/2019, as 09:30","
PREGAO ELETRONICO No 05/2019
Processo: 001-000605/2018. Objeto: Contratacao de empresa especializada para manutencao corretiva com
fornecimento de pecas novas e originais a 840 (oitocentos e quarenta) computadores de marca HP-Hewlett
Packard, todos de modelo EliteOne 800 G1, por 12 meses consecutivos, para Camara Legislativa do
Distrito Federal, de acordo com as especificacoes e quantitativos constantes do Termo de Referencia -
Anexo I do Edital. Valor estimado: R$ 269.640,00. Data/hora da Sessao Publica: 12/03/2019, as 09:30.
Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor preco global. O edital encontra-se nos
enderecos: www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link transparencia. Maiores
informacoes (61) 3348-8650. Brasilia/DF, 18/02/2019. Dirceu Falcao da Mota Neto - Pregoeiro."
15,," Fornecimento de licencas de software AutoDesk Revit LT Suite com
3 (tres) anos de assinatura e suporte por 12 (doze) meses","15.120,00",, menor preco por item/menor preco por grupo,,"
LICITACAO EXCLUSIVA
PREGAO ELETRONICO No 01/2019
Processo: 001-000412/2018. Objeto: Fornecimento de licencas de software AutoDesk Revit LT Suite com
3 (tres) anos de assinatura e suporte por 12 (doze) meses. Valor estimado: R$ 15.120,00 (quinze mil, cento
e vinte reais). Data e horario para inicio da sessao publica: as 14h00min do dia 11 de marco de 2019. Local
da sessao: COMPRASNET. Tipo: menor preco por item/menor preco por grupo. O respectivo edital podera
ser retirado nos enderecos eletronicos: www.comprasgovernamentais.gov.br (UASG: 974004) ou
www.cl.df.gov.br. Maiores informacoes pelos telefones (61) 3348-8651; 3348-8650; 3348-8652.
Brasilia/DF, 18 de fevereiro de 2019. Daniel Luchine Ishihara - Pregoeiro."
16,," Aquisicao de generos alimenticios pereciveis (carne bovina moida de acem em IQF, carne
bovina de paleta em iscas em IQF, file de coxa e sobrecoxa de frango congelada, file de peito de
frango congelado e ovo de galinha) por meio de Registro de Precos para o Programa de Alimentacao
Escolar do Distrito Federal (PAE-DF), conforme especificacoes e condicoes estabelecidas no Termo de
Referencia, edital e seus anexos, no valor global estimado de R$ R$ 51","51.569.983,97",,,15 de marco de 2019,"
PREGAO ELETRONICO SRP No 02/2019
(UASG 450432)
Objeto: Aquisicao de generos alimenticios pereciveis (carne bovina moida de acem em IQF, carne
bovina de paleta em iscas em IQF, file de coxa e sobrecoxa de frango congelada, file de peito de
frango congelado e ovo de galinha) por meio de Registro de Precos para o Programa de Alimentacao
Escolar do Distrito Federal (PAE-DF), conforme especificacoes e condicoes estabelecidas no Termo de
Referencia, edital e seus anexos, no valor global estimado de R$ R$ 51.569.983,97 (cinquenta e um
milhoes, quinhentos e sessenta e nove mil, novecentos e oitenta e tres reais e noventa e sete
centavos)., com data e horario marcado para abertura do certame as 10h do dia 15 de marco de 2019,
objeto do procedimento administrativo no 00080-00142604/2018-71. O Edital podera ser retirado
exclusivamente no endereco eletronico https://www.comprasgovernamentais.gov.br, Informacoes
referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do endereco
https://www.comprasgovernamentais.gov.br. Brasilia - DF.
Brasilia/DF, 27 de fevereiro de 2019.
JOSEMAR SALVIANO DA SILVA
Pregoeiro"
17,," Contratacao de empresa especializada na prestacao de servicos de manutencao preventiva e
corretiva em equipamentos de aparelhos de ar condicionado de janela e ar condicionado Split, com
eventual reposicao de pecas, pertencentes ao patrimonio desta Secretaria de Estado de Educacao do
Distrito Federal - SEEDF, conforme especificacoes e condicoes estabelecidas no Edital e seus Anexos,
no valor global estimado de R$ 731","731.844,00",,,,"
PREGAO ELETRONICO No 03/2019
(UASG 450432)
Objeto: Contratacao de empresa especializada na prestacao de servicos de manutencao preventiva e
corretiva em equipamentos de aparelhos de ar condicionado de janela e ar condicionado Split, com
eventual reposicao de pecas, pertencentes ao patrimonio desta Secretaria de Estado de Educacao do
Distrito Federal - SEEDF, conforme especificacoes e condicoes estabelecidas no Edital e seus Anexos,
no valor global estimado de R$ 731.844,00 (setecentos e trinta e um mil, oitocentos e quarenta e
quatro reais), com data e horario marcado para abertura do certame as 11 horas do dia 15 de marco
de 2019, objeto do procedimento administrativo no 00080-00027155/2017-51. O Edital podera ser
retirado exclusivamente  no endereco  eletronico https://www.comprasgove r n a m e n t a i s . g o v. b r,
Informacoes referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do
endereco https://www.comprasgovernamentais.gov.br. Brasilia - DF.
Brasilia/DF, 27 de fevereiro de 2019.
JOSEMAR SALVIANO DA SILVA
Pregoeiro"
18,," Aquisicao de veiculos automotores tipo sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas","449.500,00",," sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas",,"
PREGAO ELETRONICO No 07/2019
Processo: 001-000361/2019. Objeto: Aquisicao de veiculos automotores tipo sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas. Valor estimado: R$
449.500,00 (quatrocentos e quarenta e nove mil, quinhentos reais). Data e horario para inicio da sessao
publica: as 14h00min do dia 26 de marco de 2019. Local da sessao: COMPRASNET. Tipo: menor preco
por item/menor preco por grupo. O respectivo edital podera ser retirado nos enderecos eletronicos:
www.comprasgovernamentais.gov.br (UASG: 974004) ou www.cl.df.gov.br. Maiores informacoes pelos
telefones (61) 3348-8651; 3348-8650; 3348-8652.
Brasilia/DF, 08 de marco de 2019.
DANIEL LUCHINE ISHIHARA
Pregoeiro"
19,00072-00005869/2018-71," Aquisicao de material para
Manutencao de Veiculos (Pneus Automotivos e oleo para motor e transmissao)","49.128,52"," de entrega: Conforme Termo de Referencia.
Recebimento das Propostas: ate 21/03/2019 as 14h00min no endereco eletronico www.comprasnet.gov.br
UASG 926241. ", Menor Preco por item,21/03/2019 as 14h01,"
PREGAO ELETRONICO No 02/2019
PROCESSO: 00072-00005869/2018-71. Tipo: Menor Preco por item. Objeto: Aquisicao de material para
Manutencao de Veiculos (Pneus Automotivos e oleo para motor e transmissao). Valor estimado: R$
49.128,52 (quarenta e nove mil cento e vinte e oito reais e cinquenta e dois centavos). Programa de
Trabalho: 20.122.6001.8517.0093. Fonte: 100. Prazo de entrega: Conforme Termo de Referencia.
Recebimento das Propostas: ate 21/03/2019 as 14h00min no endereco eletronico www.comprasnet.gov.br
UASG 926241. Data da Sessao Publica: 21/03/2019 as 14h01min. Edital disponivel no endereco descrito
acima.
JOAO DE DEUS ABREU SOARES
Pregoeiro"
20,," Contratacao de servicos continuos pre-hospitalares moveis de
urgencia e emergencia com ambulancia de suporte avancado (tipo D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital","67.699,92",," D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital",,"
PREGAO ELETRONICO No 08/2019
Processo no 001-001177/2017. Objeto: Contratacao de servicos continuos pre-hospitalares moveis de
urgencia e emergencia com ambulancia de suporte avancado (tipo D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital. Valor estimado: R$ 67.699,92. Data/hora da Sessao Publica: 09/04/2019,
as 09:30. Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor preco global. O edital
encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link
transparencia. Maiores informacoes (61) 3348-8650.
Brasilia/DF, 26 de marco de 2019.
DIRCEU FALCAO DA MOTA NETO
Pregoeiro"
21,," Aquisicao de material de consumo, materiais de informatica para
atender as necessidades da CLDF","33.943,53",," menor 
preco
por
item",," EXCLUSIVA
PREGAO ELETRONICO No 09/2019
Processo no 001-000.753/2018. Objeto: Aquisicao de material de consumo, materiais de informatica para
atender as necessidades da CLDF. Valor estimado: R$ 33.943,53. Data/hora da Sessao Publica: 09/04/2019,
as  10:00. Local:  Internet no  endereco www.comprasnet.gov.br.  Tipo: menor 
preco
por
item. O edital encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) ou www.cl.df.gov.br,
no link transparencia. Maiores informacoes (61) 3348-8650.
Brasilia/DF, 26 de marco de 2019
DOUGLAS BRUNO
Pregoeiro"
