,processo,objeto,valor_estimado,prazo,tipo,data,texto
10,00050-00010640/2018-89," Aquisicao de
atualizacao de assinatura de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo
manutencao ""on-site"", com upgrade para versao mais atual e atualizacao de assinaturas e demais modulos
da solucao, alem de garantia por um periodo minimo de 36 (trinta e seis) meses, conforme especificacoes
e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital","306.182,86"," De Entrega: no maximo 45 (quarenta e cinco) dias corridos, contados a partir
da assinatura do Contrato. De Vigencia do Contrato: 12 meses. De Atualizacao: por um periodo minimo
de 36  meses. ", Menor Preco,nan,"
PREGAO ELETRONICO No 18/2018
PROCESSO SEI-GDF: 00050-00010640/2018-89. TIPO: Menor Preco. OBJETO: Aquisicao de
atualizacao de assinatura de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo
manutencao ""on-site"", com upgrade para versao mais atual e atualizacao de assinaturas e demais modulos
da solucao, alem de garantia por um periodo minimo de 36 (trinta e seis) meses, conforme especificacoes
e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital. VALOR ESTIMADO:
R$ 306.182,86. PRAZOS: De Entrega: no maximo 45 (quarenta e cinco) dias corridos, contados a partir
da assinatura do Contrato. De Vigencia do Contrato: 12 meses. De Atualizacao: por um periodo minimo
de 36  meses. DATA DA  SESSAO PUBLICA:  21/02/2019 as 09:00  horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r"
11,nan," Registro de Precos para futura aquisicao
de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de Seguranca Publica","54.208,84"," Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90
(noventa) dias a partir da data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 07/2019
PROCESSO: 00050-0012995/2018-11. TIPO: Menor Preco. OBJETO: Registro de Precos para futura aquisicao
de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de Seguranca Publica. VALOR
ESTIMADO: R$ 54.208,84. PRAZOS: Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90
(noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 22/02/2019 as 09:30 horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r"
12,nan," prestacao de servicos de apoio administrativo, por meio de
recepcionistas, para a CLDF, conforme Termo de Referencia, Anexo I do Edital","553.232,16",nan,  menor preco  global,nan,"
PREGAO ELETRONICO No 04/2019
Processo: 001-000984/2017. Objeto: prestacao de servicos de apoio administrativo, por meio de
recepcionistas, para a CLDF, conforme Termo de Referencia, Anexo I do Edital. Valor estimado: R$
553.232,16. Data/hora da Sessao Publica: 26/02/2019, as 10:00. Local: Internet, no endereco
www.comprasnet.gov.br.  Tipo:  menor preco  global.  O  edital encontra-se  nos  enderecos:
www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link transparencia. Maiores informacoes
(61) 3348-8650. Brasilia-DF, 12/02/2019. Daniel Luchine Ishihara - Pregoeiro"
13,nan,nan,nan,nan,nan,nan," PRESENCIAL No 11/2018
O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras - CPLIC/TERRACAP, no uso
das atribuicoes que lhe confere a Portaria no 105/2018-PRESI, comunica a realizacao do seguinte certame"
14,nan," Contratacao de empresa especializada para manutencao corretiva com
fornecimento de pecas novas e originais a 840 (oitocentos e quarenta) computadores de marca HP-Hewlett
Packard, todos de modelo EliteOne 800 G1, por 12 meses consecutivos, para Camara Legislativa do
Distrito Federal, de acordo com as especificacoes e quantitativos constantes do Termo de Referencia -
Anexo I do Edital","269.640,00",nan,nan,nan,"
PREGAO ELETRONICO No 05/2019
Processo: 001-000605/2018. Objeto: Contratacao de empresa especializada para manutencao corretiva com
fornecimento de pecas novas e originais a 840 (oitocentos e quarenta) computadores de marca HP-Hewlett
Packard, todos de modelo EliteOne 800 G1, por 12 meses consecutivos, para Camara Legislativa do
Distrito Federal, de acordo com as especificacoes e quantitativos constantes do Termo de Referencia -
Anexo I do Edital. Valor estimado: R$ 269.640,00. Data/hora da Sessao Publica: 12/03/2019, as 09:30"
15,nan," Fornecimento de licencas de software AutoDesk Revit LT Suite com
3 (tres) anos de assinatura e suporte por 12 (doze) meses","15.120,00",nan, menor preco por item/menor preco por grupo,nan,"
LICITACAO EXCLUSIVA
PREGAO ELETRONICO No 01/2019
Processo: 001-000412/2018. Objeto: Fornecimento de licencas de software AutoDesk Revit LT Suite com
3 (tres) anos de assinatura e suporte por 12 (doze) meses. Valor estimado: R$ 15.120,00 (quinze mil, cento
e vinte reais). Data e horario para inicio da sessao publica: as 14h00min do dia 11 de marco de 2019. Local
da sessao: COMPRASNET. Tipo: menor preco por item/menor preco por grupo. O respectivo edital podera
ser retirado nos enderecos eletronicos: www.comprasgovernamentais.gov.br (UASG: 974004) ou
www.cl.df.gov.br. Maiores informacoes pelos telefones (61) 3348-8651; 3348-8650; 3348-8652"
16,nan," Aquisicao de generos alimenticios pereciveis (carne bovina moida de acem em IQF, carne
bovina de paleta em iscas em IQF, file de coxa e sobrecoxa de frango congelada, file de peito de
frango congelado e ovo de galinha) por meio de Registro de Precos para o Programa de Alimentacao
Escolar do Distrito Federal (PAE-DF), conforme especificacoes e condicoes estabelecidas no Termo de
Referencia, edital e seus anexos, no valor global estimado de R$ R$ 51","51.569.983,97",nan,nan,nan,"
PREGAO ELETRONICO SRP No 02/2019
(UASG 450432)
Objeto: Aquisicao de generos alimenticios pereciveis (carne bovina moida de acem em IQF, carne
bovina de paleta em iscas em IQF, file de coxa e sobrecoxa de frango congelada, file de peito de
frango congelado e ovo de galinha) por meio de Registro de Precos para o Programa de Alimentacao
Escolar do Distrito Federal (PAE-DF), conforme especificacoes e condicoes estabelecidas no Termo de
Referencia, edital e seus anexos, no valor global estimado de R$ R$ 51.569.983,97 (cinquenta e um
milhoes, quinhentos e sessenta e nove mil, novecentos e oitenta e tres reais e noventa e sete
centavos)., com data e horario marcado para abertura do certame as 10h do dia 15 de marco de 2019,
objeto do procedimento administrativo no 00080-00142604/2018-71. O Edital podera ser retirado
exclusivamente no endereco eletronico https://www.comprasgovernamentais.gov.br, Informacoes
referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do endereco
https://www.comprasgovernamentais.gov.br. Brasilia - DF"
17,nan," Contratacao de empresa especializada na prestacao de servicos de manutencao preventiva e
corretiva em equipamentos de aparelhos de ar condicionado de janela e ar condicionado Split, com
eventual reposicao de pecas, pertencentes ao patrimonio desta Secretaria de Estado de Educacao do
Distrito Federal - SEEDF, conforme especificacoes e condicoes estabelecidas no Edital e seus Anexos,
no valor global estimado de R$ 731","731.844,00",nan,nan,nan,"
PREGAO ELETRONICO No 03/2019
(UASG 450432)
Objeto: Contratacao de empresa especializada na prestacao de servicos de manutencao preventiva e
corretiva em equipamentos de aparelhos de ar condicionado de janela e ar condicionado Split, com
eventual reposicao de pecas, pertencentes ao patrimonio desta Secretaria de Estado de Educacao do
Distrito Federal - SEEDF, conforme especificacoes e condicoes estabelecidas no Edital e seus Anexos,
no valor global estimado de R$ 731.844,00 (setecentos e trinta e um mil, oitocentos e quarenta e
quatro reais), com data e horario marcado para abertura do certame as 11 horas do dia 15 de marco
de 2019, objeto do procedimento administrativo no 00080-00027155/2017-51. O Edital podera ser
retirado exclusivamente  no endereco  eletronico https://www.comprasgove r n a m e n t a i s . g o v. b r,
Informacoes referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do
endereco https://www.comprasgovernamentais.gov.br. Brasilia - DF"
18,nan," Aquisicao de veiculos automotores tipo sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas","449.500,00",nan," sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas",nan,"
PREGAO ELETRONICO No 07/2019
Processo: 001-000361/2019. Objeto: Aquisicao de veiculos automotores tipo sedan medio, destinado a
transporte rodoviario de Deputados Distritais, Membros da Mesa Diretora e servidores da Camara
Legislativa do Distrito Federal em atividades parlamentares e administrativas. Valor estimado: R$
449.500,00 (quatrocentos e quarenta e nove mil, quinhentos reais). Data e horario para inicio da sessao
publica: as 14h00min do dia 26 de marco de 2019. Local da sessao: COMPRASNET. Tipo: menor preco
por item/menor preco por grupo. O respectivo edital podera ser retirado nos enderecos eletronicos:
www.comprasgovernamentais.gov.br (UASG: 974004) ou www.cl.df.gov.br. Maiores informacoes pelos
telefones (61) 3348-8651; 3348-8650; 3348-8652"
19,00072-00005869/2018-71," Aquisicao de material para
Manutencao de Veiculos (Pneus Automotivos e oleo para motor e transmissao)","49.128,52",nan, Menor Preco por item,nan,"
PREGAO ELETRONICO No 02/2019
PROCESSO: 00072-00005869/2018-71. Tipo: Menor Preco por item. Objeto: Aquisicao de material para
Manutencao de Veiculos (Pneus Automotivos e oleo para motor e transmissao). Valor estimado: R$
49.128,52 (quarenta e nove mil cento e vinte e oito reais e cinquenta e dois centavos). Programa de
Trabalho: 20.122.6001.8517.0093. Fonte: 100. Prazo de entrega: Conforme Termo de Referencia"
20,nan," Contratacao de servicos continuos pre-hospitalares moveis de
urgencia e emergencia com ambulancia de suporte avancado (tipo D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital","67.699,92",nan," D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital",nan,"
PREGAO ELETRONICO No 08/2019
Processo no 001-001177/2017. Objeto: Contratacao de servicos continuos pre-hospitalares moveis de
urgencia e emergencia com ambulancia de suporte avancado (tipo D - UTI-movel) para atender edificio
sede e perimetro da Camara Legislativa do Distrito Federal - CLDF e durante o transcurso de eventos
externos, de acordo com as condicoes, quantidades, exigencias e estimativas constantes do Termo de
Referencia - Anexo I do Edital. Valor estimado: R$ 67.699,92. Data/hora da Sessao Publica: 09/04/2019,
as 09:30. Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor preco global. O edital
encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link
transparencia. Maiores informacoes (61) 3348-8650"
21,nan," Aquisicao de material de consumo, materiais de informatica para
atender as necessidades da CLDF","33.943,53",nan," menor 
preco
por
item",nan," EXCLUSIVA
PREGAO ELETRONICO No 09/2019
Processo no 001-000.753/2018. Objeto: Aquisicao de material de consumo, materiais de informatica para
atender as necessidades da CLDF. Valor estimado: R$ 33.943,53. Data/hora da Sessao Publica: 09/04/2019,
as  10:00. Local:  Internet no  endereco www.comprasnet.gov.br.  Tipo: menor 
preco
por
item. O edital encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) ou www.cl.df.gov.br,
no link transparencia. Maiores informacoes (61) 3348-8650"
22,00050-00048214/2018-18," Registro de precos para futura
aquisicao de cartuchos de toner para impressora multifuncional marca Brother, modelo MFC-8952DW, a
fim de atender demanda da Secretaria de Estado de Seguranca Publica, conforme especificacoes e
quantitativos constantes no Termo de referencia que segue como Anexo I do Edital","41.250,00"," Entrega: ate 30 dias corridos contados do recebimento da Nota de Empenho e/ou
da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90 (noventa)
dias a partir da data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 33/2018
PARTICIPACAO EXCLUSIVA DE ME/EPP
PROCESSO: 00050-00048214/2018-18. TIPO: Menor Preco. OBJETO: Registro de precos para futura
aquisicao de cartuchos de toner para impressora multifuncional marca Brother, modelo MFC-8952DW, a
fim de atender demanda da Secretaria de Estado de Seguranca Publica, conforme especificacoes e
quantitativos constantes no Termo de referencia que segue como Anexo I do Edital. VALOR ESTIMADO:
R$ 41.250,00. PRAZOS: Entrega: ate 30 dias corridos contados do recebimento da Nota de Empenho e/ou
da assinatura do contrato. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90 (noventa)
dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 08/04/2019 as 15:00 horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r"
23,00050-00049042/2018-08," Contratacao de empresa
especializada para realizacao de servico de locacao de 10 (dez) equipamentos de Raio X (body scan e seus
perifericos), compreendendo servico de locacao dos equipamentos, manutencoes preventivas e corretivas
dos equipamentos e cursos de treinamento para os operadores das maquinas, pelo periodo de 48 meses,
para inspecao corporal para os internos da Subsecretaria do Sistema Penitenciario da Secretaria de Estado
da Seguranca Publica","7.642.800,00"," De instalacao dos equipamentos
e seus perifericos devidamente configurado e pronto para funcionamento, sera de ate 90 (noventa) dias
apos recebimento da Ordem de Servico. De Vigencia: do Contrato: 48 (quarenta e oito) meses a partir da
data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 36/2018
PROCESSO: 00050-00049042/2018-08. TIPO: Menor Preco. OBJETO: Contratacao de empresa
especializada para realizacao de servico de locacao de 10 (dez) equipamentos de Raio X (body scan e seus
perifericos), compreendendo servico de locacao dos equipamentos, manutencoes preventivas e corretivas
dos equipamentos e cursos de treinamento para os operadores das maquinas, pelo periodo de 48 meses,
para inspecao corporal para os internos da Subsecretaria do Sistema Penitenciario da Secretaria de Estado
da Seguranca Publica. VALOR ESTIMADO: R$ 7.642.800,00. PRAZOS: De instalacao dos equipamentos
e seus perifericos devidamente configurado e pronto para funcionamento, sera de ate 90 (noventa) dias
apos recebimento da Ordem de Servico. De Vigencia: do Contrato: 48 (quarenta e oito) meses a partir da
data da assinatura. DATA DA SESSAO  PUBLICA: 10/04/2019 as 09:00 horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r"
