,treated_text
82,"Contratada: Ana Lúcia Borba Assunção. Objeto do Contrato: Prestação de serviços de recebimento, mento, sugestão de avaliação, remoção, conservação,guarda, estadia, depósito e alienação de bens móveis. Contrato nº: BRB-2012/191. Vigência: 12 meses a partir de 30/08/2012 (item 9.7 o Edital de Credenciamento BRB 004/2011). Valor Global: não especificado. Assinatura: 30/08/2012. Licitação: Credenciamento nº 004/2011. Signatários pela BRB Financeira: Sr. André Luiz Mello Perezino. Pela Contratada: Sra. Ana Lúcia Borba Assunção. Executor: Edilson Saldanha Nunes. Processo 349/2011"
92,"NºDO PROCESSO: GDF/SO/NOVACAP nº 020.001.841/2012. FUNDAMENTO LEGAL: Inciso 1, combinado como parágrafo único do art. 24, da Lei nº 8.666/93, de 21/06/93. ESPÉCIE: Contrato de Prestação de Serviços D.E. ASJUR/PRES nº 695/2012. CONTRATANTES: COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma SETOR ENGENHARIA NHARIA LTDA. OBJETO: O objeto do presente contrato é a execução, pela CONTRATADA, de rede específica para recebimento de nobreaks e gabinetes de baterias no Edifício da Procuradoria-Geral -Geral do Distrito Federal PGDF, em Brasília, Distrito Federal. VALOR: R$ 22.611,98 (vinte e dois mil, seiscentos e onze reais e noventa e oito centavos). PRAZO E VIGÊNCIA: O prazo de execução do objeto deste Contrato é de 30 (trinta) dias corridos, contado a partir do recebimento da correspondente Ordem de Serviço Externa, expedida pela Diretoria de Edificações da NOVACAP. O prazo de vigência do presente ajuste é de 90 (noventa) dias corridos, contado a partir da data de publicação do seu extrato no Diário Oficial do Distrito Federal. RECURSOS: O serviço de que trata este Contrato será custeado através dos recursos procedentes do Programa de Trabalho nº 04.122.6003.3903.9711, Natureza de Despesa nº 33-90-39, Fonte de Recursos 100, conforme Nota de Empenho nº 2012NE02780, datada de 05/12/2012, no valor de R$ 22.611,98 (vinte e dois mil, seiscentos e onze reais e noventa e oito centavos), emitida pela Diretoria Financeira da NOVACAP. DATA DA ASSINATURA: O termo tem sua assinatura em 11/12/2011. PELA NOVACAP: Nilson Martorelli e Daclimar Azevedo de Castro. PELA CONTRATADA: Carlos Jorge Cavalcanti Teixeira. TESTEMUNHAS: Maria do Socorro Ferreira da Silva e Fabiana Neves Garcia"
93,"NºDO PROCESSO: GDF/SO/NOVACAP nº 112.003.315/2012. FUNDAMENTO LEGAL: Edital de Licitação, Pregão Presencial nº 052/2012 ASCAL/PRES. ESPÉCIE: Contrato de Aquisição de Bens D.A. ASJUR/PRES nº 700/2012. CONTRATANTES: COMPANHIA URBANIZADORA DORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma PROPEÇAS MÁQUINAS E EQUIPAMENTOS LTDA. BJETO: Constitui objeto do presente contrato o fornecimento, pela CONTRATADA, de peças originais, por empenho estimativo, para “Equipamento SLM-080-93sistema sistema de limpeza misto”, marca prominas, número de série SLM-202, equipado com bomba alternativa prominas, modelo BPS-332-080 número de série BPS-091, marca prominas, montado nos veículos pertencentes ao Patrimônio da NOVACAP, em Brasília DF. DO VALOR: O valor total do presente Contrato é de R$ 87.500,00 (oitenta e sete mil e quinhentos reais). DO PRAZO/ VIGÊNCIA: O presente contrato terá vigência de 12 (doze) meses, com início na data de sua assinatura e eficácia com a publicação do respectivo extrato no Diário Oficial do Distrito Federal. RECURSOS: A despesa decorrente do presente contrato correrá à conta do Programa de Trabalho 17.512.6208.2903.0001, Natureza de Despesa 33.90.30, Fonte de Recurso 100, conforme Nota de Empenho nº 2012NE02696, no valor de R$ 87.500,00 (oitenta e sete mil e quinhentos reais), emitida no dia 22/11/2012 pela Diretoria Financeira da NOVACAP.DATA DA ASSINATURA: O termo tem sua assinatura em 17/12/2012. PELA NOVACAP: Nilson Martorelli e André Monteiro Fortes. PELA CONTRATADA: Francisco Carlos de Oliveira. TESTEMUNHAS: Maria do Socorro Ferreira da Silva e Fabiana Neves Garcia"
96,"Contrato: 7557. Ass: 15/07/2008. Processo: 092.000498/2008. Partes: CAESB X ANGOLINI & ANGOLINILTDA. Tendo em vista a Homologação e Adjudicação da CP nº 033/2008-CAESB. Objeto: Fornecimento de materiais em ferro fundido dúctil (luvas de correr e válvulas de gaveta) para uso em redes da CAESB, itens 01 e 02. Fontes de Recursos. Os recursos financeiros são próprios da CAESB, Código 11.101.000.000-3. Classificação: As despesas correrão à conta da Atividade/Subtítulo 17.122.0100.8517/6977, Código 12.803.811.200-7. Valor: As partes estimam mam o valor deste contrato em R$ 36.528,00 (trinta e seis mil quinhentos e vinte e oito reais). Prazo: O prazo para entrega dos materiais será de 30 (trinta) dias consecutivos, contado a partir da data da emissão da ordem de entrega, que será expedida após a publicação do extrato deste contrato no Diário Oficial do Distrito Federal (Decisão nº 12.358/95 do TCDF). Vigência: O prazo de vigência do contrato é de 90 (noventa) dias consecutivos, contado a partir da publicação do extrato do ajuste no Diário Oficial do Distrito Federal (Decisão nº 6.057/97 do TCDF). Assinantes: Pela CAESB: Divino Alves dos Santos Diretor de Gestão. Pela ANGOLINI & ANGOLINI LTDA: Maria da Glória Medeiros Lucafó"
100,"Partes: DETRAN-DF e a empresa FLOORING INDÚSTRIA E COMÉRCIO LTDA-ME. Processo: 055.033.593/2015. Contrato nº 03/2016. Objeto: Aquisição de placa de carpete, descrita e especificadas no itens 79, grupo 5, do Termo de Referência, Anexo 1 do Edital do Pregão Eletrônico nº 06/2014-EsSLog, na Ata de Registro de preços nº. 06/2014EsSLog EsSLog e na Proposta da Contratada, que fazem parte do presente ajuste, independente de transcrição. Valor total: R$ R$ 80.030,00 (oitenta mil e trinta reais); Dotação Orçamentária: fonte 220, função 06, Subfunção 122, Programa 6008, Meta 8517, SubTítulo 0022 e Elemento de Despesa 339039, Nota de Empenho 2016NE00368. Executor Titular: servidor Givanildo Gomes Oliveira lotado no NUMAP, Matrícula 250.278-X, e como Executor Substituto: servidor Edvan Barbosa de Jesus Camargos lotado no NUMAP, Matrícula 250.572-X. Data da assinatura: 23 de fevereiro de 2016 Assinam: Jayme Amorim de Sousa e Mauro Darú"
112,"ESPÉCIE: Contrato de Comodato nº 03/2004-SES/DF. PARTES: DISTRITO FEDERAL por intermédio de sua SECRETARIA DE ESTADO DE SAÚDE e INSTITUTO DE INTEGRAÇÃO GRAÇÃO SOCIAL E DE PROMOÇÃO DA CIDADANIA INTEGRA. OBJETO: Cessão são de cinco freezers VT BOSCH FB32, 220V, destinados ao Banco de Leite do Hospital Regional de Taguatinga. PRAZO DE VIGÊNCIA: Um ano a contar de sua assinatura. DESPESA PESA DE PUBLICAÇÃO: SES. PROCESSO: 060.004.882/03. DATA DE ASSINATURA: 03.08.2004. PELA SES/DF: ALDERY SILVEIRA JÚNIOR. PELA COMODANTE: WESLIAN LIAN DO PERPÉTUO SOCORRO PELES RORIZ. TESTEMUNHAS: ROSA DINAH LEWROWICZ ROCHA e ÉRIKA VALESKA DOS SANTOS"
119,"Proci 112.002.350/2009. Fundamento Legal: Edital de Concorrência nº 51/2009-ASCAL/PRES. Espécie: Contrato de Empreitada Obra Eng"" D.U. ASJUR/PRES nº 557/2009. Contratantes: COMPANHIA PANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma MULTICON ENGENHARIA LTDA. Objeto: a execução, pela CONTRATADA, de serviços complementares da Vila Olímpica de São Sebastião, localizada no Complexo Vivencial e Esportivo Bairro São Bartolomeu, meu, Quadra 02, em São Sebastião DF. Valor: O valor total do presente contrato é R$ 2.580.962,03 — (dois milhões, quinhentos e oitenta mil, novecentos e sessenta e dois reais e três centavos). Prazo/ Vigência: O prazo de execução do objeto deste Contrato é de 180 (cento e oitenta) corridos, contados a partir do recebimento da correspondente ordem de serviço externo e a vigência será de 270 (duzentos e setenta) dias corridos, contados a partir da data de publicação do seu extrato no Diário Oficial do DF. Recursos: A obra de que trata este contrato será executada com recursos procedentes do Convênio nº124/2009-TERRACAP/NOVACAPISO, de 07/05/2009, publicado em 04/06/2009, vigente gente até 03/06/2011, conforme Ordem de Serviço nº 138/2009DITEC/TERRACAP DITEC/TERRACAP e Nota de Controle Interno/ Extra-Orçamentário Número/Exercício nº 3958 99/2009, emitida pela NOVACAP CAP em 06/11/2009, no valor de R$ 2.580.962,03 (dois milhões, quinhentos e oitenta mil, novecentos tos e sessenta e dois reais e três centavos). Data da Assinatura: O termo tem sua assinatura em 12/11/ 2009. Pela NOVACAP: Luiz Carlos Pietschmamn e José Alves de Melo Junior. Pela Contratada: Antonio Marcelo Rocha Bastos. Testemunhas: Fabiano Arsenio Soares e Helio Mendes da Silva."
120,"Processo: 112.002.003./2009. Fundamento Legal: Edital de Concorrência nº 45/2009-ASCAL/PRES. Espécie: Contrato de Empreitada Obra Eng” D.U. ASJUR/PRES nº 559/2009. Contratantes: COMPANHIA NHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma GW CONSTRUÇÕES ÇÕES E INCORPORAÇÕES LTDA. Objeto: Constitui objeto do presente contrato a recuperação, pela CONTRATADA, de pavimento em pedra portuguesa e urbanização na Praça dos Três Poderes, Plano Piloto RA 1 DF. Valor: O valor total do presente contrato é R$ 2.020.217,35 (dois milhões, vinte — — mil, duzentos e dezessete reais e trinta e cinco centavos). Prazo/Vigência: O prazo de execução do objeto deste Contrato é de 240 (duzentos e quarenta) dias corridos, contados a partir do recebimento da correspondente ordem de serviço externo e a vigência será de 330 (trezentos e trinta) dias corridos, contados a partir da data de publicação do seu extrato no Diário Oficial do DF. Recursos: A obra de que trata este contrato será executada com recursos procedentes do Convênio nº 124/2009 TERRACAP/ NOVACAPISO, de 07/05/2009, publicado em 04/06/2009, vigente até 03/06/2011, conforme Ordem de Serviço nº 143/2009DITEC/TERRACAP DITEC/TERRACAP e Nota de Controle Interno/ Extra-Orçamentário Número/Exercício ro/Exercício nº 3958 104/2009, emitida pela NOVACAP em 12/11/2009, no valor parcial de R$ 1.000.000,00 (um milhão de reais). Data da Assinatura: O termo tem sua assinatura em 12/11/2009. Pela NOVACAP: Luiz Carlos Pietschmann e Maurício Canovas Segura. Pela Contratada: José Antônio Goulart. Testemunhas: Maria do Socorro Ferreira da Silva e Helio Mendes da Silva."
135,"Processo: 070-002.066/2016 ESPÉCIE: Contrato de Concessão de Uso Oneroso de Imóvel Rural. NUMERO: 000058/2019-SEAGRI. CONTRATANTES: Distrito Federal, por intermédio da Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal Seagri, por delegação da Companhia Imobiliária de Brasília Terracap como concedente e ELOY PEREIRA DOS SANTOS, produtor rural, CPF 009.167.141-87, como concessionário. OBJETO: Rua nº08, Chácara nº 04, SMLN ML, Núcleo Rural Capoeira do Balsamo, Setor de Mansões Lago Norte, RA-XVIII, Lago Norte/DF, com área de 2,0008 hectares. EMBASAMENTO LEGAL: art. 18 da Lei Federal nº 12.024/2009; Lei nº 5.803/2017; Decreto nº 38.125/2017; observadas, ainda, as disposições constitucionais e legais específicas, da Lei Federal nº 8.666/1993, da Lei Orgânica do Distrito Federal, do Plano Diretor de Ordenamento Territorial do Distrito Federal aprovado pela Lei Complementar nº 803/2009, do Estatuto Social da Companhia Imobiliária de Brasíli TERRACAP, do Decreto nº 26.196/2005 e do Estatuto da Terra (Lei Federal nº 4.504/1964), e a aprovação do Conselho de Regularização das Areas Públicas Rurais do Distrito Federal COREG, criado pela Lei nº 5.346/2014. VIGÊNCIA: 30 (trinta) anos contados a partir da data de assinatura do contrato. DATA DE ASSINATURA: 18/11/2019. P/CONCEDENTE: Dilson Resende de Almeida. P/CONCESSIONÁRIO: ELOY PEREIRA DOS SANTOS."
136,"Contratada: SANTOS SEGURADORA S/A. Objeto: Serviços de seguro de vida em grupo. Contrato: DIRAD/DESEG-2000/104. Assinatura: 02.01.2001. Vigência: 12 meses. Valor: R$312,206,64. Licitação: Concorrência DIRAD/CPLIC-010/2000. Processo: 222/2000"
137,"Nº DO PROCESSO: 160.001.957/2001. ESPÉCIE: Contrato de Concessão de Direito Real de Uso com Opção de Compra nº. 0805/2002. CONTRATANTES: Companhia Imobiliária de Brasília Terracap e João Zerneri-me. OBJETO: Concessão de Direito Real de Uso com Opção de Compra do imóvel denominado Lote 26, Quadra 12, Setor Industrial I, CeilândiaDF. DF. EMBASAMENTO LEGAL: Tendo em vista o que consta do art. 174 da Constituição Federal, do art. 161 da Lei Orgânica do Distrito Federal, da Lei no. 2.427, de 14 de julho de 1999, regulamentada pelo Decreto nº 21.077, de 23 de março de 2000 e dos Pareceres nºs 28/ 95-GAB-PRG, exarado no Processo Administrativo nº 111.000.273/90-4 e 152/99-GABPRG, PRG, de 13.07.99, ambos aprovados pelo Senhor Procurador Geral do Distrito Federal. VALOR DA TAXA MENSAL: R$ 546,00 (quinhentos e quarenta e seis rais). VIGÊNCIA: 60 (sessenta) meses contados a partir da data de assinatura do instrumento contratual. DESPESAS DE PUBLICAÇÃO: Correrão a expensas da Concessionária. DATA DE ASSINATURA: NATURA: 12.09.2002. P/TERRACAP: Eri Rodrigues Varela, Maria Júlia Monteiro da Silva e Juvenal Antunes Pereira. P/CONCESSIONÁRIA: João Zerneri. TESTEMUNHAS: Francisca cisca Ferreira de Sena Oliveira e Carvílio Pereira Gomes"
140,"Processo: 112.000.745/2009. Fundamento Legal: Edital de Tomada de Preços nº 54/2009-ASCAL/ PRES. Espécie: Contrato de Empreitada Obra Engº D.U. ASJUR/PRES nº 560/2009. Contratantes: COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma COMPACTA PACTA CONSTRUÇÕES E PROJETOS LTDA. Objeto: Constitui objeto do presente contrato a execução, pela CONTRATADA, de pavimentação asfáltica do estacionamento na QE 40 (Pólo de Modas), no Guará IL Guará RA X DF. Valor: O valor total do presente contrato é R$ 297.861,04 (duzentos (duzentos e noventa e sete mil, oitocentos e sessenta e um reais e quatro centavos). Prazo/Vigência: O prazo de execução deste Contrato é de 60 (sessenta) dias corridos, contados a partir do recebimento da correspondente Ordem de Serviço Externa, e a vigência do Contrato será de 150 (cento e cinquenta) ta) dias corridos, contados a partir da data de publicação de seu extrato no Diário Oficial do Distrito Federal. Recursos: A obra de que trata este contrato será executada com recursos procedentes do Convênio nº 124/2009 TERRACAP/NOVACAPISO, de 07/05/2009, publicado em 04/06/2009, vigente até 03/06/2011, conforme Ordem de Serviços nº 134/2009DITEC/TERRACAP DITEC/TERRACAP e Nota de Controle Interno/Extra-Orçamentário, Número/Exercício nº 3958 106/2009, emitida pela NOVACAP CAP em 12/11/2009, no valor de R$ 297.861,04 (duzentos e noventa e sete mil, oitocentos e sessenta e um reais e quatro centavos). Data Da Assinatura: O termo tem sua assinatura em 18/11/ 2009. Pela NOVACAP: Luiz Carlos Pietschmann e Maurício Canovas Segura. Pela Contratada: Régio Luciano Ávila de Rezende. Testemunhas: Brieda Moreira Rodrigues e Hélio Mendes da Silva."
157,"Espécie: Contrato nº 085/2019-SES/DF. SIGGO: 39780. Partes: DISTRITO FEDERAL, por intermédio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a empresa BAXTER HOSPITALAR LTDA, inscrita no CNPJ nº 49.351.786/0001-80. Objeto: o fornecimento e entrega de insumos para DIÁLISE PERITONEAL AMBULATORIAL CONTÍNUA DPAC e DIALISE PERITONEAL AUTOMÁTIC DPA no domicílio do paciente, em regime de COMODATO, com fornecimento de equipamentos automatizados para a realização do tratamento, para atender as necessidades da Secretaria de Saúde DF. Vigência: 12 (doze) contados partir da assinatura, podendo meses a sua ser prorrogado conforme a Lei 8666/1993, artigo 57, inciso II, cumulada pelo e Parecer 1030/2009 de 06 de outubro de 2009 do PROCAD/PGDF, por se tratar de serviço de natureza continua. Do valor: O valor total do Contrato é de R$ 7.335.327,12 (sete milhões, trezentos e trinta e cinco mil trezentos e vinte e sete reais e doze centavos), em procedência ao Orçamento do Distrito Federal para o corrente exercício, nos termos da correspondente Lei Orçamentária Anual. Dotação Orçamentária: Unidade Orçamentária: 23901. Programa de Trabalho: 10302620242050002. Natureza da Despesa: 339030. Fonte de Recurso: 338003464. Nota de Empenho: 2019NE07741. Valor inicial: R$ 2.057.966,78 (dois milhões e cinquenta e sete mil e novecentos e sessenta e seis reais e setenta e oito centavos). Emitido em 20/09/2019. Sob o evento: 400091. Na modalidade: Ordinário. Despesa de Publicação: SES. Processo nº: 00060-00393353/2019-47. Data de Assinatura: 20/09/2019. Pela SES/DF: OSNEI OKUMOTO. Pela contratada: RODRIGO ALVES PONTES. Testemunhas: HELBERTH GONCALVES MACAU e HAROLDO CUSTÓDIO DE FARIAS"
158,"Processo: 070-000.884/201 ESPÉCIE: Contrato de Concessão de Uso Oneroso de Imóvel Rural. NUMERO: 000042/2019-SEAGRI. CONTRATANTES: Distrito Federal, por intermédio da Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal Seagri, por delegação da Companhia Imobiliária de Brasíli Terracap como concedente e PAULO PEREIRA DE MACEDO, produtor rural, CPF 606.349.601-72, como concessionário. OBJETO: Lote nº 18 E 19, Colônia Agricola Buriti Vermelho, R.A. VII, Paranoá/DF, com área de 3,704 hectares. EMBASAMENTO LEGAL: art. 18 da Lei Federal nº 12.024/2009; Lei nº 5.803/2017; Decreto nº 38.125/2017; observadas, ainda, as disposições constitucionais e legais especificas, da Lei Federal nº 8.666/1993, da Lei Orgânica do Distrito Federal, do Plano Diretor de Ordenamento Territorial do Distrito Federal aprovado pela Lei Complementar nº 803/2009, do do Estatuto Social da Companhia | Imobiliária de Brasíli TERRACAP, do Decreto nº 26.196/2005 e Estatuto da Terra (Lei Federal nº 4.504/1964), e a aprovação do Conselho de Regularização das Áreas Públicas Rurais do Distrito Federa COREG, criado pela Lei nº 5.346/2014. VIGÊNCIA: 30 (trinta) anos contados a partir da data de assinatura do contrato. DATA DE ASSINATURA: 03/10/2019. P/CONCEDENTE: Dilson Resende de Almeida. P/CONCESSIONÁRIO: PAULO PEREIRA DE MACEDO"
