,Tipo do Ato,Id Ato,DODF,Data Ato/DODF,Processo GDF/SEI,Tipo,Modo de Disputa,Objeto,Valor Estimado,Texto,Redator
10,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 021 01-02-2021 1,01-02-2021,,,,,,AVISO DE ABERTURA DE LICITACAO PUBLICA NACIONAL PROJETO BR-L 1076 SDE-DF/BID PROCIDADES PROGRAMA DE DESENVOLVIMENTO ECONOMICO ,
11,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 021 01-02-2021 1,28 de janeiro de 2021,0011100006988202061,,,,,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100006988202061 Modalidade/numero: Pre-Qualificacao permanente no 01/2021 Objeto: Pre-qualificacao permanente de agentes economicos habilitados a execucao de obras e servicos de engenharia eletrica do subgrupo 4.1  Rede de distribuicao de energia aerea, para a complementacao ou remanejamento da infraestrutura de energia eletrica em parcelamentos do solo urbano ou processos de regularizacao fundiaria empreendidos pela TERRACAP no Distrito Federal, nas seguintes modalidades: Redes de distribuicao aerea primaria, compacta ou convencional, na tensao de 13,8 kV; Redes de distribuicao aerea secundaria, isolada (RSI) ou convencional.  Grupo de habilitacao Obras e servicos de engenharia eletrica Subgrupo Rede de distribuicao de energia aerea Data/hora de abertura: 24/02/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 28 de janeiro de 2021 GLAUBER TEODORO FARIA Presidente da Comissao COMISSAO DE VENDA DIRETA ",
12,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 026 08-02-2021 1,04 de fevereiro de 2021,0011100006926201915," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para manutencao
preventiva",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100006926201915 Modalidade/numero: Licitacao Presencial no 20/2019 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para manutencao preventiva, preditiva e corretiva de grupos geradores, alem de sua operacao, incluindo a substituicao de pecas/materiais , com fornecimento de mao de obra, ferramentas, equipamentos, materiais de consumo e de reposicao, alem de transporte de combustivel, necessarios a execucao dos servicos na Torre de TV Digital. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 04/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 04 de fevereiro de 2021 GLAUBER TEODORO FARIA ",
13,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 027 09-02-2021 1,09-02-2021,,,,,,AVISO DE ABERTURA DE LICITACAO PUBLICA NACIONAL PROJETO BR-L 1076 SDE-DF/BID PROCIDADES PROGRAMA DE DESENVOLVIMENTO ECONOMICO ,
14,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 027 09-02-2021 1,05 de fevereiro de 2021,0011100002388202023," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para a execucao das
obras de implantacao da infraestrutura de energia eletrica no
Setor de Multiplas Atividades",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame: Processo: 0011100002388202023 Modalidade/numero: Licitacao Presencial no 17/2020-Repeticao Tipo: Menor Preco Objeto: Contratacao de empresa especializada para a execucao das obras de implantacao da infraestrutura de energia eletrica no Setor de Multiplas Atividades, Conjuntos S, U, V, W, X e Y, no Gama / RA-II Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco unitario. PAGINA 60 Diario Oficial do Distrito Federal         No 27, TERCA-FEIRA, 09 DE FEVEREIRO DE 2021 Documento assinado digitalmente, original em https://www.dodf.df.gov.br Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: Dia 16/ 03 / 2021, as 10h Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame: Processo: 0011100002388202023 Modalidade/numero: Licitacao Presencial no 7/2019 Tipo: Menor Preco Objeto: Contratacao de servicos de execucao de Projeto de Educacao e Engenharia Ambiental PEA e de elaboracao de Plano de Recuperacao de Areas Degradadas PRAD para o Setor Habitacional Sao Bartolomeu Trecho I Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: Tendo em vista a publicacao no Diario Oficial do Distrito Federal - DODF no 16, segunda-feira, 25 de janeiro de 2021, pagina 80, informamos que onde se le 16/02/2021, leia-se 18/02/2021, as 10 horas. Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 05 de fevereiro de 2021 GLAUBER TEODORO FARIA ",
15,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 028 10-02-2021 1,08 de fevereiro de 2021,0005000024746202084, Menor Preco, Aberto,, Sigiloso,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 02/2021 Processo: 0005000024746202084. TIPO: Menor Preco. MODO DE DISPUTA: Aberto. OBJETO: Contratacao de pessoa juridica especializada para desenvolver, implementar e avaliar cursos completos, na modalidade de ensino a distancia, para a Secretaria de Estado de Seguranca Publica do Distrito Federal. VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega final: ate 150 (cento e cinquenta) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato. Do Contrato: 12 (doze) meses a partir da data da assinatura. DATA DA SESSAO PUBLICA: 24/02/2021 as 10:00 horas no www.gov.br/compras. UASG 450107. Edital tambem esta disponivel no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF, 08 de fevereiro de 2021 AMILCAR UBIRATAN URACH VIEIRA ",
16,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 030 12-02-2021 1,12-02-2021,0000100019138202014, menor preco,,," R$ 27.419,00","AVISO DE ABERTURA DE LICITACAO EXCLUSIVA PREGAO ELETRONICO No 04/2021 Processo: 0000100019138202014. Objeto: Aquisicao de material de higienizacao, por meio do Sistema de Registro de Precos, para atender as necessidades da CLDF, conforme especificacoes e quantidades constantes no Termo de Referencia Anexo I do Edital. Valor estimado: R$ 27.419,00. Data/hora da Sessao Publica: 02/03/2021, as 09:30h. Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor preco. O edital encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link Portal da Transparencia. Maiores informacoes (61) 3348- 8650 ou cpl@cl.df.gov.br. DIRCEU FALCAO DA MOTA NETO ",
17,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 030 12-02-2021 1,11 de fevereiro de 2021,0011100012475201955," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao por escopo de empresa especializada com vistas a
Elaboracao dos Projetos Basicos Executivos de Drenagem
Pluvial e Pavimentacao (via de acesso",,, ,"AVISO DE ABERTURA DE LICITACAO No 04/2020 O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100012475201955 Modalidade/numero: Licitacao Presencial no 04/2020 - Republicacao Tipo: Menor Preco Objeto: Contratacao por escopo de empresa especializada com vistas a Elaboracao dos Projetos Basicos Executivos de Drenagem Pluvial e Pavimentacao (via de acesso, estacionamentos e respectiva sinalizacao com meios fios), e respectivos Orcamentos para execucao das obras, com base no Projeto de Urbanizacao URB-051/2017, visando a implantacao de infraestrutura na QI 07 SHI/SUL, lotes E, H, I, J, K, L e M, no Lago Sul. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 18/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 11 de fevereiro de 2021 GLAUBER TEODORO FARIA ",
18,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 030 12-02-2021 1,10 de fevereiro de 2021,0011100007006202058," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de obras para o remanejamento de infraestrutura de sistema
de iluminacao publica no Setor Habitacional Bernardo Sayao Lote 01",,, ,"AVISO DE ABERTURA DE LICITACAO No 44/2020 O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100007006202058 Modalidade/numero: Licitacao Presencial no 44/2020 Tipo: Menor Preco Objeto: Contratacao de obras para o remanejamento de infraestrutura de sistema de iluminacao publica no Setor Habitacional Bernardo Sayao Lote 01, Guara / RA X - Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global, conforme prescricoes contidas no presente documento e ainda em padroes, normas e especificacoes tecnicas vigentes. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 15 / 03 / 2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 10 de fevereiro de 2021 GLAUBER TEODORO FARIA ",
19,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 030 12-02-2021 1,12-02-2021,0040100017216202052, menor preco por Grupo,,,,"AVISO DE ABERTURA DE LICITACAO SISTEMA DE REGISTRO DE PRECOS PREGAO ELETRONICO No 01/2021 - (UASG: 926314) Processo: 0040100017216202052. Objeto: Contratacao de servico de certificacao digital institucional e para usuarios, dentro das especificacoes e normas ICP-Brasil, incluindo o fornecimento de dispositivos para armazenamento de certificados digitais do tipo token USB para e-CPF e e-CNPJ, mediante Sistema de Registro de Precos (SRP), por um periodo de 12 (doze) meses, conforme condicoes, quantidades e exigencias estabelecidas neste Edital e seus anexos. A despesa com a execucao do objeto desta licitacao e estimada em R$ 94.164,10 (noventa e quatro mil cento e sessenta e quatro reais e dez centavos)para custo total da contratacao. Tipo de Licitacao: menor preco por Grupo. Horario e data de abertura do certame: 14h00, do dia 01 de marco de 2021. O Edital podera ser retirado nos enderecos eletronicos www.comprasgovernamentais.gov.br e http://transparencia.defensoria.df.gov.br/. CINTHIA MARIA S. D. DE OLIVEIRA Pregoeira PROCURADORIA-GERAL SECRETARIA GERAL ",
20,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,17-02-2021,0006300004546202093,,,,,"AVISO DE ABERTURA DE LICITACAO No 02/2021 - UASG 926334 A Fundacao Hemocentro de Brasilia torna publico a realizacao de Licitacao, por Menor Preco por Item, para eventual aquisicao de materiais tecnicos - LUVA PARA PROCEDIMENTO NAO-CIRURGICO ISENTA DE PO - DIVERSOS TAMANHOS, para a Fundacao Hemocentro de Brasilia, de acordo com as condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos; Processo: 0006300004546202093. Valor de RR$ 650.951,60 (seiscentos e cinquenta mil novecentos e cinquenta e um reais e sessenta centavos). Data limite de recebimento das propostas ate as 10:00 horas do dia 02/03/2021. O Edital encontra-se disponibilizado, no sitio: www.gov.br/compras, no sitio www.fhb.df.gov.br e no endereco: Setor Medico Hospitalar Norte-SMHN, Quadra 03, Conjunto A, Bloco 03, Asa Norte CEP 70710-908 Brasilia/DF. A sessao Publica sera processada no dia 02/03/2021 as 10:00 horas no sitio do Compras Governamentais, nos termos do Edital. HENRIQUE SANJIRO YUZUKI FARIAS ",
21,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,17-02-2021,0006300005036202033,,,,,"AVISO DE ABERTURA DE LICITACAO No 03/2021 - UASG 926334 A Fundacao Hemocentro de Brasilia torna publico a realizacao de Licitacao, por Menor Preco por Item, para registro de precos para eventual aquisicao de materiais tecnicos para a Fundacao Hemocentro de Brasilia, de acordo com as condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos; Processo: 0006300005036202033. Valor de R$ 214.541,63 (duzentos e quatorze mil quinhentos e quarenta e um reais e sessenta e tres centavos). Data limite de recebimento das propostas ate as 10:00 horas do dia 03/03/2021. O Edital encontra-se disponibilizado, no sitio: www.gov.br/compras, no sitio www.fhb.df.gov.br e no endereco: Setor Medico Hospitalar Norte-SMHN, Quadra 03, Conjunto A, Bloco 03, Asa Norte CEP 70710-908 Brasilia/DF. A sessao Publica sera processada no dia 03/03/2021 as 10:00 horas no sitio do Compras Governamentais, nos termos do Edital. HENRIQUE SANJIRO YUZUKI FARIAS ",
