,Texto
390,contrato
391,.
392,Valor
393,:
394,R$
395,"2.999,71"
396,(
397,dois
398,mil
399,novecentos
400,e
401,noventa
402,e
403,nove
404,reais
405,e
406,setenta
407,e
408,um
409,centavos
410,)
411,.
412,Assinaturas
413,:
414,pela
415,CEASA
416,/
417,DF
418,:
419,Sebastião
420,Marcio
421,Lopes
422,de
423,Andrade
424,;
425,pela
426,contratada
427,:
428,Neide
429,De
430,Oliveira
431,Souza
432,e
433,Roberto
434,de
435,Souza
436,Dias
437,(
438,Representantes
439,Legais
440,)
441,.
442,EXTRATO
443,CONTRATUAL
444,Processo
445,:
446,00072-00000404/
447,2021-29
448,.
449,Instrumento
450,:
451,Contrato
452,nº
453,09/
454,2021-GCONV
455,Contratação
456,de
457,Empresa
458,Especializada
459,para
460,Conservação
461,/
462,Manutenção
463,dos
464,Banheiros
465,da
466,EMATER
467,/
468,DF
469,Sede
470,.
471,Partes
472,:
473,EMPRESA
474,DE
475,ASSISTÊNCIA
476,TÉCNICA
477,E
478,EXTENSÃO
479,RURAL
480,DO
481,DISTRITO
482,FEDERAL
483,-
484,EMATER
485,/
486,DF
487,e
488,a
489,Empresa
490,BERNARDO
491,DE
492,SÁ
493,CONSTRUTORA
494,","
495,INCORPORADORA
496,E
497,EMPREENDIMENTOS
498,IMOBILIÁRIOS
499,EIRELI
500,.
501,Objeto
502,:
503,Contratação
504,de
505,empresa
506,especializada
507,para
508,conservação
509,/
510,manutenção
511,dos
512,banheiros
513,da
514,EMATER
515,sede
516,","
517,composto
518,por
519,serviços
520,essenciais
521,para
522,manutenção
523,.
524,Os
525,banheiros
526,estão
527,localizados
528,na
529,STN
530,-
531,Asa
532,Norte
533,","
534,Brasília
535,/
536,DF
537,","
538,70770-915
539,.
540,O
541,Serviço
542,terá
543,uma
544,área
545,"30,00"
546,m²
547,.
548,Dotação
549,Orçamentária
550,:
551,Unidade
552,Orçamentária
553,:
554,14203
555,;
556,Programa
557,de
558,Trabalho
559,:
560,20.122.8201.2396.5409
561,(
562,EPI
563,)
564,;
565,Projeto
566,/
567,Atividade
568,/
569,Denominação
570,:
571,CONSERVAÇÃO
572,DAS
573,ESTRUTURAS
574,FÍSICAS
575,DA
576,SEDE
577,DA
578,EMATER
579,;
580,Natureza
581,da
582,Despesa
583,:
584,33.90.39
585,;
586,Fonte
587,de
588,Recurso
589,:
590,100
591,;
592,Valor
593,Total
594,:
595,R$
596,"44.081,61"
597,(
598,quarenta
599,e
600,quatro
601,mil
602,e
603,oitenta
604,e
605,um
606,reais
607,e
608,sessenta
609,e
610,um
611,centavos
612,)
613,.
614,Fundamento
615,Legal
616,:
617,A
618,presente
619,contratação
620,será
621,feita
622,por
623,meio
624,da
625,modalidade
626,direta
627,","
628,por
629,dispensa
630,de
631,licitação
632,","
633,por
634,força
635,do
636,inciso
637,II
638,do
639,art.
640,06
641,do
642,Regulamento
643,de
644,Licitações
645,e
646,Contratos
647,da
648,EMATER
649,/
650,DF
651,","
652,combinado
653,com
654,a
655,Lei
656,nº
657,13.303
658,","
659,de
660,30
661,de
662,junho
663,de
664,2016
665,","
666,que
667,dispõe
668,sobre
669,o
670,estatuto
671,jurídico
672,das
673,empresas
674,públicas
675,","
676,bem
677,como
678,o
679,Termo
680,de
681,Referência
682,e
683,da
684,proposta
685,comercial
686,.
687,Assinatura
688,:
689,26/05/2021
690,.
691,Vigência
692,:
693,12
694,(
695,doze
696,)
697,meses
698,a
699,contar
700,da
701,assinatura
702,.
703,Signatários
704,:
705,P
706,/
707,EMATER-DF
708,:
709,Denise
710,Andrade
711,da
712,Fonseca
713,","
714,Presidente
715,.
716,P
717,/
718,Contratada
719,:
720,Bernardo
721,José
722,de
723,Sá
724,Filho
725,.
726,EXTRATO
727,DO
728,CONTRATO
729,DE
730,PRESTAÇÃO
731,DE
732,SERVIÇOS
733,Nº
734,07/2021
735,Processo
736,:
737,00020-00010200/
738,2019-14
739,.
740,PARTES
741,:
742,PROCURADORIA-GERAL
743,DO
744,DISTRITO
745,FEDERAL
746,E
747,J3
748,TECNOLOGIA
749,E
750,INFRAESTRUTURA
751,DE
752,REDES
753,EIRELI
754,.
755,(
756,CNPJ
757,nº
758,17.886.222/
759,0001-56
760,)
761,.
762,Edital
763,de
764,Pregão
765,Eletrônico
766,nº
767,07/
768,2021-PGDF
769,.
770,OBJETO
771,:
772,Contratação
773,de
774,empresa
775,especializada
776,em
777,sistema
778,de
779,detecção
780,e
781,alarme
782,contra
783,incêndio
784,","
785,para
786,prestação
787,de
788,serviços
789,técnicos
790,e
791,profissionais
792,","
793,incluindo
794,o
795,fornecimento
796,dos
797,materiais
798,necessários
799,","
800,visando
801,à
802,Recuperação
803,do
804,Sistema
805,de
806,Detecção
807,e
808,Alarme
809,Contra
810,Incêndio
811,","
812,existente
813,no
814,prédio
815,da
816,Procuradoria-Geral
817,do
818,Distrito
819,Federal
820,.
821,ASSINATURA
822,:
823,25/05/2021
824,.
825,VIGÊNCIA
826,:
827,O
828,contrato
829,terá
830,vigência
831,de
832,90
833,(
834,noventa
835,)
836,dias
837,a
838,contar
839,de
840,sua
841,assinatura
842,","
843,com
844,eficácia
845,a
846,partir
847,de
848,sua
849,publicação
850,","
851,compreendendo
852,os
853,prazos
854,de
855,entrega
856,","
857,dos
858,procedimentos
859,de
860,recebimento
861,fixados
862,e
863,pagamento
864,.
865,NOTA
866,DE
867,EMPENHO
868,:
869,Os
870,empenho
871,iniciais
872,são
873,de
874,R$
875,"15.548,74"
876,(
877,quinze
878,mil
879,quinhentos
880,e
881,quarenta
882,e
883,oito
884,reais
885,e
886,setenta
887,e
888,quatro
889,centavos
890,)
891,","
892,conforme
893,Nota
894,de
895,Empenho
896,nº
897,2021NE00143
898,;
899,R$
900,"878,78"
901,(
902,oitocentos
903,e
904,setenta
905,e
906,oito
907,reais
908,e
909,setenta
910,e
911,oito
912,centavos
913,)
914,","
915,conforme
916,Nota
917,de
918,Empenho
919,nº
920,2021NE00144
921,;
922,R$
923,"930,00"
924,(
925,novecentos
926,e
927,trinta
928,reais
929,)
930,","
931,conforme
932,Nota
933,de
934,Empenho
935,nº
936,2021NE00145
937,;
938,R$
939,"37.482,38"
940,(
941,trinta
942,e
943,sete
944,mil
945,quatrocentos
946,e
947,oitenta
948,e
949,dois
950,reais
951,e
952,trinta
953,e
954,oito
955,centavos
956,)
957,","
958,conforme
959,Nota
960,de
961,Empenho
962,nº
963,2021NE00146
964,e
965,R$
966,"34.450,00"
967,(
968,trinta
969,e
970,quatro
971,mil
972,quatrocentos
973,e
974,cinquenta
975,reais
976,)
977,","
978,conforme
979,Nota
980,de
981,Empenho
982,nº
983,2021NE00147
984,","
985,emitidas
986,em
987,10/05/2021
988,","
989,sob
990,o
991,evento
992,nº
993,400091
994,","
995,na
996,modalidade
997,Ordinário
998,.
999,COBERTURA
1000,ORÇAMENTÁRIA
1001,:
1002,A
1003,despesa
1004,correrá
1005,à
1006,conta
1007,da
1008,seguinte
1009,Dotação
1010,Orçamentária
1011,:
1012,I
1013,-
1014,Unidade
1015,Orçamentária
1016,:
1017,12901
1018,-
1019,Procuradoria-Geral
1020,do
1021,Distrito
1022,EXTRATO
1023,DO
1024,CONTRATO
1025,DE
1026,PRESTAÇÃO
1027,DE
1028,SERVIÇOS
1029,Nº
1030,05/2021
1031,Processo
1032,:
1033,04017-00013410/
1034,2021-15
1035,.
1036,SIGGO
1037,Nº
1038,044006
1039,.
1040,DAS
1041,PARTES
1042,:
1043,SECRETARIA
1044,DE
1045,ESTADO
1046,DE
1047,PROTEÇÃO
1048,DA
1049,ORDEM
1050,URBANÍSTICA
1051,DO
1052,DISTRITO
1053,FEDERAL-DF
1054,LEGAL
1055,e
1056,AMC
1057,INFORMÁTICA
1058,LTDA
1059,","
1060,CNPJ
1061,Nº
1062,62.541.735/
1063,0001-80
1064,.
1065,DO
1066,OBJETO
1067,:
1068,Contratação
1069,emergencial
1070,para
1071,prestação
1072,de
1073,serviços
1074,de
1075,outsourcing
1076,de
1077,impressão
1078,na
1079,modalidade
1080,""""
1081,franquia
1082,de
1083,página
1084,mais
1085,excedente
1086,""""
1087,","
1088,contemplando
1089,o
1090,fornecimento
1091,de
1092,equipamentos
1093,e
1094,todos
1095,os
1096,insumos
1097,","
1098,exceto
1099,o
1100,papel
1101,","
1102,bem
1103,como
1104,serviços
1105,de
1106,instalação
1107,","
1108,manutenção
1109,","
1110,assistência
1111,técnica
1112,especializada
1113,com
1114,reposição
1115,de
1116,peças
1117,originais
1118,","
1119,para
1120,atender
1121,as
1122,necessidades
1123,da
1124,Secretaria
1125,de
1126,Estado
1127,de
1128,Proteção
1129,da
1130,Ordem
1131,Urbanística
1132,do
1133,Distrito
1134,Federal
1135,(
1136,DF
1137,LEGAL
1138,)
1139,","
1140,consoante
1141,especifica
1142,o
1143,Termo
1144,de
1145,Referência
1146,03/2021
1147,(
1148,63194694
1149,)
1150,e
1151,a
1152,Proposta
1153,(
1154,65120043
1155,)
1156,que
1157,integram
1158,o
1159,Contrato
1160,.
1161,DO
1162,VALOR
1163,:
1164,O
1165,valor
1166,total
1167,estimativo
1168,do
1169,Contrato
1170,corresponde
1171,a
1172,R$
1173,"73.831,78"
1174,(
1175,setenta
1176,e
1177,três
1178,mil
1179,oitocentos
1180,e
1181,trinta
1182,e
1183,um
1184,reais
1185,e
1186,setenta
1187,e
1188,oito
1189,centavos
1190,)
1191,","
1192,procedente
1193,do
1194,Orçamento
1195,do
1196,Distrito
1197,Federal
1198,para
1199,o
1200,corrente
1201,exercício
1202,","
1203,nos
1204,termos
1205,da
1206,correspondente
1207,Lei
1208,Orçamentária
1209,Anual
1210,.
1211,DA
1212,DOTAÇÃO
1213,ORÇAMENTÁRIA
1214,:
1215,I
1216,Unidade
1217,Orçamentária
1218,:
1219,63101
1220,;
1221,II
1222,Programa
1223,de
1224,Trabalho
1225,:
1226,04.122.8208.8517.0125
1227,;
1228,III
1229,Natureza
1230,da
1231,Despesa
1232,:
1233,33.90.39
1234,","
1235,e
1236,IV
1237,Fonte
1238,de
1239,Recursos
1240,:
1241,183
1242,.
1243,DO
1244,EMPENHO
1245,:
1246,Nota
1247,de
1248,Empenho
1249,nº
1250,2021NE00266
1251,","
1252,emitida
1253,em
1254,9
1255,de
1256,julho
1257,de
1258,2021
1259,","
1260,sob
1261,o
1262,Evento
1263,nº
1264,400091
1265,","
1266,na
1267,modalidade
1268,Estimativo
1269,.
1270,DA
1271,VIGÊNCIA
1272,:
1273,O
1274,contrato
1275,terá
1276,vigência
1277,de
1278,180
1279,(
1280,cento
1281,e
1282,oitenta
1283,)
1284,dias
1285,","
1286,consecutivos
1287,e
1288,ininterruptos
1289,","
1290,a
1291,contar
1292,da
1293,data
1294,de
1295,sua
1296,assinatura
1297,","
1298,sendo
1299,vedada
1300,a
1301,sua
1302,prorrogação
1303,","
1304,nos
1305,termos
1306,do
1307,art.
1308,24
1309,","
1310,inciso
1311,IV
1312,","
1313,da
1314,Lei
1315,nº
1316,8.666/93
1317,","
1318,ou
1319,até
1320,que
1321,se
1322,conclua
1323,o
1324,novo
1325,procedimento
1326,licitatório
1327,em
1328,andamento
1329,sob
1330,o
1331,processo
1332,04017-00015539/
1333,2020-79
1334,","
1335,impondo-se
1336,a
1337,rescisão
1338,unilateral
1339,do
1340,contrato
1341,","
1342,por
1343,parte
1344,da
1345,CONTRATANTE
1346,","
1347,tão
1348,logo
1349,seja
1350,concluído
1351,o
1352,mencionado
1353,procedimento
1354,licitatório
1355,.
1356,DOS
1357,SIGNATÁRIOS
1358,:
1359,Pelo
1360,DISTRITO
1361,FEDERAL
1362,:
1363,CRISTIANO
1364,MANGUEIRA
1365,DE
1366,SOUZA
1367,","
1368,na
1369,qualidade
1370,de
1371,Secretário
1372,de
1373,EXTRATO
1374,CONTRATUAL
1375,Processo
1376,00112-00036315/
1377,2019-73
1378,.
1379,ESPÉCIE
1380,:
1381,CONTRATO
1382,DE
1383,EMPREITADA
1384,DE
1385,OBRA
1386,DE
1387,ENGENHARIA
1388,D.E
1389,Nº
1390,067/2021
1391,DJ
1392,/
1393,NOVACAP
1394,.
1395,CONTRATANTES
1396,:
1397,NOVACAP
1398,e
1399,ABTEC
1400,ENGENHARIA
1401,LTDA
1402,.
1403,DO
1404,OBJETO
1405,:
1406,Contratação
1407,de
1408,empresa
1409,de
1410,engenharia
1411,para
1412,execução
1413,de
1414,obra
1415,de
1416,recuperação
1417,estrutural
1418,da
1419,passarela
1420,de
1421,pedestres
1422,do
1423,CONIC
1424,","
1425,localizada
1426,SDS
1427,-
1428,Setor
1429,de
1430,Diversões
1431,Sul
1432,-
1433,Lote
1434,Único
1435,.
1436,VALOR
1437,:
1438,R$
1439,"362.162,17"
1440,.
1441,PRAZO
1442,:
1443,Vigência
1444,de
1445,150
1446,dias
1447,corridos
1448,.
1449,RECURSOS
1450,:
1451,Nota
1452,de
1453,Empenho
1454,n
1455,°
1456,2021NE01550
1457,","
1458,no
1459,valor
1460,de
1461,R$
1462,"362.162,17"
1463,","
1464,à
1465,conta
1466,do
1467,Programa
1468,de
1469,Trabalho
1470,:
1471,15.451.6216.1223.0005
1472,","
1473,Natureza
1474,da
1475,Despesa
1476,:
1477,44.90.51
1478,","
1479,Fonte
1480,de
1481,Recurso
1482,:
1483,100
1484,.
1485,DATA
1486,DA
1487,ASSINATURA
1488,:
1489,01/07/2021
1490,.
1491,PELA
1492,NOVACAP
1493,:
1494,Fernando
1495,Rodrigues
1496,Ferreira
1497,Leite
1498,e
1499,Rubens
1500,de
1501,Oliveira
1502,Pimentel
1503,Júnior
1504,.
1505,PELA
1506,CONTRATADA
1507,:
1508,Guilherme
1509,Siqueira
1510,Borba
1511,.
1512,EXTRATO
1513,DE
1514,CONTRATO
1515,Processo
1516,:
1517,00196-00000212/
1518,2021-99
1519,.
1520,DA
1521,ESPÉCIE
1522,:
1523,Contrato
1524,de
1525,Aquisição
1526,de
1527,Produtos
1528,da
1529,Agricultura
1530,Familiar
1531,nº
1532,44.003/2021
1533,.
1534,DAS
1535,PARTES
1536,:
1537,Fundação
1538,Jardim
1539,Zoológico
1540,de
1541,Brasília
1542,-
1543,FJZB
1544,e
1545,Associação
1546,dos
1547,Produtores
1548,Hortifrutigranjeiros
1549,do
1550,Distrito
1551,Federal
1552,e
1553,Entorno
1554,-
1555,ASPHOR
1556,.
1557,DO
1558,OBJETO
1559,:
1560,Aquisição
1561,","
1562,por
1563,dispensa
1564,de
1565,licitação
1566,de
1567,frutas
1568,","
1569,verduras
1570,e
1571,legumes
1572,produzidos
1573,por
1574,agricultores
1575,familiares
1576,rurais
1577,e
1578,urbanos
1579,e
1580,pelos
1581,demais
1582,beneficiários
1583,e
1584,organizações
1585,que
1586,se
1587,enquadrem
1588,nas
1589,disposições
1590,da
1591,Lei
1592,Federal
1593,nº
1594,11.326
1595,","
1596,de
1597,24
1598,de
1599,julho
1600,de
1601,2006
1602,","
1603,para
1604,a
1605,alimentação
1606,dos
1607,animais
1608,mantidos
1609,na
1610,FJZB
1611,","
1612,conforme
1613,especificações
1614,","
1615,quantidades
1616,e
1617,demais
1618,exigências
1619,da
1620,Chamada
1621,Pública
1622,nº
1623,002/2021SEAGRI
1624,/
1625,DF
1626,.
1627,DO
1628,VALOR
1629,:
1630,O
1631,valor
1632,total
1633,do
1634,contrato
1635,é
1636,de
1637,R$
1638,"237.673,60"
1639,(
1640,duzentos
1641,e
1642,trinta
1643,e
1644,sete
1645,mil
1646,","
1647,seiscentos
1648,e
1649,setenta
1650,e
1651,três
1652,reais
1653,e
1654,sessenta
1655,centavos
1656,)
1657,.
1658,DA
1659,DOTAÇÃO
1660,ORÇAMENTÁRIA
1661,:
1662,PT
1663,18.541.6210.4086.0002
1664,-
1665,ND
1666,3390.30
1667,-
1668,Fonte
1669,100
1670,.
1671,DA
1672,VIGÊNCIA
1673,:
1674,12
1675,(
1676,doze
1677,)
1678,meses
1679,a
1680,contar
1681,da
1682,data
1683,de
1684,assinatura
1685,.
1686,DATA
1687,DE
1688,ASSINATURA
1689,:
1690,25/07/2019
1691,.
1692,DOS
1693,SIGNATÁRIOS
1694,:
1695,Pela
1696,Fundação
1697,:
1698,José
1699,Carlos
1700,Lopes
1701,de
1702,Oliveira
1703,","
1704,na
1705,qualidade
1706,de
1707,Diretor
1708,Presidente
1709,-
1710,Substituto
1711,.
1712,Pela
1713,Contratada
1714,:
1715,Sandra
1716,Moreira
1717,Padilha
1718,Vitoriano
1719,","
1720,na
1721,qualidade
1722,de
1723,Presidente
1724,.
1725,EXTRATO
1726,DE
1727,CONTRATO
1728,Processo
1729,:
1730,001-000116/2018
1731,.
1732,CONTRATO
1733,CLDF
1734,Nº
1735,22/
1736,2021-NPLC
1737,","
1738,firmado
1739,entre
1740,a
1741,Câmara
1742,Legislativa
1743,do
1744,Distrito
1745,Federal
1746,e
1747,a
1748,empresa
1749,IDEALINE
1750,TECNOLOGIA
1751,E
1752,SEGURANÇA
1753,LTDA
1754,.
1755,EPP
1756,","
1757,CNPJ
1758,nº
1759,01.215.897/
1760,0001-33
1761,.
1762,Objeto
1763,:
1764,Prestação
1765,de
1766,serviços
1767,de
1768,reparação
1769,inicial
1770,","
1771,manutenção
1772,preventiva
1773,e
1774,corretiva
1775,do
1776,sistema
1777,de
1778,controle
1779,de
1780,acesso
1781,de
1782,pessoas
1783,e
1784,veículos
1785,do
1786,Edifício
1787,Sede
1788,da
1789,Câmara
1790,Legislativa
1791,do
1792,Distrito
1793,Federal
1794,.
1795,Valor
1796,:
1797,R$
1798,"246.059,97"
1799,.
1800,Unidade
1801,Gestora
1802,010101
1803,","
1804,gestão
1805,00001
1806,","
1807,unidade
1808,orçamentária
1809,01101
1810,","
1811,programa
1812,de
1813,trabalho
1814,01122820485170065
1815,","
1816,fonte
1817,de
1818,recurso
1819,100000000
1820,;
1821,natureza
1822,da
1823,despesa
1824,339039
1825,.
1826,Nota
1827,de
1828,empenho
1829,:
1830,2021NE00326
1831,","
1832,com
1833,valor
1834,de
1835,R$
1836,"153.911,98"
1837,","
1838,emitida
1839,em
1840,11/06/2021
1841,.
1842,Unidade
1843,Gestora
1844,010101
1845,","
1846,gestão
1847,00001
1848,","
1849,unidade
1850,orçamentária
1851,01101
1852,","
1853,programa
1854,de
1855,trabalho
1856,01122820485170065
1857,","
1858,fonte
1859,de
1860,recurso
1861,100000000
1862,;
1863,natureza
1864,da
1865,despesa
1866,339030
1867,.
1868,Nota
1869,de
1870,empenho
1871,:
1872,2021NE00327
1873,","
1874,com
1875,valor
1876,de
1877,R$
1878,"68.326,13"
1879,","
1880,emitida
1881,em
1882,11/06/2021
1883,.
1884,Unidade
1885,Gestora
1886,010101
1887,","
1888,gestão
1889,00001
1890,","
1891,unidade
1892,orçamentária
1893,01101
1894,","
1895,programa
1896,de
1897,trabalho
1898,01126820414710006
1899,","
1900,fonte
1901,de
1902,recurso
1903,100000000
1904,;
1905,natureza
1906,da
1907,despesa
1908,449040
1909,.
1910,Nota
1911,de
1912,empenho
1913,:
1914,2021NE00328
1915,","
1916,com
1917,valor
1918,de
1919,R$
1920,"18.000,00"
1921,","
1922,emitida
1923,em
1924,11/06/2021
1925,.
1926,Unidade
1927,Gestora
1928,010101
1929,","
1930,gestão
1931,00001
1932,","
1933,unidade
1934,orçamentária
1935,01101
1936,","
1937,programa
1938,de
1939,trabalho
1940,01126820425572627
1941,","
1942,fonte
1943,de
1944,recurso
1945,100000000
1946,;
1947,natureza
1948,da
1949,despesa
1950,339040
1951,.
1952,Nota
1953,de
1954,empenho
1955,:
1956,2021NE00329
1957,","
1958,com
1959,valor
1960,de
1961,R$
1962,"5.821,86"
1963,","
1964,emitida
1965,em
1966,11/06/2021
1967,.
1968,Vigência
1969,:
1970,12
1971,(
1972,doze
1973,)
1974,meses
1975,a
1976,contar
1977,da
1978,data
1979,de
1980,25/05/2021
1981,","
1982,com
1983,eficácia
1984,a
1985,partir
1986,da
1987,data
1988,da
1989,publicação
1990,do
1991,seu
1992,extrato
1993,no
1994,Diário
1995,Oficial
1996,do
1997,Distrito
1998,Federal
1999,.
2000,Legislação
2001,:
2002,Lei
2003,8.666/93
2004,e
2005,suas
2006,alterações
2007,.
2008,Partes
2009,:
2010,Pela
2011,Contratante
2012,","
2013,MARLON
2014,CARVALHO
2015,CAMBRAIA
2016,Secretário-Geral
2017,","
2018,e
2019,","
2020,pela
2021,Contratada
2022,","
2023,ALINE
2024,D'ALESSANDRO
2025,ALVES
2026,-
2027,Representante
2028,da
2029,Empresa
2030,.
2031,FUNDO
2032,DE
2033,ASSISTÊNCIA
2034,À
2035,SAÚDE
2036,DOS
2037,DEPUTADOS
2038,DISTRITAIS
2039,E
2040,SERVIDORES
2041,DA
2042,CÂMARA
2043,LEGISLATIVA
2044,EXTRATO
2045,DO
2046,CONTRATO
2047,DE
2048,RATEIO
2049,N
2050,°
2051,07/2021
2052,Objeto
2053,:
2054,Constitui
2055,o
2056,objeto
2057,do
2058,presente
2059,Contrato
2060,de
2061,Rateio
2062,a
2063,transferência
2064,de
2065,recursos
2066,financeiros
2067,do
2068,CONSORCIADO
2069,ao
2070,CONSÓRCIO
2071,relativo
2072,a
2073,compra
2074,compartilhada
2075,de
2076,medicamentos
2077,","
2078,correlatos
2079,","
2080,insumos
2081,e
2082,equipamentos
2083,de
2084,proteção
2085,individual
2086,","
2087,no
2088,ano
2089,de
2090,2021
2091,.
2092,Consórcio
2093,:
2094,Consórcio
2095,Interestadual
2096,de
2097,Desenvolvimento
2098,do
2099,Brasil
2100,Central
2101,-
2102,BrC
2103,","
2104,inscrito
2105,no
2106,CNPJ
2107,/
2108,MF
2109,sob
2110,o
2111,n
2112,°
2113,23.791.169/
2114,0001-02
2115,;
2116,Consorciado
2117,:
2118,Estado
2119,de
2120,Rondônia
2121,","
2122,inscrito
2123,no
2124,CNPJ
2125,/
2126,MF
2127,sob
2128,o
2129,n
2130,°
2131,00.394.585/
2132,0001-71
2133,;
2134,Secretaria
2135,de
2136,Estado
2137,de
2138,Saúde
2139,de
2140,Rondônia
2141,","
2142,inscrita
2143,no
2144,CNPJ
2145,/
2146,MF
2147,sob
2148,o
2149,n
2150,°
2151,00.733.062/
2152,0001-52
2153,;
2154,Fundo
2155,Estadual
2156,de
2157,Saúde
2158,do
2159,Estado
2160,de
2161,Rondônia
2162,","
2163,inscrito
2164,no
2165,CNPJ
2166,/
2167,MF
2168,sob
2169,o
2170,n
2171,°
2172,00.733.062/
2173,0001-52
2174,;
2175,Valor
2176,das
2177,Transferências
2178,:
2179,O
2180,CONSORCIADO
2181,se
2182,compromete
2183,a
2184,transferir
2185,ao
2186,CONSÓRCIO
2187,o
2188,montante
2189,de
2190,R$
2191,"898.853,80"
2192,(
2193,oitocentos
2194,e
2195,noventa
2196,e
2197,oito
2198,mil
2199,","
2200,oitocentos
2201,e
2202,cinquenta
2203,e
2204,três
2205,reais
2206,e
2207,oitenta
2208,centavos
2209,)
2210,.
2211,Fundamentação
2212,Legal
2213,:
2214,O
2215,presente
2216,Contrato
2217,de
2218,Rateio
2219,tem
2220,a
2221,sua
2222,fundamentação
2223,jurídica
2224,no
2225,art.
2226,8º
2227,da
2228,Lei
2229,Federal
2230,nº
2231,11.107
2232,","
2233,de
2234,06
2235,de
2236,abril
2237,de
2238,2005
2239,","
2240,no
2241,Decreto
2242,Federal
2243,nº
2244,6.017
