,texto
76,"AVISO DE REVOGACAO DE LICITACAO
PREGAO ELETRONICO No 17/2019
A Camara Legislativa do Distrito Federal informa a revogacao do certame em epigrafe, conforme decisao
proferida no processo no 001-000631/2019, cujo objeto e o Registro de Preco para eventual contratacao de
empresa especializada em locacao, montagem e desmontagem de gradil de contencao e placas de
fechamento para a Camara Legislativa do Distrito Federal. Mais informacoes: (61) 3348-8650 e
cpl@cl.df.gov.br. Brasilia/DF, 15/07/2019. Daniel Luchine Ishihara - Pregoeiro."
82,"AVISO DE REVOGACAO
PREGAO ELETRONICO No 35/2019
Objeto: aquisicao de material de consumo - CBUQ - concreto betuminoso usinado a quente - faixa c,
conforme especificacoes e condicoes no anexo I do edital, Processo SEI no 0011 3 . 0 0 0 1 3 8 8 2 / 2 0 1 9 - 2 3 .
Revogada a licitacao acima, conforme fundamentacao nos autos do processo.
Brasilia/DF, 15 de julho de 2019.
CELIA MARIA SIQUEIRA LEAL
Diretora"
89,"AVISO DE REVOGACAO
Comunicamos aos interessados na Concorrencia no 010/2017 - ASCAL/PRES - do tipo menor preco
unitario - para execucao de drenagem pluvial e pavimentacao asfaltica, intertravada e execucao de meio-
fio no Setor de Habitacoes Coletivas Noroeste - Parque Burle Marx, em Brasilia - DF, que a mesma fica
revogada por conveniencia administrativa, conforme fundamentado nos autos do processo no
112.000.935/2017. Data da ultima publicacao no DODF no 75, de 19 de abril de 2017, pagina 37. Para
maiores informacoes ligar para o telefone (0xx61) 3403-2321 ou (0xx61) 3403-2322.
Brasilia/DF, 15 de julho de 2019.
DELCIMAR PIRES MARTINS
Chefe da ASCAL/PRES"
94,"AVISOS DE REVOGACAO
LICITACAO No 001-P01013/2018
A CEB Distribuicao S/A, por meio da Comissao Permanente de Licitacao - CPL, localizada no SIA
Setor de Areas Publicas, Lote C, Bloco H, CEB - Brasilia-DF, torna publico que fica revogada a
licitacao em epigrafe, relativa a CONTRATACAO DE OBRAS DE IMPLANTACAO DA LINHA
AEREA DE DISTRIBUICAO EM 138kV ITAPOA x SOBRADINHO TRANSMISSAO. Demais
informacoes, no horario das 8h as 12h e das 14h as 17h ou por meio dos telefones: 3465-
9012/9287.
Brasilia/DF, 12 de julho de 2019
MARCELO ANDRADE CRUZ
Presidente da Comissao"
95,"AVISO DE ANULACAO PREGAO ELETRONICO (SRP) 10/2019
(EXCLUSIVO PARA ENTIDADES PREFERENCIAIS)
A SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO
RURAL DO DISTRITO FEDERAL, torna publico que fica anulada a licitacao supracitada, referente ao
Processo no 00070-00004102/2019-61. Objeto: Contratacao de servico de investigacao geotecnica para
execucao de sondagem a percussao. Serao aproximadamente 30 (trinta) furos de sondagem a percussao,
distribuidos em diversos terrenos de propriedade do Governo do Distrito Federal, visando subsidiar a
elaboracao de projetos de fundacoes para edificacoes voltadas para a area rural e/ou para a manutencao dos
proprios da SEAGRI, sobretudo nas Regioes Administrativas de Brazlandia, Lago Norte, Paranoa,
Planaltina, Plano Piloto (Asa Norte) e Sao Sebastiao, para fins de correcao da forma de apresentacao dos
precos em termo de referencia, para que seja possivel aos licitantes incluir nos precos ofertados todos os
custos necessarios a execucao do servicos.
EDILENE DIAS CERQUEIRA
Pregoeira"
108,"AVISO DE ANULACAO
PREGAO ELETRONICO No 37/2019
Processo No 00053-00050726/2019-41/CBMDF. TIPO: Menor preco. OBJETO: Contratacao de empresa
especializada para realizar servicos continuados de manutencao, reparo e reposicao de pecas e fluidos
originais dos equipamentos e aparelhos odontologicos da Policlinica Odontologica do CBMDF,
conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do
Edital. O DICOA informa a ANULACAO do item 6.8 do edital; do item 5.8 do termo de referencia;
da tabela do item 5.6 do termo de referencia e a fase externa da licitacao do pregao em epigrafe, com
fulcro no item 16.6 do edital c/c, art. 49 da Lei no 8.666/1993, art. 29 do Decreto no 5.450/2005 e
art. 53 da Lei no 9.784/1999, em razao da existencia de vicios insanaveis no certame conforme aponta
o Relatorio de Analise do Pregoeiro. Visto o art. 109, I, ""c"", da Lei 8.666/1993, fica aberto o prazo
recursal de 5 (cinco) dias uteis. Inf.: (61) 3901-3481.
MARCELO TEIXEIRA DANTAS
Diretor"
113,"AVISO DE ANULACAO
PREGAO ELETRONICO POR SRP No 05/2019 - UASG 926119
A Pregoeira da Central de Compras/SUAG comunica a anulacao da licitacao supracitada, por decisao do
Subsecretario de Administracao Geral, Antony Araujo Couto, haja vista as impropriedades tecnicas
identificadas no termo de referencia.
PRISCILLA MOREIRA FALCAO FIGUEIREDO"
114,"AVISO DE REVOGACAO
EDITAL DE CONCORRENCIA N 12/2018 - CRIXA
A Comissao Permanente de Licitacao - CPL/CODHAB comunica aos interessados que o Diretor-
Presidente/CODHAB decidiu revogar o Edital de Concorrencia n 12/2018, processo n.o 0392-0003741/2018-
69 cujo objeto e a contratacao de empresa para a execucao das obras de implantacao de infraestrutura externa
(sistemas de abastecimento de agua potavel e esgotamento sanitario, Drenagem e pavimentacao) ao
empreendimento situado no Bairro Crixas em Sao Sebastiao, uma vez que o objeto nao mais atende suas
necessidades atuais, consubstanciando sua decisao no Despacho SEI-GDF CODHAB/PRESI/CPL devidamente
fundamentado na Despacho SEI-GDF CODHAB/PRESI/SECEX e com fulcro no caput do art. 49 da Lei
8.666/93 e Sumula 473 do STF, estando o processo a disposicao no Portal de Sistema Eletronico de Informacoes
- SEI. Fica assegurado o direito a ampla defesa e ao contraditorio, nos termos do  3o, art. 49 c/c a alinea ""c"",
inciso I do art. 109, da citada Lei. Transcorrido o prazo concedido para a ampla defesa e o contraditorio sem
manifestacao o ato da Revogacao restara consumado.
Brasilia/DF, 26 de dezembro de 2018
GILSON PARANHOS
D i r e t o r- P r e s i d e n t e"
129,"AVISO DE ANULAÇÃO
PREGÃO ELETRÔNICO Nº 57/2021

Processo: 00053-00082079/2021-51. TIPO: Menor preço. OBJETO: Contratação de empresa para execução de serviço contínuo comum de operação e manutenção preventiva e corretiva nos equipamentos de climatização instalados na Policlínica Médica (POMED) e Policlínica Odontológica (PODON) do CBMDF, conforme Edital e anexos. O DICOA informa que a licitação publicada no DODF nº 206 e DOU nº 207, ambos do dia 04/11/2021, foi ANULADA em virtude da identificação de vícios insanáveis no Edital. Inf: (61) 3901-3614.

HÉLIO PEREIRA LIMA

Diretor"
130,"AVISO DE ANULAÇÃO DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 32/2021

Processo: 00050-00037099/2020-71. TIPO: Menor Preço. MODO DE DISPUTA: Aberto. OBJETO: Registro de Preço para futura aquisição de equipamentos de Tecnologia da Informação e Comunicação (TIC) objetivando a aquisição de Solução de Firewalls, envolvendo a prestação dos serviços de instalação, configuração, suporte técnico, manutenção e treinamento composto de operação assistida e tutela técnica para sustentação de serviços de Segurança Pública do DF. A SSP informa aos interessados no presente Certame a ANULAÇÃO do Pregão Eletrônico nº 32/2021-SSPDF, com fulcro nos termos do art. 4º, III, da Lei federal nº 10.520/2002 e art. 14, III, do Decreto federal nº 10.024/2019, bem como violação dos princípios da legalidade, do julgamento objetivo, da isonomia, da publicidade e da competitividade, estabelecidos pelo art. 37 da Constituição Federal, pelo art. 19 da Lei Orgânica do DF, e no art. 2º, do Decreto Federal nº 10.024/2019.

Brasília/DF, 05 de janeiro de 2022

CELSO WAGNER LIMA

Subsecretário"
142,"AVISO DE REVOGAÇÃO DE PREGÃO ELETRÔNICO Nº 04/2021
Processo: 00074-00000002/2020-97. OBJETO: Venda de madeira em pé da espécie Pinus sp, com corte e retirada do insumo no local, conforme especificações, condições e exigências estabelecidas no Edital nº 04/2021 e seus anexos. Em razão da impossibilidade de prosseguimento do certame em decorrência da falha de sistema relatada na Nota Técnica CAIXA - NT_0004_2021_CEPEM 08_12_2021 (75803745), REVOGA-SE o Pregão Eletrônico nº 04/2021, a que se refere o Edital de Licitação 04/2021 (67386008).

SALVADOR CARDOSO

Pregoeiro"
150,"AVISO DE ANULAÇÃO PREGÃO ELETRÔNICO Nº 02/2021 - UASG: 926319
A Pregoeira da Fundação de Apoio à Pesquisa do Distrito Federal, comunica a anulação do certame licitatório oriundo do Edital de Licitação do Pregão Eletrônico nº 0002/2021 - SUAG/DGA/FAPDF - EXCLUSIVO ME/EPP. Informamos que serão feitas as devidas alterações para a continuidade dos procedimentos. Processo 00193-00000432/2021-05. Os autos ficam com vistas franqueadas aos interessados, nesta Fundação de Apoio à Pesquisa do Distrito Federal, pelo e-mail: cpl@fap.df.gov.br.

Brasília/DF, 24 de setembro de 2021

MARCILENE BONFIM LEITÃO SANTANA"
159,"AVISO DE LICITAÇÃO REFERENTE AO EDITAL Nº 07/2016 - IMÓVEIS
A Diretoria Colegiada da Companhia Imobiliária de Brasília - TERRACAP, em sua Decisão nº 570/2021-DIRET, 3569ª sessão, realizada em 13/10/2021, decidiu, em razão do pedido de desistência formulado pela licitante JR VIRGHINI EMPREENDIMENTOS IMOBILIÁRIOS LTDA (Proposta de Compra nº 5001003), pela revogação da licitação do ITEM 143 do Edital nº 07/2016, aplicando-se a penalidade de retenção do valor caucionado, pelos motivos apresentados no Relatório nº 211/2021-ADCOM.

Brasília/DF, 21 de outubro de 2021

BRUNO CESAR SANTANA DE MENESES

Presidente da Comissão"
175,"AVISO DE REVOGAÇÃO DE PREGÃO ELETRÔNICO Nº 06/2021-SRP UASG 926210
A Secretaria de Estado de Trabalho do Distrito Federal, no uso das atribuições legais, em conformidade com a Lei nº 8.666/93, Decreto nº 39.610/2019 e Decreto nº 38.362/2017, bem como a Decisão nº 3443/2021 do TCDF fundamentando sua decisão; a Nota Jurídica nº 37/2021-SETRAB/GAB/AJL e acolhida pelo Secretário de Estado de Trabalho do Distrito Federal, resolve: REVOGAR em todos os seus termos, por interesse, conveniência e oportunidade, o Pregão Eletrônico nº 006/2021, processo 04012-00003480/2020-15, cujo o objeto é o Registro de Preços para contratação de empresa especializada na prestação de serviço de qualificação profissional e atendimento em unidades móveis, incluído recursos materiais, humanos, tecnológicos e toda gestão operacional para atender à Secretaria de Estado de Trabalho do Distrito Federal - SETRAB.

Brasília/DF, 06 de outubro de 2021

EUYNDHER SANTOS DE MORAIS

Pregoeiro"
177,"AVISO DE ANULAÇÃO DO PREGÃO ELETRÔNICO SRP Nº 07/2021
O DIRETOR-PRESIDENTE DA COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL, comunica aos interessados a ANULAÇÃO do Pregão Eletrônico nº 07/2021, cujo objeto trata de contratação de empresa ou consórcio de empresas para prestação de serviços técnicos para a elaboração de estudos e projetos para regularização fundiária e urbana da Área de Interesse Social - ARIS Sol Nascente, para atender a Companhia de Desenvolvimento Habitacional do Distrito Federal   CODHAB/DF, conforme descrito no Anexo I do Edital, referente ao processo 00392-00007567/2021-29 Destaque-se que está disponível no sistema Comprasnet o evento de Anulação do certame em 16/02/2022, como procedimento para atendimento da Decisão 152/2022 TCDF.

Brasília/DF, 15 de fevereiro de 2022

WELLINGTON LUIZ"
187,"AVISO DE ANULAÇÃO DA LICITAÇÃO
CONCORRÊNCIA Nº 01/20121

A Companhia de Desenvolvimento Habitacional do Distrito Federal   CODHAB/DF, no uso de suas atribuições, torna público o Aviso de anulação da Concorrência 01/2021 - PROCESSO SEI Nº 00392-00014723/2020-27, que tem por objeto a promoção de empreendimentos habitacionais por meio da produção e comercialização de Unidades Habitacionais a serem disponibilizadas ao cadastro de habitação, em terrenos de propriedade da CODHAB localizadas em Santa Maria RA XIII, em atendimento à política habitacional do Governo do Distrito Federal, de acordo com as especificações e quantitativos contidos no Projeto Básico constante do Anexo I do Edital, conforme  após a aprovação da Súmula SEI-GDF CODHAB/PRESI/DIPRO n.º 26/2021 (67797043), pela Diretoria Executiva da CODHAB, em 23 de agosto de 2021 e solicitação da área demandante no Despacho CODHAB/PRESI/DIPRO/GEPHAB (72810303).

Brasília/DF, 26 de outubro de 2021.

FERNANDA VITORINO

Presidente da Comissão"
198,"AVISO DE REVOGAÇÃO
PREGÃO ELETRÔNICO Nº 56/2021

A presente licitação tem por objeto a aquisição de material permanente - aquisição de equipamentos para aparelhamento/substituição/melhoramento do Laboratório de Solos (NULSO) do Departamento de Estradas de Rodagem do Distrito Federal (DER/DF), tudo conforme especificado no Edital e em seus anexos. Processo 00113-00005906/2021-95.

Fica revogada, fundamentação nos autos do processo.

Brasília/DF, 29 de julho de 2021

ANA HILDA DO CARMO SILVA

Diretora"
206,"AVISO DE REVOGAÇÃO DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 07/2021

(AMPLA CONCORRÊNCIA)

O GOVERNO DO DISTRITO FEDERAL POR MEIO DA SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL   SEAGRI/DF torna público que, por decisão da Autoridade Competente, nos termos do art. 50, caput, do Decreto nº 10.024/2019, e art. 49, caput, da Lei nº 8.666/93, REVOGA a licitação do tipo MENOR PREÇO UNITÁRIO, na modalidade de PREGÃO na forma ELETRÔNICA, com previsão de abertura do certame para 07/07/2021, às 09h30m que se encontrava suspensa, processo 00070-00004590/2020-41(SEI). OBJETO: Aquisição de veículos do tipo furgão leve de carga para atender demandas de associações de produtores rurais do Distrito Federal, de modo a garantir o transporte de produtos da agricultura familiar até os pontos de comercialização e de insumos até as propriedades dos associados, de acordo com o detalhamento descrito no item 03, do Termo de Referência, Anexo I do Edital, com valor Total estimado em R$ 164.000,00 (cento e sessenta e quatro mil reais). O aviso do evento de revogação poderá ser retirado a partir da publicação no Portal www.comprasgovernamentais.gov.br ou no portal da SEAGRI-DF,  Licitação , a partir da sua divulgação.

NATANAEL FÉLIX DOS SANTOS

Pregoeiro"
215,"AVISO DE REVOGAÇÃO PARCIAL DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 07/2021   LOTE 4

A CARTÃO BRB S.A. torna público que o Lote 4, integrante da licitação referenciada no preâmbulo, fica revogado, tendo em vista questionamento impetrado judicialmente, via Mandado de Segurança (0732084-09.2021.8.07.0001   25ª Vara Cível de Brasília). Assim, no intuito maior de pugnar pelo melhor atendimento do interesse público, bem como permitir maior competividade no âmbito do procedimento licitatório, o Lote 4 resta excluído do certame. Novo edital, específico para a alienação do imóvel de propriedade da BRBCARD, será publicado a posteriori. Quanto aos demais lotes, sobre os quais não pairaram questionamentos ou impedimentos de natureza judicial, informa-se que seus objetos restam devidamente homologados.          

ALMIR FRANCISCO GOMES FILHO

Presidente da Comissão"
219,"AVISO DE REVOGAÇÃO CONCORRÊNCIA Nº 02/2021
A COMISSÃO PERMANENTE DE LICITAÇÃO, DA SUBSECRETARIA DE ADMINISTRAÇÃO GERAL, DA SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL, comunica aos interessados que a Subsecretaria de Administração Geral da SEDF, por interesse da administração e, baseada na justificativa apresentadas pela Subsecretaria de Infraestrutura Escolar (SEI nº 66298959), constante no processo 00080-00008717/2020-63, a Revogação da Concorrência em epígrafe. Os autos ficam com vistas franqueadas aos interessados.

JAIRO PEREIRA MARTINS

Presidente"
227,"AVISO DE REVOGAÇÃO DE LICITAÇÃO (*)
O Presidente da Comissão de Licitação para Compra de Bens, Serviços e Obras   CPLIC/TERRACAP, no uso das atribuições que lhe confere a Portaria nº 231/2021 - DIRAF, comunica a REVOGAÇÃO do seguinte certame.




Processo:



0111-002346/2016





Modalidade/número:



Concorrência nº 03/2017 - REVOGAÇÃO





Objeto:



Contratação da implantação das redes de esgotamento sanitário das redes públicas e condominiais para atendimento ao Trecho 2 da 1ª Etapa do Setor Habitacional Taquari - SHTQ;




Brasília/DF, 26 de agosto de 2021

GLAUBER TEODORO FARIA

Presidente da Comissão

__________________

(*) Republicado por ter saído com incorreção no DODF nº 164, de 30 de agosto de 2021, página 55."
