,texto
116,"AVISO DO PREGAO ELETRONICO No 079/2019
O BRB - BANCO DE BRASILIA S.A. torna publica a data de realizacao do Pregao Eletronico no
079/2019. Data, horario e endereco eletronico para abertura: 20/12/2019, as 11h (horario de Brasilia),
www.comprasgovernamentais.gov.br. Objeto: Licenciamento Vmware, com prazo de suporte por 36 meses,
e contratacao de creditos de servico especializado do fabricante. O valor estimado esta em conformidade
com o Art. 34 da Lei no 13.303/2016. Local de obtencao do edital: www.comprasg o v e r n a m e n t a i s . g o v. b r.
UASG: 925008. Processo no 988/2019. Thiago Rocha Ribeiro - Pregoeiro."
129,"AVISO DO PREGAO ELETRONICO No 065/2019
O BRB - BANCO DE BRASILIA S.A. torna publica a data de realizacao do Pregao Eletronico no
065/2019.  Data, horario  e endereco  eletronico  para abertura:  19/12/2019, as  14h,
www.comprasgovernamentais.gov.br. Objeto: a contratacao de Servico Telefonico Fixo Comutado (STFC).
O valor estimado esta em conformidade com o Art. 34 da Lei no 13.303/2016. Local de obtencao do edital:
www.comprasgovernamentais.gov.br. UASG: 925008. Processo no 891/2019. Rafael Madruga Lopes -
Pregoeiro.
SUPERINTENDENCIA DE MARKETING"
131,"AVISOS DE LICITACAO
PREGAO ELETRONICO PE No 284/2019
Processo: 092.006036/2019. OBJETO: Registro de precos para aquisicao de pecas e acessorios
originais para reposicao em equipamentos HIGRA (aeradores, bombas, misturadores, dentre outros).
CRITERIO DE JULGAMENTO: Menor Preco; DOTACAO ORCAMENTARIA: UO: 22.202;
PROGRAMA DE TRABALHO: 17.122.6001.8517/6977; NATUREZA DE DESPESA: 33.90.30;
Codigo de Aplicacao: 12.403.402.200-0. FONTE DE RECURSO: Recursos Proprios, CODIGO:
11.101.000.000-3. ENTREGA: 60 dias. VIGENCIA: 365 dias. ABERTURA: 12/12/2019, as 09 horas
no site www.comprasnet.gov.br (UASG: 974200). INFORMACOES: O edital e seus anexos
encontram-se disponiveis no site: www.caesb.df.gov.br - menu Licitacoes, a partir do dia 28/11/2019.
Fone: (61) 3213-7340, E-mail: licitacao@caesb.df.gov.br.
NARA MAGALHAES DA SILVA
Pregoeira"
143,"PREGAO ELETRONICO PE No 285/2019
Processo: 092.006224/2019. OBJETO: Servico de execucao do sistema de bombeamento simplificado
de esgoto bruto da Unidade de Gerenciamento de Lodo (UGL), a ser implantada na Estacao de
Tratamento de Esgotos Melchior (ETE.MCL.001), em Samambaia, no Distrito Federal, em regime de
""Turn Key"". CRITERIO DE JULGAMENTO: Menor Preco; DOTACAO ORCAMENTARIA: UO:
22.202; PROGRAMA DE TRABALHO: 17.512.6210.1832/0001; NATUREZA DE DESPESA:
44.90.51; Codigo de Aplicacao: 22.202.013.041-4. FONTE DE RECURSO: PAC/CEF/CAESB - CT
190.029-29, CODIGO: 21.206.100.230-5 e 21.101.100.000-6. EXECUCAO: 210 dias. VIGENCIA: 360
dias. ABERTURA: 18/12/2019, as 09 horas no site www.comprasnet.gov.br (UASG: 974200).
INFORMACOES: O edital e seus anexos encontram-se disponiveis no site: www.caesb.df.gov.br -
menu Licitacoes,  a partir  do dia 28/11/2019.  Fone: (61)  3213-7575, E-mail:
l i c i t a c a o @ c a e s b . d f . g o v. b r.
ELISA TEREZINHA HAMMES
Pregoeira"
149,"AVISO DE ABERTURA
PREGAO ELETRONICO POR SRP No 509/2018 - UASG 926119
Objeto: Contratacao de empresa especializada para prestacao de servicos de manutencao preventiva e
corretiva, com reposicao de pecas originais de fabrica, em 50 equipamentos de compressao mecanica
marca Zoll, modelo Auto Pulse Plus, de propriedade do SAMU/DF, conforme especificacoes e
quantitativos constantes no Anexo I do Edital. Processo SEI: 00060.00058454/2018-93. Total de 01 lote
composto por 02 itens. Valor Estimado: R$ 15.356.800,00. Cadastro das Propostas: a partir de 06/12/2018.
Abertura das Propostas: 20/12/2018, as 10 horas, horario de Brasilia, no site www.comprasnet.gov.br. O
Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas
Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da
SUAG/SES, CEP 70770-200, Brasilia/DF.
ERICA NEGRYS OLIVEIRA CALDAS
Pregoeira"
161,"AVISO DE LICITACAO
PREGAO ELETRONICO No 33/2018
Processo: 054.003.211/2017. Objeto: Registro de Preco de material medico-hospitalar, conforme
especificacoes e quantidades constantes no Anexo I do edital. Valor estimado: R$ 122.640,62 (cento
e vinte e dois mil seiscentos e quarenta reais e sessenta e dois centavos). Tipo: Menor Preco. Data
da abertura do pregao eletronico e limite para recebimento das propostas: 18 de dezembro de 2018
as 14h (horario de Brasilia). UASG: 926670. Unidade Orcamentaria: 170393. Fonte de Recursos: 100.
Elemento de Despesa: 3.3.90.30 (material de consumo). A copia do edital estara disponivel nos sitios
eletronicos www.comprasgovernamentais.gov.br e www.pmdf.df.gov.br a partir de 6 de dezembro de
2018. Informacoes: (61) 3190-8054 e dsap.sspregoes@pm.df.gov.br ou dsap.sspregoes@gmail.com.
Brasilia/DF, 5 de dezembro de 2018
ROGERIO BRITO DE MIRANDA
Ordenador de Despesas"
182,"PREGAO ELETRONICO No 25/2018 (*)
A SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL torna publico aos interessados, que
realizara licitacao na modalidade de Pregao Eletronico, Tipo Menor Preco, no dia 18/12/2018, as 09h30min,
cujo objeto consiste na aquisicao de switch para atender as necessidades da Biblioteca Nacional de Brasilia,
conforme condicoes e especificacoes constantes no Encarte A - Termo de Referencia. PROCESSO: 00150-
00003565/2017-72. Valor estimado da licitacao: R$ 10.463,10 no programa de trabalho no
13.122.6002.8517.9634 - Manutencao de Servicos Administrativos Gerais da SEC, Natureza de Despesa
33.90.30, fonte 100. O edital estara disponivel nos enderecos eletronicos: www.licitacoes-e.com.br,
w w w. c u l t u r a . d f . g o v. b r.
Brasilia/DF, 05 de dezembro de 2018
ELVIA PEREIRA DE SOUSA"
193,"AVISO DE REABERTURA DE LICITACAO
PREGAO ELETRONICO - SRP No 27/2018
A SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL torna publico aos interessados, que
realizara licitacao na modalidade de Pregao Eletronico, por meio de Registro de Precos do Tipo Menor Preco,
no dia 18/12/2018, as 09h30min, cujo objeto consiste na contratacao de empresa especializada, para prestar
servicos, por demanda, de manutencao predial e reformas, nos proprios desta Secretaria de Estado de Cultura -
SEC/DF, e outros que eventualmente passem a ser responsabilidade deste orgao, com fornecimento de pecas,
equipamentos, materiais e mao-de-obra, conforme especificacoes contidas no Encarte A do Edital - Termo de
Referencia. Processo no 00150-00009410/2018-21. Valor estimado da licitacao: R$8.277.096,19. O edital estara
disponivel nos enderecos eletronicos: www.licitacoes-e.com.br, www.cul t u r a . d f . g o v. b r.
Brasilia/DF, 05 de dezembro de 2018
ELVIA PEREIRA DE SOUSA
Pregoeira"
205,"AVISO DE ABERTURA
PREGAO ELETRONICO POR SRP No 85/2019 - UASG 926119
Objeto: Aquisicao regular do medicamento FULVESTRANTO SOLUCAO INJETAVEL 50 MG/ML
SERINGA PREENCHIDA 5 ML e outros, em sistema de registro de precos, para atender as necessidades
da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no Anexo I do Edital.
Processo SEI: 00060-00419465/2018-54. Total de 12 itens (ampla concorrencia, cotas reservadas e
exclusividade as ME/EPP). Valor Estimado: R$ 18.539.370,41. Cadastro das Propostas: a partir de
29/03/2019. Abertura das Propostas: 10/04/2019, as 09 horas, horario de Brasilia, no site
www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco:
SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83,
Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF.
JULIANA ARAUJO E SOUZA
Pregoeira"
217,"AVISO DE LICITACAO
PREGAO ELETRONICO No 13/2019
PROCESSO: 052.000150/2018-91 OBJETO: Aquisicao de Arquivo Deslizante para atendimento das
demandas da Central de Guarda e Custodia de Vestigios - CGCV/DPT da Policia Civil Do Distrito Federal
- PCDF, conforme a quantidade e especificacoes estabelecidas neste Termo de Referencia e em seu (s)
anexo (s), constante do Anexo I do Edital. TIPO: Menor Preco. Valor estimado da licitacao: R$ 450.000,00
(quatrocentos e cinquenta mil reais). Natureza de Despesa: 44.90.40, Fonte 332. Programa de Trabalho
06.181.6217.1569.0001- Desenvolvimento dos Programas Nacionais de Seguranca Publica - SSP. Unidade
Orcamentaria: 24101. UASG 926015. Prazo de execucao: 45 dias. Data limite do recebimento das
propostas: 11 de abril de 2019, as 10h30. O Edital, com todos seus anexos, devera ser obtido no site
www.comprasnet.gov.br ou www.pcdf.df.gov.br ou ainda na Comissao Permanente de Licitacao, localizada
no SPO, Conjunto A, Lote 23, Edificio da Direcao Geral, 3o Andar, Complexo da PCDF, Brasilia-DF, nos
dias uteis, no horario: das 12h as 18h30min, atraves de CD, o qual devera ser fornecido pelo interessado.
Maiores informacoes na CPL/PCDF fones: 3207-4071/4046.
Brasilia/DF, 28 de marco de 2019
KELLY CRISTINA CORDEIRO GUEDES
Pregoeira"
226,"AVISO DE LICITACOES
PROCEDIMENTO LICITATORIO - PL No 002/2018 - ASCAL/PRES - do tipo menor preco - para
contratacao de empresa de engenharia para obra execucao de recuperacao, reforco estrutural e revitalizacao
dos Viadutos localizados no Eixo Rodoviario Leste - ERL e no Eixo Rodoviario Oeste - ERW sobre a Via
N2 (Viadutos 06 e 08), em Brasilia/DF, inclusive elaboracao de projetos executivos - Valor estimado R$
6.244.870,06 - processo no 00112-00026231/2018-41. Data e horario da licitacao: 24 de abril de 2019 - as
09:00h."
236,"PROCEDIMENTO LICITATORIO - PL No 004/2018 - ASCAL/PRES - do tipo menor preco - por lote,
para contratacao de empresa de engenharia para execucao de Recuperacao Estrutural e Revitalizacao dos
Viadutos localizados nos Eixos Rodoviarios W e L e no Eixo Rodoviario - DF 002, sobre as vias de
ligacao entre as quadras comerciais locais das quadras 100 e 200, no Plano Piloto, DF, incluindo a
reconstrucao dos guarda-rodas e a elaboracao de projetos executivos, devidamente especificado no Edital
e seus anexo - Valor estimado R$ 8.481.156,10 - processo no 00112-00012822/2018-31. Data e horario da
licitacao: 25 de abril de 2019 - as 09:00h.
A NOVACAP realizara os certames na Sala de Licitacoes da ASCAL/PRES, sito no Setor de Areas
Publicas, Lote ""B"", Bloco ""A"" 1o andar - Sede da Companhia em Brasilia - DF. Os Editais e seus anexos
poderao ser retirados exclusivamente no site www.novacap.df.gov.br. Contatos: (061) 3403-2321 ou (061)
3403-2322 e email ascal@novacap.df.gov.br.
Brasilia/DF, 28 de marco de 2019
JOELMA ALVES MEIRELLES
Chefe da Ascal/Pres."
247,"AVISO DE LICITACAO PREGAO ELETRONICO No 02/2019
A Companhia de Desenvolvimento Habitacional do Distrito Federal - CODHAB/DF informa aos
interessados a realizacao do pregao eletronico para a Contratacao de empresa especializada na prestacao
de servicos de servicos de investigacao geotecnica por meio de ensaios de cisalhamento, adensamento,
triaxial, analise granulometrica por peneiramento simples e sedimentacao, compactacao e Indice de
Suporte California (ISC), determinacao do teor de umidade natural do solo, limite de liquidez e
plasticidade, massa especifica aparente ""in situ"", sondagem a trado e sondagem SPT, de acordo com as
especiEcacoes e quantitativos contidos neste Termo de Referencia constante do Anexo I do Edital. Data de
abertura: 10h00min do dia 10 de abril de 2019. O respectivo edital podera ser retirado no endereco
www.comprasnet.gov.br e www.codhab.df.gov.br. Processo: 00392-00012602/2018-26. Informacoes
referentes ao certame por meio do site ou por telefone: (61) 3214.1830.
Brasilia/DF, 27 de marco de 2019
CLAYLTON ARAGAO
Presidente da Comissao"
259,"AVISO DE ABERTURA
PREGAO ELETRONICO POR SRP No 132/2019 - UASG 926119
Objeto: Aquisicao regular do medicamento ATROPINA (SULFATO) SOLUCAO OFTALMICA e
outros em sistema de registro de precos, para atender as necessidades da Secretaria de Saude - DF,
conforme especificacoes e quantitativos constantes no anexo I do edital. Processo SEI no 00060-
00572632/2018-94. Total de 14 itens (ampla concorrencia, cotas e exclusividade as ME/EPP). Valor
Estimado: R$ 2.235.565,87. Cadastro das Propostas: a partir de 04/07/2019. Abertura das Propostas:
16/07/2019, as 09 horas, horario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se
disponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte
- Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES,
CEP 70770-200, Brasilia/DF.
CERIZE HELENA SOUZA SALES
Pregoeira"
271,"PREGAO ELETRONICO POR SRP No 133/2019 - UASG 926119
Objeto: Aquisicao de material medico hospitalar AZUL DE TRIPAN e outros em sistema de registro
de precos para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e
quantitativos constantes no Anexo I do Edital. Processo SEI no: 00060-00024654/2019-23. Total de 05
itens (ampla concorrencia, cota e exclusividade as ME/EPP). Valor Estimado: R$ 151.419,29. Cadastro
das Propostas: a partir de 04/07/2019. Abertura das Propostas: 16/07/2019, as 10 horas, horario de
Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou
com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco
""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasil i a / D F.
CERIZE HELENA SOUZA SALES
Pregoeira"
283,"PREGAO ELETRONICO POR SRP No 134/2019 - UASG 926119
Objeto: Aquisicao regular dos produtos ALIMENTOS PARA SITUACOES METABOLICAS
ESPECIAIS PARA NUTRICAO ENTERAL OU ORAL DE CRIANCAS A PARTIR DE 8 ANOS DE
IDADE, ADOLESCENTES E ADULTOS e outros em sistema de registro de precos, para atender as
necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos constantes no
Anexo I do Edital. Processo SEI no: 00060-00022038/2019-38. Total de 05 itens (ampla concorrencia,
exclusivo as ME/EPP e cotas reservas as ME/EPP). Valor Estimado: R$ 947.158,56. Edital e Cadastro
das Propostas: a partir de 04/07/2019. Abertura das Propostas: 16/07/2019 as 10 horas, horario de
Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou
com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco
""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasil i a / D F.
ERICA NEGRYS OLIVEIRA CALDAS
Pregoeira"
295,"PREGAO ELETRONICO POR SRP No 135/2019 - UASG 926119
Objeto: Aquisicao regular do medicamento GLICINA (ACIDO AMINOACETICO) SOLUCAO
ESTERIL, APIROGENCIA 15 MG/ML BOLSA 3000 ML e outros, em sistema de registro de precos,
para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e quantitativos
constantes no Anexo I do Edital. Processo SEI no: 00060-00001512/2019-98. Total de 08 itens (ampla
concorrencia, cotas e exclusividade as ME/EPP). Valor Estimado: R$ 477.221,9677. Cadastro das
Propostas: a partir de 04/07/2019. Abertura das Propostas: 16/07/2019, as 09 horas, horario de
Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou
com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco
""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasil i a / D F.
PRISCILLA MOREIRA FALCAO FIGUEIREDO
Pregoeira"
307,"AVISOS DE LICITACAO
PREGAO ELETRONICO No 22/2019
PROCESSO: 00054-00008685/2019-61. Objeto: Aquisicao de material de consumo, de materiais de
limpeza, a serem utilizados na limpeza de instalacoes, viaturas e area de convivencia, treinamento e
descanso de caninos e equinos pertencentes a PMDF e animais diversos capturados pela acao da PMDF e
que serao devolvidos a sua origem, conforme especificacoes e quantidades estimadas descritas no Termo
de Referencia, anexo I do Edital. Valor previsto: R$ 128.176,90 (cento e vinte e oito mil e cento e setenta
e seis reais e noventa centavos). Tipo: menor preco por item. Data limite para recebimento das propostas:
Dia: 18/07/2019 as 14h (horario de Brasilia/DF). Elemento de Despesa: 4.4.90-52 ou 3.3.90-30. Copia do
Edital se encontra no sitio www.comprasgovernamentais.gov.br e em www.pm.df.gov.br. UASG: 926016.
Informacoes: 3190-5555/3190-5556/3190-5557/3190-5559.
Brasilia/DF, 03 de julho de 2019.
STEFANO ENES LOBAO
Ordenador de Despesas"
