,processo_gdf,modalidade_licitacao,numero_licitacao,valor_estimado_contratacao,text,labels
10,113.00020967/2018-87,PREGAO ELETRONICO,98/2018,"1.162.513,10","PREGAO ELETRONICO No 98/2018 Aquisicao de material de Consumo - Registro de Precos para aquisicao de EPI s , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.00020967/ 2018-87 . Data e horario para recebimento das propostas : ate 09h00min do 06 de dezembro de 2018 , com valor estimado de R$ 1.162.513,10 . Demais informacoes conforme edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O 
11,113.000127/2017,PREGAO ELETRONICO,99/2018,"7.152,60","PREGAO ELETRONICO No 99/2018 Aquisicao de material de Consumo - Desempenadeira , prumo , peneira colher de pedreiro , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.000127/2017 . Data e horario para recebimento das propostas : ate 09h00min do dia 06 de dezembro de 2018 , com valor estimado de R$ 7.152,60 . Demais informacoes conforme edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O 
12,113.09607/2014,PREGAO ELETRONICO,100/2018,"6.268,10","PREGAO ELETRONICO No 100/2018 Aquisicao de material de Permanente - GPS , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.09607/2014 . Data e horario para recebimento das propostas : ate 09h00min do dia 06 de dezembro de 2018 , com valor estimado de R$ 6.268,10 . Demais informacoes conforme edital . Os respectivos editais poderao ser retirados exclusivamente nos enderecos eletronicos www.der.df.gov.br e www.licitacoes-e.com.br . Demais informacoes no proprio edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
13,11 3,PREGAO ELETRONICO,101/2018,"79.753,12","PREGAO ELETRONICO No 101/2018 Contratacao de empresa especializada para a realizacao de servicos de reparo de radiadores e trocadores de calor , com aplicacao de pecas , dos veiculos pertencentes a frota do Departamento de Estradas de Rodagem - DER / DF , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 11 3 . 0 0 0 2 7 0 3 3 / 2 0 1 8 - 7 6 . Data e horario para recebimento das propostas : ate 09h00min do dia 11 de dezembro de 2018 , com valor estimado de R$ 79.753,12 . Demais informacoes conforme edital . O respectivo edital podera ser retirado exclusivamente nos enderecos eletronicos www.der.df.gov.br e www.comprasgovernamentais.gov.br . Demais informacoes no proprio edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
14,,PREGAO ELETRONICO,24/2018,"278.077,10","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO SRP No 24/2018 ( UASG 450432 ) Objeto : Aquisicao de materiais para os laboratorios de biologia e quimica das Unidades Escolares participantes do Programa de Fomento a Implementacao de Escolas de Ensino Medio em Tempo Integral - EMTI , da Secretaria de Estado de Educacao do Distrito Federal - SEEDF , por meio de Sistema de Registro de Precos ( SRP ) , conforme especificacoes e condicoes estabelecidas no termo de referencia constante do Anexo I do Edital , no valor global estimado de R$ 278.077,10 ( quinhentos duzentos e setenta e oito mil , setenta e sete reais e dez centavos ) , com data e horario marcado para abertura do certame as 13h do dia 05 de dezembro de 2018 , objeto do procedimento administrativo no 00080-00029272/ 2017-50 . O Edital podera ser retirado exclusivamente no endereco eletronico https://www.comprasgovernamentais.gov.br , Informacoes referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do endereco https://www.comprasgovernamentais.gov.br . Brasilia - D F. Brasilia / DF , 21 de Novembro de 2018 . JOSEMAR SALVIANO DA SILVA Pregoeiro ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
15,,PREGAO ELETRONICO,25/2018,"32.396,85","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO SRP No 25/2018 ( UASG 450432 ) Objeto : Registro de Precos , para eventual aquisicao de maquinas de costura e suporte de fundo infinito para a realizacao de oficinas de teatro nas Unidades Escolares participantes do Programa de Fomento a Implementacao de Escolas de Ensino Medio em Tempo Integral - EMTI , da Secretaria de Estado de Educacao do Distrito Federal - SEEDF , no valor global estimado de R$ 32.396,85 ( trinta e dois mil , trezentos e noventa e seis reais e oitenta e cinco centavos ) , com data e horario marcado para abertura do certame as 15h do dia 05 de dezembro de 2018 , objeto do procedimento administrativo no 00080- 00047090/ 2017-61 . O Edital podera ser retirado exclusivamente no endereco eletronico https://www.comprasgovernamentais.gov.br , Informacoes referentes ao cadastro para participacao e demais procedimentos serao obtidas atraves do endereco https://www.comprasgovernamentais.gov.br . Brasilia - D F. Brasilia / DF , 21 de Novembro de 2018 . JOSEMAR SALVIANO DA SILVA Pregoeiro ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
16,0072-000354/2017,PREGAO ELETRONICO,04/2018,"188.977,52","AVISO DE LICITACAO PREGAO ELETRONICO No 04/2018 Processo : 0072-000354/2017 . Tipo : Menor Preco por Lote . Objeto : Contratacao de empresa especializada na PRESTACAO DE SERVICO TELEFONICO FIXO COMUTADO ( STFC ) , destinado ao uso do publico em geral na modalidade Local e Longa Distancia Nacional , com fornecimento de 02 ( dois ) feixe E1 ( 60 canais ) e sinalizacao R2 digital , com servico de DDR - Discagem Direta a Ramal para 200 ( duzentos ) ramais e Instalacao de 28 ( vinte e oito ) Linhas Diretas nao Residenciais em areas urbanas e rurais dentro do DF e/ou regiao do entorno , com a devida portabilidade , pelo periodo de 12 ( doze ) meses , podendo ser prorrogado na forma da Lei . Valor estimado : R$ 188.977,52 ( cento e oitenta e oito mil novecentos e setenta e sete reais e cinquenta e dois centavos ) . Programa de Trabalho : 20.122.6001.8517.0093 ; Fonte : 100 ; Natureza das Despesas : 33.90.39 Prazo de instalacao : 60 dias uteis . Recebimento das Propostas : ate 07/12/2018 as 14h00min no endereco eletronico www.comprasnet.gov.br UASG 926241 . Data da Sessao Publica : 07/12/2018 as 14h00min . Edital disponivel no endereco descrito acima . Assina : Meire Maria Pinto - Pregoeira . ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
17,0050.000653/2017,PREGAO ELETRONICO,32/2018,"295.608.393,00","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 32/2018 PROCESSO SEI-GDF no : 0050.000653/2017 . TIPO : Menor Preco . OBJETO : Contratacao de empresas especializadas para a prestacao de servico continuo , comum de preparacao e fornecimento de quatro alimentacoes diarias para pessoas privadas de liberdade , recolhidas no Centro de Detencao Provisoria ( CDP ) , Penitenciaria do Distrito Federal I ( PDF I ) , Penitenciaria do Distrito Federal II ( PDF II ) , e Centro de Internamento e Reeducacao ( CIR ) , unidades que compoem o Sistema Penitenciario do Distrito Federal , conforme especificacoes , condicoes e exigencias do Termo de Referencia que segue como Anexo I do Edital VALOR TOTAL ESTIMADO : R$ 295.608.393,00 DOTACAO : UO 24.101 - SSP / DF . PROG . TRAB . : 06.421.6211.2540.0006 . N.D. 3.3.90.39 . F.R. : 100 . PRAZOS : De Execucao : Diariamente , de acordo com o Anexo I do Edital . Vigencia do contrato : 30 meses . DATA DA SESSAO PUBLICA : 05/12/2018 , as 09h00min no www.comprasgovernamentais.gov.br . UASG 450107 . O Edital esta disponivel no endereco acima e no http://licitacoes.ssp.df.gov.br . Brasilia / DF , 21 de novembro de 2018 . FRANKNEI DE OLIVEIRA RODRIGUES Coordenador de Licitacoes , Contratos e Convenios ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
18,092.005941/2018,PREGAO ELETRONICO,229/2018,,"AVISO DE LICITACAO - COTA RESERVADA PREGAO ELETRONICO No 229/2018 PROCESSO No 092.005941/2018 . OBJETO : Contratacao de servicos , por intermedio de empresa especializada , para a realizacao de eventos da Companhia de Saneamento Ambiental do Distrito Federal - Caesb no DF ou em outros estados onde houver necessidades estrategicas da Empresa , sob demanda , abrangendo planejamento operacional , organizacao , execucao , acompanhamento , fornecimento de alimentacao e bebida , transporte , infraestrutura , apoio logistico , ornamentacao e a confeccao e fornecimento brindes em geral . CRITERIO DE JULGAMENTO : Menor Preco . DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.131.6001.8505/6967 ; N AT U R E Z A DE DESPESA : 339039 ; Codigo de Aplicacao : 12.100.104. 305-1 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 11.101.000. 000-3 . VIGENCIA : 12 meses . ABERTURA : 13/12/2018 , as 08:30 horas no site www.comprasnet.gov.br ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes , a partir do dia 22/11/2018 . Fone : ( 61 ) 3213- 7429 , E-mail : licitacao@caesb.df.gov.br . JULIO CESAR SEGURADO COELHO Pregoeiro ",O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
19,092.004517/2018,PREGAO ELETRONICO,230/2018,,"AVISO DE LICITACAO - REQUISITOS AMBIENTAIS . PREGAO ELETRONICO No 230/2018 PROCESSO : 092.004517/2018 . OBJETO : Registro de precos para aquisicao de artigos para uso em laboratorio ( balao volumetrico , balde em aco , frasco , tubo para centrifuga e outros ) . CRITERIO DE JULGAMENTO : Menor Preco ; DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.122.6001.8517/6977 ; NATUREZA DE DESPESA : 339030 ; Codigo de Aplicacao : 12.403.402. 200-0 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 11.101.000. 000-3 . ENTREGA : 30/45 dias . VIGENCIA : 12 meses . ABERTURA : 06/12/2018 , as 09 horas no site www . c o m p r a s n e t . g o v. b r ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes , a partir do dia 22/11/2018 . Fone : ( 61 ) 3213- 7575 , E-mail : l i c i t a c a o @ c a e s b . d f . g o v. b r. ELISA TEREZINHA HAMMES Pregoeira ",O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
