,processo,tipo,objeto,CNPJ,valor,valor_total,modo_disputa,texto
10,00097-00006451/2018-75, Menor Preco,nan,11.545.051/0001-15,nan,nan,nan,"
PREGAO ELETRONICO No 30/2018-METRO-DF,
OCORRIDA NA 1208a REUNIAO ORDINARIA, REALIZADA EM 14/11/2018
Processo: 00097-00006451/2018-75 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano
do DF informa a Adjudicacao pelo Pregoeiro, a empresa ALVORADA SERVICOS DE REFORMA
EM GERAL LTDA., CNPJ no. 11.545.051/0001-15, vencedora do pregao descrito acima, para
execucao de obras de acessibilidade na Estacao Arniqueiras (implantacao de escadas rolantes), pelo
valor global de R$1.153.854,00 (hum milhao cento e cinquenta e tres mil oitocentos e cinquenta e
quatro reais), e a consequente HOMOLOGACAO do prefalado certame, com fulcro no art. 6, IV, do
Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia, ficando as demais
condicoes reguladas pelo Termo de Referencia, Edital e na proposta da empresa vencedora do certame
licitatorio.  Os Termos  de Adjudicacao  e Homologacao  encontram-se no  sitio
www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
11,00097-00003282/2018-11, Menor Preco,nan,21.306.287/0001-52,nan,nan,nan,"
PREGAO ELETRONICO No 31/2018-METRO-DF,
OCORRIDA NA 1210a REUNIAO ORDINARIA, REALIZADA EM 29/11/2018
Processo: 00097-00003282/2018-11 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano
do DF informa a ADJUDICACAO pelo Pregoeiro, a empresa TECNO2000 INDUSTRIA E
COMERCIO LTDA., CNPJ no. 21.306.287/0001-52, visando a aquisicao de 24 (vinte e quatro) bancos
de plataforma para instalacao nas Estacoes 106, 110 e EPQ (novas Estacoes do METRO-DF), pelo
valor de R$72.000,00 (setenta e dois mil reais), e valor global com ICMS equalizado de R$79.920,00
(setenta e nove mil novecentos e vinte reais), e a consequente HOMOLOGACAO do certame, com
fulcro no art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da
Companhia, ficando as demais condicoes reguladas pelo Termo de Referencia, Edital e na proposta
da empresa vencedora do certame. Os Termos de Adjudicacao e Homologacao encontram-se no sitio
www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
12,nan, Menor Preco,nan,nan,nan,nan,nan,"
PREGAO ELETRONICO No 32/2018-METRO-DF,
OCORRIDA NA 1210a REUNIAO ORDINARIA, REALIZADA EM 29/11/2018
Processo: 0097-000471/2017-METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do DF
informa a Adjudicacao pelo Pregoeiro, a empresa ELETRAC SERVICOS LTDA., CNPJ no"
13,nan, Menor Preco," Registro de precos de solucao de
videomonitoramento, incluindo fornecimento, instalacao, integracao de equipamentos, componentes,
acessorios, materiais em solucao de videomonitoramento e manutencao de rede de fibra optica, conforme
especificacoes detalhadas no Termo de Referencia; visando a integracao e manutencao dos diversos
projetos que compoem o Sistema de Videomonitoramento existente na Secretaria de Estado da Seguranca
Publica e da Paz Social (SSP), bem como a implantacao deste complexo nas Regioes Administrativas do
Distrito Federal, em conformidade com as especificacoes e quantidades constantes no Termo de Referencia
e seus anexos constantes do Anexo I do Edital",04.799.835/0001-04,"1.301.645,32","1.301.645,32",nan,"
PREGAO ELETRONICO No 37/2018
REPETICAO DOS GRUPOS 1 E 3 FRACASSADOS NO
PREGAO ELETRONICO N 07/2018-SSPDF
PROCESSO: 0050-001259/2017. TIPO: Menor Preco. OBJETO: Registro de precos de solucao de
videomonitoramento, incluindo fornecimento, instalacao, integracao de equipamentos, componentes,
acessorios, materiais em solucao de videomonitoramento e manutencao de rede de fibra optica, conforme
especificacoes detalhadas no Termo de Referencia; visando a integracao e manutencao dos diversos
projetos que compoem o Sistema de Videomonitoramento existente na Secretaria de Estado da Seguranca
Publica e da Paz Social (SSP), bem como a implantacao deste complexo nas Regioes Administrativas do
Distrito Federal, em conformidade com as especificacoes e quantidades constantes no Termo de Referencia
e seus anexos constantes do Anexo I do Edital. REPETICAO DOS GRUPOS 1 E 3 FRACASSADOS NO
PREGAO ELETRONICO N 07/2018-SSPDF. A SSPDF informa, com fulcro nos incs. V e VI, do art. 8o,
do Decreto no 5.450/2005, a ADJUDICACAO do GRUPO 1 do certame a empresa ALSAR
TECNOLOGIA EM REDES LTDA, CNPJ: 04.799.835/0001-04, no valor total de R$ 1.301.645,32 e a
HOMOLOGACAO do certame referente ao GRUPO 1. Pela presente publicacao fica a adjudicataria do
GRUPO 1 CONVOCADA para assinar a Ata de Registro de Precos de acordo com o item 2.6.1 do
Edital"
14,00050-00157602/2017-06, Menor Preco," Registro de Precos para
prestacao de servico de renovacao de carteira nacional de habilitacao (CNH) categorias ""D"" e ""E""; e
habilitacao (CNH) categorias ""D"" e ""E""; e mudanca de CNH para categoria ""D"" e ""E"" para servidores
do Sistema Penitenciario do Distrito Federal",19.023.184/0001-33,"1.815,00","1.815,00",nan,"
PREGAO ELETRONICO No 09/2018
PROCESSO: 00050-00157602/2017-06. TIPO: Menor Preco. OBJETO: Registro de Precos para
prestacao de servico de renovacao de carteira nacional de habilitacao (CNH) categorias ""D"" e ""E""; e
habilitacao (CNH) categorias ""D"" e ""E""; e mudanca de CNH para categoria ""D"" e ""E"" para servidores
do Sistema Penitenciario do Distrito Federal. A SSPDF informa, com fulcro no inciso IX do artigo
11, do Decreto no 5.450/2005, a ADJUDICACAO dos itens 2 e 3 ao Centro de Formacao de
Condutores AB Express Ltda., CNPJ 19.023.184/0001-33, no valor unitario respectivo de R$ 1.815,00
e R$ 1.815,00. O item 1 foi deserto. A empresa adjudicataria esta convocada para assinar a Ata de
Registro de Precos conforme item 2.6.1 do Edital. A SSPDF informa ainda a HOMOLOGACAO do
certame com fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005"
15,00050-00152443/2017-55, Menor Preco," Registro de Precos para futura
aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais eletricos, escadas,
gesso, massa de acabamento, parafusos e ferramentas de construcao), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado da Seguranca Publica e
da Paz Social",28.128.604/0001-37,"234,93","234,93",nan,"
PREGAO ELETRONICO No 02/2019
PROCESSO: 00050-00152443/2017-55. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais eletricos, escadas,
gesso, massa de acabamento, parafusos e ferramentas de construcao), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado da Seguranca Publica e
da Paz Social. A SSPDF informa, com fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005,
a ADJUDICACAO do item 9 a Ferragens Lider Comercio e Servicos Eireli, CNPJ 01.649.554/0001-
87, no valor unitario de R$ 234,93; dos itens10, 11 e 12 a N3 Comercio e Servicos Eireli., CNPJ
13.464.349/0001-26, R$ 6,37, R$ 8,00 e R$ 150,00; dos itens 5, 18, 21 e 23 a Licitop Comercio e
Servico Eireli, CNPJ 21.822.463/0001-09, R$ 231,89, R$ 60,75, R$ 55,83 e R$ 51,48; dos itens 15,
16, 19, 20 e 22 a Comercio de Materiais de Construcoes Cavalheiros Ltda., CNPJ 21.875.005/0001-
38, R$ 34,57, R$ 72,24, R$ 47,04, R$ 48,25 e R$ 17,84; dos itens 3, 6 e 7 a Eletropositiva Comercial
Eireli, CNPJ 24.514.337/0001-85, R$ 6,60, R$ 5,25 e R$ 2,02; do item 8 a Eletrica TI Eireli, CNPJ
25.041.538/0001-75, R$ 41,00; do item 13 a Volt Materiais Eletricos Eireli, CNPJ 26.507.653/0001-
55, R$ 52,14; dos itens 1, 2, 4, 14 e 17 a Fenix Materiais de Construcao 168DF Ltda., CNPJ
28.128.604/0001-37, R$ 24,98, R$ 11,39, R$ 15,54, R$ 4,53 e R$ 3,32. As empresas adjudicatarias
estao convocadas para assinarem a Ata de Registro de Precos conforme item 2.5.1 do Edital. A
SSPDF informa ainda a HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo 8o, do
Decreto no 5.450/2005"
16,nan,nan,nan,nan,nan,nan,nan,"
PREGAO ELETRONICO No 37/2018
REPETICAO DOS GRUPOS 1 E 3 FRACASSADOS NO
PREGAO ELETRONICO N 07/2018"
17,00050-00020438/2018-65, Menor Preco," Registro de Precos de material de
construcao para manutencao das unidades prisionais do Sistema Penitenciario do Distrito Federal",11.163.447/0001-06,nan,"32,52",nan,"
PREGAO ELETRONICO No 03/2019
PROCESSO: 00050-00020438/2018-65. TIPO: Menor Preco. OBJETO: Registro de Precos de material de
construcao para manutencao das unidades prisionais do Sistema Penitenciario do Distrito Federal. A
SSPDF informa, com fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO dos
itens 1,7,9 e 14 a META Comercio de Ferragens e Ferramentas Eireli, CNPJ 27.518.373/0001-05, nos
valores unitarios de R$ 32,52, R$ 143,36 e R$ 177,64 e R$ 39,26;do item 02 a MASTER MINAS
Comercio e Servicos Ltda., CNPJ 25.294.980/0001-03, R$ 40,87; dos itens 3, 4 e 12 a COMERCIAL D.J
Ltda., CNPJ 20.496.995/0001-30, R$ 1,67, R$ 42,00 e R$ 34,70; do item 10 a LICITOP Comercio e
Servico Eirelli, CNPJ 21.822.463/0001-09, R$ 24,30; dos itens 5, 13, 15 e 17 a Comercio de Materiais de
Construcoes CAVALHEIROS Ltda., CNPJ 21.875.0005/0001-38, R$ 0,35, R$ 21,35, R$ 0,65, R$ 80,87;
do item 6 a I.K. FELIPE Fornecedora., CNPJ 31.770.536/0001-10, R$ 6,13; dos itens 8 e 19 a FENIX
Materiais de Construcao 168DF Ltda., R$ 64,41, R$ 69,52; do item 11 a TECA Tecnologia e Comercio
Ltda., CNPJ 11.163.447/0001-06, R$ 27,79;. O item 16 restou deserto e o item 18 foi fracassado. As
empresas adjudicatarias estao convocadas para assinarem a Ata de Registro de Precos conforme item 2.7.1
do Edital. A SSPDF Informa ainda a HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo
8o, do Decreto no 5.450/2005"
18,00097-00012976/2018-40, Menor Preco,nan,11.254.307/0001-35,nan,nan,nan,"
PREGAO ELETRONICO No 35/2018-METRO-DF,
OCORRIDA NA 1217a REUNIAO ORDINARIA, REALIZADA EM 17/01/2019
Processo: 00097-00012976/2018-40 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do
DF informa a Adjudicacao pelo Pregoeiro, a empresa AUDIMEC - AUDITORES INDEPENDENTES S/S
- EPP, CNPJ no. 11.254.307/0001-35, vencedora do pregao mencionado acima, dos servicos especializados
de auditoria independente para exame de todas as transacoes operacionais e administrativas da companhia,
referente ao exercicio de 2018, pelo valor global de R$28.600,00 (vinte e oito e seiscentos reais), e a
consequente HOMOLOGACAO do prefalado certame, com fulcro no art. 6, IV, do Decreto Distrital no"
19,00097-00006546/2018-99, Menor Preco,nan,16.950.128/0001-56,nan,nan,nan,"
PREGAO ELETRONICO No 36/2018-METRO-DF,
OCORRIDA NA 1218a REUNIAO ORDINARIA, REALIZADA EM 25/01/2019
Processo: 00097-00006546/2018-99 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do
DF informa a Adjudicacao pelo Pregoeiro, a empresa denominada SER DESENVOLV I M E N TO
HUMANO E EMPRESARIAL LTDA., CNPJ no. 16.950.128/0001-56, dos servicos de aplicacao de
pesquisa de avaliacao dos servicos prestados pelo METRO-DF, pelo valor global de R$39.480,00 (trinta e
nove mil quatrocentos e oitenta reais), e a consequente HOMOLOGACAO do prefalado certame, com
fulcro no art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c Inciso XI do art. 18 do Estatuto Social da
Companhia, ficando as demais condicoes reguladas pelo Termo de Referencia, Edital e na proposta da
empresa vencedora do certame licitatorio. Os Termos de Adjudicacao e Homologacao encontram-se no
sitio www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
20,nan, Menor Preco,nan,90.495.946/0001-69,nan,nan,nan," DA
TOMADA DE PRECOS No 01/2018-METRO-DF,
OCORRIDA NA 1219a REUNIAO ORDINARIA, REALIZADA EM 30/01/2019
Processo: 00097-000288/2018-METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do DF
informa a Adjudicacao pelo Pregoeiro, a empresa denominada ELECTRIC CONSULTORIA E SERVICOS
SS - EPP, CNPJ no. 90.495.946/0001-69, da prestacao dos servicos voltados para a realizacao de estudos
tecnicos e elaboracao de Projeto Basico de Engenharia para adequacao dos pontos de medicao de energia
fornecida, ao METRO-DF, pela CEB-D, pelo valor global de R$270.779,93 (duzentos e setenta mil
setecentos e setenta e nove reais e noventa e tres centavos) e a consequente HOMOLOGACAO do
certame, com fulcro no art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c Inciso XI do art. 18 do Estatuto
Social da Companhia, ficando as demais condicoes reguladas pelo Termo de Referencia, Edital e na
proposta da empresa vencedora do certame. Os Termos de Adjudicacao e Homologacao encontram-se no
sitio www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
21,00050-00151539/2017-04, Menor Preco," Registro de Precos para futura
aquisicao de equipamentos e ferramentas para implementacao de Oficinas de Serralheria nas Unidades
Prisionais do DF, visando atender demanda proveniente da Coordenacao de Engenharia da Subsecretaria de
Administracao Geral da SSP e dos Convenios no",10.511.935/0001-96,"8.817,00","8.817,00",nan,"
PREGAO ELETRONICO No 06/2019
PROCESSO: 00050-00151539/2017-04. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de equipamentos e ferramentas para implementacao de Oficinas de Serralheria nas Unidades
Prisionais do DF, visando atender demanda proveniente da Coordenacao de Engenharia da Subsecretaria de
Administracao Geral da SSP e dos Convenios no. 813708/2014 e 822743/2015, firmados entre a Uniao por
meio do Ministerio da Justica e o Distrito Federal por meio da Secretaria de Estado da Seguranca Publica
e da Paz Social do Distrito Federal - SSPDF. A SSPDF informa, com fulcro no inciso IX, artigo 11, do
Decreto no 5.450/2005, a ADJUDICACAO do item 2 a Zerao Maquinas Ltda, CNPJ 07.315.717/0001-71,
no valor unitario de R$ 8.817,00; do item 1 a LLEIDA Maquinas e Equipamentos Ltda., CNPJ
08.806.260/0001-6, no valor unitario de R$ 2.897,65; do item 3 a MONTAGEM Eletrica e Servicos de
Urbanizacao Lda., CNPJ 10.511.935/0001-96, no valor unitario de R$ 7.666,66. As empresas
adjudicatarias estao convocadas para assinarem a Ata de Registro de Precos conforme item 2.6.1 do Edital"
22,00050-00010640/2018-89, Menor Preco," Aquisicao de atualizacao de assinatura
de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo manutencao ""on-site"", com
upgrade para versao mais atual e atualizacao de assinaturas e demais modulos da solucao, alem de garantia por
um periodo minimo de 36 (trinta e seis) meses",03.476.184/0002-30,"235.999,72","235.999,72",nan,"
PREGAO ELETRONICO No 18/2018
PROCESSO: 00050-00010640/2018-89. TIPO: Menor Preco. OBJETO: Aquisicao de atualizacao de assinatura
de licencas de antivirus corporativo com ePolicy Orchestrator (ePO) incluindo manutencao ""on-site"", com
upgrade para versao mais atual e atualizacao de assinaturas e demais modulos da solucao, alem de garantia por
um periodo minimo de 36 (trinta e seis) meses. A SSPDF informa, com fulcro no inciso IX do artigo 11, do
Decreto no 5.450/2005, a ADJUDICACAO do objeto do certame a NETSAFE Corp Ltda., CNPJ
03.476.184/0002-30, no valor total de R$ 235.999,72. A SSPDF Informa ainda a HOMOLOGACAO do
certame com fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005"
23,nan,nan,nan,nan,nan,nan,nan,"
DA CONCORRENCIA No 01/2018
Processo: 0094-000739/2017. Objeto: Contratacao de Empresa de Engenharia para execucao de servico de
Engenharia para construcao de um CTRS - para o manejo dos residuos solidos urbanos, oriundos de descarte
de residuos domiciliares ou a eles assemelhados (papeis, plasticos, metais, entre outros), que compreende a
recepcao dos residuos solidos urbanos para triagem, prensagem, enfardamento, armazenamento e
comercializacao com disposicao adequada dos rejeitos descartados"
