,processo,CNPJ,empresa,valor,texto
10,nan,06.224.599/0001-23, CQO ,"2.965.500,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 021/2019 - ASCAL/PRES,
que apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na
forma do Instrumento Convocatorio, fica declarada vencedora do certame a empresa CQO -
CONSTRUTORA QUEIROZ OLIVEIRA LTDA - EPP CNPJ 06.224.599/0001-23, com o valor total
de R$ 2.965.500,00. Fica aberto o prazo para apresentacao de recurso. Processo no 00112-
00007281/2019-18. Contatos:  (061) 3403-2321  ou (061)  3403- 2322  e email
a s c a l @ n o v a c a p . d f . g o v. b r"
11,00112-00024328/2019-08,10.399.971/0001-00,nan,nan,"
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 007/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, ficam declaradas vencedoras do certame as empresas: WM PAISAGISMO
URBANISMO E COMERCIO EIRELI ME - CNPJ 20.830.895/0001-07 - Lote 01 - R$ 1.760.000,00; Lote
02 - R$ 455.000,00; Lote 04 - R$ 600.000,00 e Lote 05 - 890.000,00 e a MARCO AURELIO AMARO
DA SILVA EPP - CNPJ 10.399.971/0001-00 - Lote 03 - 464.000,00; Lote 09 - R$ 589.000,00 e Lote 10
- R$ 809.000,00. Fica aberto o prazo para apresentacao de recurso. Processo no 00112-00024328/2019-08"
12,00112-00033628/2018-99,01.335.516/0001-50," DR7 SERVICO DE OBRAS DE
ALVENARIA LTDA ",nan,"
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 009/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, fica declarada vencedora a empresa DR7 SERVICO DE OBRAS DE
ALVENARIA LTDA - CNPJ 01.335.516/0001-50, dos Lotes: 01 - R$ 3.791.724,40; 02 - R$ 3.791.724,40;
04 - R$ 3.349.930,19; 05 - R$ 3.349.930,19; 06 - R$ 3.791.724,41; 07 - R$ 3.791.724,41; 09 - R$
3.493.498,62 e 10 - R$ 3.493.498,62. Processo no 00112-00033628/2018-99. Fica aberto o prazo para
apresentacao  de  recurso.  Contatos:  (061)  3403-2321  ou  (061)  3403-  2322  e  email
a s c a l @ n o v a c a p . d f . g o v. b r"
13,00112-00024328/2019-08,20.830.895/0001-07,nan,nan,"
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 007/2019 - ASCAL/PRES,
que apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na
forma do Instrumento Convocatorio, fica declarada vencedora do Lote 06 a LEAO Servicos Gerais de
Conservacao e Limpeza Ltda - CNPJ - 10.952.035/0001-84 - com valor total de R$ 1.030.000,00; do
Lote 07 a CONSTRUTEQ - Construcoes Terraplenagem e Comercio de Equipamentos Eireli EPP -
CNPJ - 37.991.338/0001-62, com o valor de R$ 990.000,00 e do Lote 08 a WM PAISAGISMO
URBANISMO E COMERCIO EIRELI ME - CNPJ 20.830.895/0001-07, com o valor de R$
700.000,00. Processo no 00112-00024328/2019-08. Fica aberto o prazo para apresentacao de recurso"
14,00112-00033628/2018-99,01.710.170/0001-22, Civil Engenharia Ltda ,nan,"
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 009/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, fica declarada vencedora do Lote 08 a empresa Civil Engenharia Ltda - CNPJ
- 01.710.170/0001-22 - com valor total de R$ 2.875.790,92 - processo no 00112-00033628/2018-99. Fica
aberto  o prazo  recursal. Contatos:  (061) 3403-2321  ou (061)  3403- 2322  e email
a s c a l @ n o v a c a p . d f . g o v. b r"
15,00112-00024328/2019-08,20.830.895/0001-07," WM PA I S A G I S M O
URBANISMO E COMERCIO EIRELI ME ",nan,"
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 007/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, fica declarada vencedora do Lote 03 a empresa WM PA I S A G I S M O
URBANISMO E COMERCIO EIRELI ME - CNPJ - 20.830.895/0001-07 - com valor total de R$
750.000,00 - processo no 00112-00024328/2019-08. Fica aberto o prazo recursal de 05 (cinco) dias uteis"
16,00112-00024192/2019-28,79.540.670/0001-50, ASTOKE ENGENHARIA ,"3.313.154,57","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 016/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, ficam declaradas vencedoras: Lote 01, com o valor total de R$ 3.313.154,57 -
a empresa ASTOKE ENGENHARIA - EDILSON JANUARIO TEIXEIRA - CNPJ - 12.058.887/0001-58;
Lote 02, com o valor total de R$ 3.385.882,35, Lote 04, com o valor total de R$ 3.977.622,98 e Lote 08,
com o valor total de R$ 4.037.678,84 - a empresa INFRA ENGETH INFRA-ESTRUTURA
CONSTRUCAO E COMERCIO LTDA - CNPJ 02.237.437/0001-79; Lote 03, com o valor total de R$
3.683.335,84 e Lote 06, com o valor total de R$ 4.175.683,55 a empresa CEJEN ENGENHARIA LTDA
- CNPJ 79.540.670/0001-50 - processo no 00112-00024192/2019-28. Fica aberto o prazo recursal de 05
(cinco) dias uteis. Contatos: (061) 3403-2321 ou (061) 3403- 2322 e email asc a l @ n o v a c a p . d f . g o v. b r"
17,nan,06.224.599/0001-23," C.Q.O  Construtora Queiroz Oliveira Ltda  EPP  CNPJ 
06.224.599/0001","2.599.000,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 001/2020  
ASCAL/PRES, que apos finalizado o exame e verificada a aceitabilidade da proposta de 
precos e documentacao, na forma do Instrumento Convocatorio, fica declarada vencedora 
do certame a empresa C.Q.O  Construtora Queiroz Oliveira Ltda  EPP  CNPJ 
06.224.599/0001-23, com o valor total de R$ 2.599.000,00 - processo no 
0112.003722/2017. Fica aberto o prazo recursal de 05 (cinco) dias uteis. Contatos: (061) 
3403-2321 ou (061) 3403- 2322 e email: ascal@novacap.df.gov.br"
18,00112.00023308/2019-10,12.058.887/0001-58," ASTOKE ENGENHARIA  EDILSON JANUARIO TEIXEIRA  
ME  CNPJ 12.058.887/0001","8.389.197,25","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 023/2019  
ASCAL/PRES, que apos finalizado o exame e verificada a aceitabilidade da proposta de 
precos e documentacao, na forma do Instrumento Convocatorio, fica declarada vencedora 
do certame a empresa ASTOKE ENGENHARIA  EDILSON JANUARIO TEIXEIRA  
ME  CNPJ 12.058.887/0001-58, com o valor total de R$ 8.389.197,25 - processo no 
00112.00023308/2019-10. Fica aberto o prazo recursal de 05 (cinco) dias uteis. Contatos: 
(061) 3403-2321 ou (061) 3403- 2322 e email ascal@novacap.df.gov.br"
19,00112.00026487/2018-58,18.695.016/0001-21," CONSTRUTORA PREMIUM E SERVICOS GERAIS EIRELI  
ME  CNPJ 18.695.016/0001","468.116,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 015/2019  
ASCAL/PRES, que apos finalizado o exame e verificada a aceitabilidade da proposta de 
precos e documentacao, na forma do Instrumento Convocatorio, fica declarada vencedora 
do certame a empresa CONSTRUTORA PREMIUM E SERVICOS GERAIS EIRELI  
ME  CNPJ 18.695.016/0001-21, com o valor total de R$ 468.116,00 - processo no 
00112.00026487/2018-58. Fica aberto o prazo recursal de 05 (cinco) dias uteis. Contatos: 
(061) 3403-2321 ou (061) 3403- 2322 e email ascal@novacap.df.gov.br"
