,UASG,objeto,empresa,CNPJ,valor,texto
10,974200," e a Aquisicao de
modulos para sistema de automacao e monitoramento de maquinas a serem utilizados na ampliacao dos
sistemas de automacao da Elevatoria de Agua Tratada - EAT","
vencedora: ELETRO COMERCIAL REYMASTER LTDA",80.223.324/0001-28,"102.089,89","
PREGAO ELETRONICO PE No 200/2019
O Pregoeiro da Caesb no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e a Aquisicao de
modulos para sistema de automacao e monitoramento de maquinas a serem utilizados na ampliacao dos
sistemas de automacao da Elevatoria de Agua Tratada - EAT.LNT.002, da forma que se segue: Empresa
vencedora: ELETRO COMERCIAL REYMASTER LTDA, CNPJ: 80.223.324/0001-28, vencedora do
lote 1 (itens 1, 2 ,3 4, 5, 6, 7, 8, 9 e 10), com o valor total de R$ 102.089,89. Nao restaram itens
fracassados ou desertos"
11,974200," e o
Registro de precos para aquisicao de ferramentas manuais diversas (alicates, cadeados, chaves de fenda,
chaves inglesas, tarraxas, entre outras), da forma que se segue: Empresas vencedoras 1) OLITHIER
COMERCIO DE MATERIAIS E MERCADORIA EIRELI, CNPJ: 09","s vencedoras 1) OLITHIER
COMERCIO DE MATERIAIS E MERCADORIA EIRELI",26.392.294/0001-38,"1.512,00","
PREGAO ELETRONICO PE No 110/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado parcial de adjudicacao do
Pregao Eletronico supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o
Registro de precos para aquisicao de ferramentas manuais diversas (alicates, cadeados, chaves de fenda,
chaves inglesas, tarraxas, entre outras), da forma que se segue: Empresas vencedoras 1) OLITHIER
COMERCIO DE MATERIAIS E MERCADORIA EIRELI, CNPJ: 09.630.087/0001-55, vencedora do item
53 com o valor total de R$ 1.512,00; 2) GRANDES MARCAS DE MATERIAIS E EQUIPAMEN TO S
EIRELI, CNPJ: 14.396.046/0001-86, vencedora dos itens 1, 2, 7, 8, 16, 23, 24, 38, 39, 40, 41, 42, 43, 51,
52, 58, 59, 60, 67, 68, 69, 70, 71, 72, 73, 74, 79, 80, 83, 84, 85, 89, 90, 91, 92, 93 e 94 com o valor total
de R$ 78.747,93; 3) FER-MAX FERRAMENTAS LTDA, CNPJ: 22.014.876/0001-20, vencedora do item
86 com o valor total de R$ 309,27; 4) SOLUX DISTRIBUIDORA EIRELI, CNPJ: 23.291.920/0001-01,
vencedora do item 17 com o valor total de R$ 4.775,96; 5) ELETROPOSITIVA COMERCIAL EIRELI,
CNPJ: 24.514.337/0001-85, vencedora dos itens 5, 21, 22, 27, 28, 33, 34, 45, 46, 54, 57, 95 e 98 com o
valor total de R$ 12.571,60 e 6) NOVA ATACADISTA PARA CONSTRUCAO LTDA, CNPJ:
26.392.294/0001-38, vencedora dos itens 55, 56, 61 e 62 com o valor total de R$ 12.558,96. Os itens 3,
4, 6, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 29, 30, 31, 32, 35, 36, 37, 44, 47, 48, 49, 50, 63, 64,
65, 66, 75, 76, 77, 78, 81, 82, 87, 88, 96 e 97 restaram FRACASSADOS/DESERTOS"
12,974200," e o registro de precos para
aquisicao de conjuntos para analise espectrofotometrica (conjunto para analise de nitrogenio, conjunto para
analise de nitrato e outros), da forma que se segue: Empresa RC SCIENTIFIC COMERCIO DE
INSTRUMENTOS ANALITICOS EIRELI, CNPJ: 27"," RC SCIENTIFIC COMERCIO DE
INSTRUMENTOS ANALITICOS EIRELI",27.263.741/0001-11,"35.279,48","
PREGAO ELETRONICO PE No 166/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos para
aquisicao de conjuntos para analise espectrofotometrica (conjunto para analise de nitrogenio, conjunto para
analise de nitrato e outros), da forma que se segue: Empresa RC SCIENTIFIC COMERCIO DE
INSTRUMENTOS ANALITICOS EIRELI, CNPJ: 27.263.741/0001-11, vencedora dos itens 5, 6, 7 e 8
com o valor total de R$ 35.279,48"
13,974200," e o Registro de precos
para aquisicao de componentes de equipamentos eletricos e eletronicos (capacitor, disjuntor, fita
isolante, tomada e outros), da forma que se segue: Empresa TECAUT AUTOMACAO INDUSTRIAL
EIRELI, CNPJ: 02"," TECAUT AUTOMACAO INDUSTRIAL
EIRELI",30.247.600/0001-10,"19.454,01","
PREGAO ELETRONICO PE No 111/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos
para aquisicao de componentes de equipamentos eletricos e eletronicos (capacitor, disjuntor, fita
isolante, tomada e outros), da forma que se segue: Empresa TECAUT AUTOMACAO INDUSTRIAL
EIRELI, CNPJ: 02.654.191/0001-30, vencedora dos itens 23, 24, 27, 31, 35 e 36 com o valor total
de R$ 19.454,01; Empresa DENISE T. PETRY CAMEJO, CNPJ: 02.997.059/0001-21, vencedora dos
itens 53, 93, 94, 97 e 98 com o valor total de R$ 26.421,72; Empresa WZ UNIAO AUTOMACAO
E ELETRICA EIRELI, CNPJ: 08.772.301/0001-45, vencedora do item 100 com o valor total de R$
573,50; Empresa KHARISMA COMERCIAL LTDA, CNPJ: 17.475.850/0001-49, vencedora dos itens
47, 48, 49, 50, 51, 52, 54, 57, 58 e 76 com o valor total de R$ 78.142,27; Empresa RM COMERCIO
DE MERCADORIAS E MATERIAIS LTDA, CNPJ: 20.784.313/0001-95, vencedora dos itens 67 e 68
com o valor total de R$ 36.009,05; Empresa NOVA ATACADISTA PARA CONSTRUCAO LTDA,
CNPJ: 26.392.294/0001-38, vencedora do item 60 com o valor total de R$ 1.388,80; Empresa S.K
FERNANDES AUTOMACAO INDUSTRIAL EIRELI, CNPJ: 27.253.891/0001-44, vencedora dos
itens 3, 25, 29, 32, 33, 37, 38, 39, 40 e 46 com o valor total de R$ 93.116,15; Empresa RBS
CONSTRUCAO E CONSERVACAO PREDIAL LTDA, CNPJ: 28.642.042/0001-45, vencedora dos
itens 84, 86 e 99 com o valor total de R$ 5.107,20; Empresa MARIA CONSUELO SOARES DA
MATA, CNPJ: 28.697.784/0001-78, vencedora dos itens 43, 44, 59, 61, 62, 63, 64, 69, 71, 72, 73,
74, 75, 89 e 90 com o valor total de R$ 15.383,10; Empresa ILUMINAR COMERCIO E
REPRESENTACOES EIRELI, CNPJ: 29.760.831/0001-43, vencedora dos itens 70, 81, 83 e 85 com
o valor total de R$ 43.625,14 e Empresa J2R AUTOMACAO LTDA- EIRELI, CNPJ:
30.247.600/0001-10, vencedora dos itens 26, 28, 30, 34, 77, 78, 79, 80, 95 e 96 com o valor total
de R$ 81.061,02. Os itens 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22,
41, 42, 45, 55, 56, 65, 66, 82, 87, 88, 91 e 92 restaram fracassados"
14,974200," e o servico de contratacao
de seguro empresarial de responsabilidade civil para administradores - D&O (Directors & Officers) e
extensoes, da forma que se segue: Empresa SOMPO SEGUROS S","rial de responsabilidade civil para administradores - D&O (Directors & Officers) e
extensoes",61.383.493/0001-80,"76.800,00","
PREGAO ELETRONICO No 201/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o servico de contratacao
de seguro empresarial de responsabilidade civil para administradores - D&O (Directors & Officers) e
extensoes, da forma que se segue: Empresa SOMPO SEGUROS S.A., CNPJ: 61.383.493/0001-80,
vencedora do item 1 com o valor total de R$ 76.800,00"
15,974200," e Aquisicao de
container maritimo Standard Dry, da forma que se segue: Empresa FRONT ESTRUTURAS EIRELI-
EPP, CNPJ: 12"," FRONT ESTRUTURAS EIRELI-
EPP",12.219.645/0001-07,"76.271,16","
PREGAO ELETRONICO No 194/2019-CAESB
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e Aquisicao de
container maritimo Standard Dry, da forma que se segue: Empresa FRONT ESTRUTURAS EIRELI-
EPP, CNPJ: 12.219.645/0001-07, vencedora do item 1 com o valor total de R$ 76.271,16. O item
2 restou fracassado"
16,974200," e o Registro de precos para
aquisicao de pecas e acessorios originais dos equipamentos Watson Marion (rotor em ferro fundido Bredel
65, drive qdos 120 e outros, da forma que se segue: Empresa WATSON-MARLOW BREDEL
INDUSTRIA E COMERCIO DE BOMBAS, CNPJ:07"," WATSON-MARLOW BREDEL
INDUSTRIA E COMERCIO DE BOMBAS",07.910.191/0001-78,"21.665.144,76","
PREGAO ELETRONICO PE No 229/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos para
aquisicao de pecas e acessorios originais dos equipamentos Watson Marion (rotor em ferro fundido Bredel
65, drive qdos 120 e outros, da forma que se segue: Empresa WATSON-MARLOW BREDEL
INDUSTRIA E COMERCIO DE BOMBAS, CNPJ:07.910.191/0001-78, vencedora do lote 01(itens 1 a
594) com o valor total de R$ 21.665.144,76"
17,974200," e a contratacao
de empresa para prestacao de Servico de manutencao de equipamentos industriais das unidades do
Sistema de Abastecimento de Agua (SSA) e do Sistema de Esgotamento Sanitario (SES) da Caesb no
Distrito Federal e suas areas de abrangencias, para atender as unidades da Regiao Sul e as unidades
da Regiao Centro Norte, da forma que se segue: empresa ATLANTICO ENGENHARIA LT D A ,
CNPJ:14"," para prestacao de Servico de manutencao de equipamentos industriais das unidades do
Sistema de Abastecimento de Agua (SSA) e do Sistema de Esgotamento Sanitario (SES) da Caesb no
Distrito Federal e suas areas de abrangencias",14.355.750/0001-90,nan,"
A Caesb torna publico o resultado final do Pregao Eletronico PE 222/2018, Processo no
092.003787/2018, realizado no www.comprasnet.gov.br (UASG: 974200), cujo objeto e a contratacao
de empresa para prestacao de Servico de manutencao de equipamentos industriais das unidades do
Sistema de Abastecimento de Agua (SSA) e do Sistema de Esgotamento Sanitario (SES) da Caesb no
Distrito Federal e suas areas de abrangencias, para atender as unidades da Regiao Sul e as unidades
da Regiao Centro Norte, da forma que se segue: empresa ATLANTICO ENGENHARIA LT D A ,
CNPJ:14.355.750/0001-90, vencedora do lote 1 com o valor global de R$ 8.667.791,92 (K = 0,8495),
que foi o maior desconto, percentual de 15,05% (quinze virgula zero cinco por cento). O resultado
do lote 02 foi publicado no DODF n 51, secao 03, pagina n 37 do dia 18/03/19"
18,974200," e Aquisicao de
equipamentos de medicao e controle de processos para serem utilizados nos laboratorios de analises fisico-
quimicas e microbiologicas de agua e esgoto da Caesb, da forma que se segue: Empresa LOBOV
CIENTIFICA,  IMPORTACAO, EXPORTACAO,  COMERCIO  DE EQUIPAMENTOS  PARA
LABORATO, CNPJ: 05"," LOBOV
CIENTIFICA",67.774.679/0001-47,"557.493,83","
PREGAO ELETRONICO PE No 198/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e Aquisicao de
equipamentos de medicao e controle de processos para serem utilizados nos laboratorios de analises fisico-
quimicas e microbiologicas de agua e esgoto da Caesb, da forma que se segue: Empresa LOBOV
CIENTIFICA,  IMPORTACAO, EXPORTACAO,  COMERCIO  DE EQUIPAMENTOS  PARA
LABORATO, CNPJ: 05.857.218/0001-80, vencedora dos itens 3, 7 e 8 com o valor total de R$
557.493,83; Empresa SOLAB LABORATORIO INDUSTRIA E COMERCIO EIRELI, CNPJ:
18.214.465/0001-00, vencedora dos itens 1 e 2 com o valor total de R$ 36.024,31; Empresa KATALYSIS
COMERCIO, LOCACAO E SERVICOS EM EQUIPAMENTOS DE LABORATORIO LTDA, CNPJ:
14.448.178/0001-04, vencedora do item 9 com o valor total de R$ 884.210,52; Empresa RIW
EQUIPAMENTOS PARA LABORATORIO EIRELI, CNPJ: 23.842.405/0001-72, vencedora do item 20
com o valor total de R$ 30.045,04; Empresa JPA LABOR COMERCIAL EIRELLI, CNPJ:
29.054.890/0001-04, vencedora dos itens 21 e 22 com o valor total de R$ 102.830,28; Empresa HEXIS
CIENTIFICA LTDA, CNPJ: 53.276.010/0001-10, vencedora do item 19 com o valor total de R$
32.894,73; Empresa DIGICROM ANALITICA LTDA, CNPJ: 60.160.546/0001-31, vencedora do item 10
com o valor de R$ 531.531,52 e EMPRESA NOVA ANALITICA IMPORTACAO E EXPORTACAO
LTDA, CNPJ: 67.774.679/0001-47, vencedora do item 12 com o valor de R$ 63.157,89. Os itens 4, 5, 6,
11, 13, 14, 15, 16, 17 e 18 restaram fracassados ou desertos"
19,974200," e aquisicao de container
maritimo Standard Dry, da forma que se segue: Empresa FRONT ESTRUTURAS EIRELI- EPP, CNPJ:
12", FRONT ESTRUTURAS EIRELI- EPP,12.219.645/0001-07,"81.081,06","
PREGAO ELETRONICO PE No 194/2019 (*)
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e aquisicao de container
maritimo Standard Dry, da forma que se segue: Empresa FRONT ESTRUTURAS EIRELI- EPP, CNPJ:
12.219.645/0001-07, vencedora do item 1 com o valor total de R$ 81.081,06"
20,974200," e aquisicao Registro de
precos para aquisicao de materiais PEAD (tubo pead pe 100, luva e outros), da forma que se segue:
Empresa F", F.G.S. BRASIL INDUSTRIA E COMERCIO LTDA,26.392.294/0001-38,"44.396,10","
PREGAO ELETRONICO PE No 230/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e aquisicao Registro de
precos para aquisicao de materiais PEAD (tubo pead pe 100, luva e outros), da forma que se segue:
Empresa F.G.S. BRASIL INDUSTRIA E COMERCIO LTDA, CNPJ: 02.291.486/0001-90, vencedora
do item 32 com o valor total de R$ 44.396,10; Empresa CORR PLASTIK SISTEMAS PLASTICOS
LTDA, CNPJ: 32.540.611/0001-19, vencedora do item 26 com o valor total de R$ 129.546,00;
Empresa NOVA ATACADISTA PARA CONSTRUCAO LTDA, CNPJ: 26.392.294/0001-38, vencedora
dos itens 1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16, 17, 18, 19, 22, 23, 24, 25, 27, 30, 31, 33, 34, 35, 36 e
37 com o valor total de R$ 178.206,07; Os itens 10, 11, 12, 13, 14, 20, 21, 28 e 29 restaram
fracassados ou desertos"
21,974200," e a Contratacao de empresa
especializada para fornecimento por meio de Registro de Precos para aquisicao de cafe, acucares e filtros
de papel: da forma que se segue: Empresa UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS
LTDA, CNPJ: 00","
especializada para fornecimento por meio de Registro de Precos para aquisicao de cafe",72.861.461/0001-60,"44.704,00","
PREGAO ELETRONICO PE No 158/2019 (*)
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e a Contratacao de empresa
especializada para fornecimento por meio de Registro de Precos para aquisicao de cafe, acucares e filtros
de papel: da forma que se segue: Empresa UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS
LTDA, CNPJ: 00.543.061/0001-03, vencedora do itens 1, 2, 3 e 4 com o valor total de R$ 44.704,00;
Empresa N. B. DISTRIBUIDORA E IMPORTADORA DE PRODUTOS E EQUIPAMENTOS EIRELLI ,
CNPJ: 20.425.201/0001-48, vencedora do item 8 com o valor total de R$ 1.120,00; Empresa GLA
COMERCIAL EIRELI, CNPJ: 29.492.549/0001-22, vencedora do item 7 com o valor total de R$ 3.396,00
e Empresa CAFE PACAEMBU LTDA , CNPJ: 72.861.461/0001-60, vencedora dos itens 5 e 6 com o valor
total de R$ 120.448,00. Os itens 9 e 10 restaram fracassados"
22,974200," e aquisicao Registro de
precos para aquisicao de combustiveis, lubrificantes, oleos, graxas e ceras (agente redutor liquido
automotivo - ARLA 32 -, querosene e outros), da forma que se segue: Empresa MARKET LUBE
INDUSTRIA E COMERCIO LTDA, CNPJ: 02"," MARKET LUBE
INDUSTRIA E COMERCIO LTDA",55.118.103/0001-42,"20.649,60","
PREGAO ELETRONICO PE No 232/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e aquisicao Registro de
precos para aquisicao de combustiveis, lubrificantes, oleos, graxas e ceras (agente redutor liquido
automotivo - ARLA 32 -, querosene e outros), da forma que se segue: Empresa MARKET LUBE
INDUSTRIA E COMERCIO LTDA, CNPJ: 02.871.109/0001-20, vencedora dos itens 14, 15 e 21 com
o valor total de R$ 18.638,00; Empresa NA ATIVA COMERCIAL LTDA, CNPJ: 09.043.182/0001-52,
vencedora dos itens 3, 4, 8, 9, 18, e 22 com o valor total de R$ 20.649,60; Empresa STORE DO
BRASIL LTDA, CNPJ: 13.990.290/0001-00, vencedora dos itens 12 e 13 com o valor total de R$
5.265,60; Empresa NOVA ATACADISTA PARA CONSTRUCAO LTDA, CNPJ: 26.392.294/0001-38,
vencedora dos itens 23 e 24 com o valor total de R$ 99.320,00; Empresa WEST PARTS PECAS E
LUBRIFICANTES EIRELI, CNPJ: 27.614.905/0001-08, vencedora do item 19 com o valor total de
R$ 2.757,00. Empresa MOVIMENTO COMERCIO DE PECAS E SERVICOS AUTOMOTIVOS,
CNPJ: 34.638.332/0001-18, vencedora dos itens 16 e 17 com o valor total de R$ 22.098,60; Empresa
ENGEMAQ COMPONENTES PARA TRATORES LTDA, CNPJ: 55.118.103/0001-42, vencedora dos
itens 1, 2, 5, 6 e 7 com o valor total de R$ 89.077,29. Os itens 10,11 e 20 restaram fracassados ou
desertos"
23,974200," e aquisicao Registro de
precos para aquisicao de Barrilha Leve - Carbonato de Sodio, da forma que se segue: Empresa
SABARA QUIMICOS E INGREDIENTES S/A, CNPJ: 12","
SABARA QUIMICOS E INGREDIENTES S/A",12.884.672/0004-39,"94.120,00","
PREGAO ELETRONICO PE No 269/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e aquisicao Registro de
precos para aquisicao de Barrilha Leve - Carbonato de Sodio, da forma que se segue: Empresa
SABARA QUIMICOS E INGREDIENTES S/A, CNPJ: 12.884.672/0004-39, vencedora dos itens 1 e
2 com o valor total de R$ 94.120,00"
24,974200," e a aquisicao de
equipamentos de laboratorio para monitoramento da qualidade de agua tratada a serem utilizados em
unidades de tratamento da Caesb e laboratorios de analise de esgoto da PGO, da forma que se segue:
Empresa E", E.S COMERCIO E LICITACOES EIRELI,04.196.357/0001-48,"7.075,43","
PREGAO ELETRONICO PE No 205/2019 (*)
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e a aquisicao de
equipamentos de laboratorio para monitoramento da qualidade de agua tratada a serem utilizados em
unidades de tratamento da Caesb e laboratorios de analise de esgoto da PGO, da forma que se segue:
Empresa E.S COMERCIO E LICITACOES EIRELI, CNPJ: 33.423.000/0001-53, vencedora do item 6
com o valor total de R$ 7.075,43; Empresa JPA LABOR COMERCIAL EIRELLI, CNPJ:
29.054.890/0001-04, vencedora dos itens 1, 2, 7 e 17 com o valor total de R$ 33.686,44; Empresa MARTE
EQUIPAMENTOS PARA LABORATORIO LTDA, CNPJ: 68.886.605/0001-65, vencedora do item 14
com o valor total de R$ 42.313,46; Empresa PROSCIENCE COMERCIO, IMPORTACAO E
EXPORTACAO LTDA, CNPJ: 12.426.369/0001-40, vencedora do item 13 com o valor total de R$
2.702,70; Empresa INDUSTRIA E COMERCIO ELETRO ELETRONICA GEHAKA LTDA, CNPJ:
60.637.667/0001-21, vencedora do item 11 com o valor total de R$ 2.787,82 e Empresa LINECONTROL
COMERCIO IMPORTACAO E EXPORTACAO LTDA, CNPJ: 04.196.357/0001-48, vencedora do item 8
com o valor total de R$ 9.009,00. Os itens 3, 4, 5, 9, 10, 12, 15 e 16 restaram fracassados ou
desertos"
25,974200," e o registro de precos 
para aquisicao de baterias estacionarias, da forma que se segue: Empresa INFRACOMIX COMERCIO 
E SERVICOS DE INFORMATICA EIRELI, CNPJ: 22"," INFRACOMIX COMERCIO 
E SERVICOS DE INFORMATICA EIRELI",31.552.188/0001-04,"406,96","
PREGAO ELETRONICO PE No 187/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao 
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos 
para aquisicao de baterias estacionarias, da forma que se segue: Empresa INFRACOMIX COMERCIO 
E SERVICOS DE INFORMATICA EIRELI, CNPJ: 22.801.116/0001-62, vencedora do item 7 com o 
valor total de R$ 10.127,00; Empresa BRASUMIX EIRELI, CNPJ: 28.314.084/0001-57, vencedora do 
item 14 com o valor total de R$ 406,96; Empresa ILUMINAR COMERCIO E REPRESENTACOES 
EIRELI, CNPJ: 29.760.831/0001-43, vencedora dos itens 1, 2, 8, 17 e 18 com o valor total de R$ 
70.408,02 e Empresa JP COMERCIO DE PRODUTOS ELETROELETRONICOS EIRELI, CNPJ: 
31.552.188/0001-04, vencedora dos itens 3, 4, 5, 6, 9, 10, 11, 12, 13, 15 e 16 com o valor total de R$ 
133.601,95"
26,974200," e registro de precos para
aquisicao de pecas e acessorios para equipamento GEREMIA, da forma que se segue: Empresa
Helibombas - Industria e Comercio de Equipamentos Hidraulicos LTDA, CNPJ: 01","
Helibombas - Industria e Comercio de Equipamentos Hidraulicos LTDA",01.679.707/0001-39,"1.394.491,10","
PREGAO ELETRONICO PE No 021/2020
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e registro de precos para
aquisicao de pecas e acessorios para equipamento GEREMIA, da forma que se segue: Empresa
Helibombas - Industria e Comercio de Equipamentos Hidraulicos LTDA, CNPJ: 01.679.707/0001-39,
vencedora do lote 01 com o valor total de R$ 1.394.491,10"
27,974200," e a contratacao de empresa 
especializada na execucao de servicos de prevencao e combate a incendio e primeiros 
socorros, por meio de equipe de Bombeiros Civis (Brigada de Incendio) e Lideres, em 
postos diurnos e noturnos, com o fornecimento de todos os materiais, equipamentos, 
acessorios e ferramentas necessarias a perfeita execucao dos servicos, a serem executados 
de forma continua, para atender a demanda do Edificio Sede e do Parque de Servicos do 
SIA da Caesb, da forma que se segue: empresa 5 ESTRELAS SISTEMA DE 
SEGURANCA LTDA, CNPJ: 72"," 
especializada na execucao de servicos de prevencao e combate a incendio e primeiros 
socorros",72.591.894/0001-42,nan,"
PREGAO ELETRONICO PE No 024/2020
O Pregoeiro da CAESB no uso de suas atribuicoes torna publico o resultado de 
julgamento do pregao supracitado, PROCESSO No: 092.007108/2019, realizado no 
www.comprasnet.gov.br, UASG: 974200, cujo objeto e a contratacao de empresa 
especializada na execucao de servicos de prevencao e combate a incendio e primeiros 
socorros, por meio de equipe de Bombeiros Civis (Brigada de Incendio) e Lideres, em 
postos diurnos e noturnos, com o fornecimento de todos os materiais, equipamentos, 
acessorios e ferramentas necessarias a perfeita execucao dos servicos, a serem executados 
de forma continua, para atender a demanda do Edificio Sede e do Parque de Servicos do 
SIA da Caesb, da forma que se segue: empresa 5 ESTRELAS SISTEMA DE 
SEGURANCA LTDA, CNPJ: 72.591.894/0001-42, vencedora do objeto com o valor 
global para 30 (trinta) meses de R$ 7.128.994,80"
28,974200," o registro de precos para aquisicao de materiais para corte e ligacao de agua 
(junta, porca, tubete e outros), da forma que se segue: Empresa RAEM INDUSTRIA E 
COMERCIO LTDA, CNPJ: 03"," RAEM INDUSTRIA E 
COMERCIO LTDA",03.984.588/0001-53,"204.400,00","
PREGAO ELETRONICO PE No 056/2020
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de 
julgamento do pregao supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, 
cujo objeto o registro de precos para aquisicao de materiais para corte e ligacao de agua 
(junta, porca, tubete e outros), da forma que se segue: Empresa RAEM INDUSTRIA E 
COMERCIO LTDA, CNPJ: 03.984.588/0001-53, vencedora dos itens 1, 2, 3, 4, 5, 6, 7 e 8 
com o valor total de R$ 204.400,00"
29,974200," e Aquisicao de Sulfato de Aluminio Liquido e Solido, da forma que se segue: 
Empresa Bauminas Quimica Ltda, CNPJ:19", Bauminas Quimica Ltda,33.467.343/0001-10,"23.400.000,00","
PREGAO ELETRONICO PE No 028/2020
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de 
julgamento do pregao supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, 
cujo objeto e Aquisicao de Sulfato de Aluminio Liquido e Solido, da forma que se segue: 
Empresa Bauminas Quimica Ltda, CNPJ:19.525.278/0010-00, vencedora dos itens 1 e 2 
com o valor total de R$ 23.400.000,00; Empresa Vinne Comercio e Representacoes Eireli -
ME, CNPJ:28.277.654/0001-86, vencedora do item 3 com o valor total de R$ 
18.954.000,00; Empresa Pam Dias, CNPJ:33.467.343/0001-10, vencedora do item 4 com 
o valor total de R$ 4.446.000,00. Os itens 5 e 6 restaram fracassados ou desertos"
30,974200, Registro de precos, ARIADNER DA SILVA MESSIAS,28.642.042/0001-45,"2.119,40","
PREGAO ELETRONICO PE No 029/2020
Processo: 092.006845/2019. Objeto: Registro de precos. O Pregoeiro da CAESB no uso de 
suas atribuicoes, torna publico o resultado de julgamento do pregao supracitado, realizado no 
www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos para aquisicao 
de materiais para construcao e acabamento (adesivo estrutural, argamassa, corda, ferro para 
construcao e outros), da forma que se segue: Empresa ARIADNER DA SILVA MESSIAS, 
CNPJ: 27.204.689/0001-22, vencedora dos itens 15, 16, 17, 18, 79 e 80 com o valor total de 
R$ 2.119,40; Empresa COMERCIAL VANGUARDEIRA EIRELI, CNPJ: 10.942.831/0001-
36, vencedora dos itens 3 e 4 com o valor total de R$ 672,00; Empresa GRANDES 
MARCAS COMERCIO DE EQUIPAMENTOS LTDA, CNPJ: 14.396.046/0001-86, 
vencedora dos itens 23, 24, 63 e 64 com o valor total de R$ 9.612,00; Empresa ITACA 
EIRELI, CNPJ: 24.845.457/0001-65, vencedora dos itens 77 e 78 com o valor total de R$ 
428,40; Empresa NOVA ATACADISTA PARA CONSTRUCAO LTDA, CNPJ: 
26.392.294/0001-38, vencedora dos itens 1, 2, 5, 6, 13, 14, 21, 22, 27, 28, 29, 30, 31, 33, 34, 
35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51, 52, 55, 56, 57, 58, 59, 60, 61, 62, 65, 
66, 69, 70, 73, 74, 75, 76, 81, 82, 83 e 84 com o valor total de R$ 858.178,90 e Empresa RBS 
CONSTRUCAO E CONSERVACAO PREDIAL LTDA, CNPJ: 28.642.042/0001-45, 
vencedora do item 32 com o valor total de R$ 2.996,50. Os itens 7, 8, 9, 10, 11, 12, 19, 20, 
25, 26, 45, 46, 53, 54, 67, 68, 71 e 72 restaram fracassados ou desertos"
