,processo_gdf,modalidade_licitacao,numero_licitacao,data_escrito,text,labels
11,001-000631/2019,PREGAO ELETRONICO,,,"AVISO DE REVOGACAO DE LICITACAO PREGAO ELETRONICO No 17/2019 A Camara Legislativa do Distrito Federal informa a revogacao do certame em epigrafe , conforme decisao proferida no processo no 001-000631/2019 , cujo objeto e o Registro de Preco para eventual contratacao de empresa especializada em locacao , montagem e desmontagem de gradil de contencao e placas de fechamento para a Camara Legislativa do Distrito Federal . Mais informacoes : ( 61 ) 3348-8650 e cpl@cl.df.gov.br . Brasilia / DF , 15/07/2019 . Daniel Luchine Ishihara - Pregoeiro . ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
12,0011 3 . 0 0 0 1 3 8 8 2 / 2 0 1 9 - 2 3,PREGAO ELETRONICO,,15 de julho de 2019,"AVISO DE REVOGACAO PREGAO ELETRONICO No 35/2019 Objeto : aquisicao de material de consumo - CBUQ - concreto betuminoso usinado a quente - faixa c , conforme especificacoes e condicoes no anexo I do edital , Processo SEI no 0011 3 . 0 0 0 1 3 8 8 2 / 2 0 1 9 - 2 3 . Revogada a licitacao acima , conforme fundamentacao nos autos do processo . Brasilia / DF , 15 de julho de 2019 . CELIA MARIA SIQUEIRA LEAL Diretora ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O 
13,112.000.935/2017,,,15 de julho de 2019,"AVISO DE REVOGACAO Comunicamos aos interessados na Concorrencia no 010/2017 - ASCAL / PRES - do tipo menor preco unitario - para execucao de drenagem pluvial e pavimentacao asfaltica , intertravada e execucao de meio- fio no Setor de Habitacoes Coletivas Noroeste - Parque Burle Marx , em Brasilia - DF , que a mesma fica revogada por conveniencia administrativa , conforme fundamentado nos autos do processo no 112.000.935/2017 . Data da ultima publicacao no DODF no 75 , de 19 de abril de 2017 , pagina 37 . Para maiores informacoes ligar para o telefone ( 0xx61 ) 3403-2321 ou ( 0xx61 ) 3403-2322 . Brasilia / DF , 15 de julho de 2019 . DELCIMAR PIRES MARTINS Chefe da ASCAL / PRES ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O 
14,,,,12 de julho de 2019,"AVISOS DE REVOGACAO LICITACAO No 001-P01013/2018 A CEB Distribuicao S/A , por meio da Comissao Permanente de Licitacao - CPL , localizada no SIA Setor de Areas Publicas , Lote C , Bloco H , CEB - Brasilia-DF , torna publico que fica revogada a licitacao em epigrafe , relativa a CONTRATACAO DE OBRAS DE IMPLANTACAO DA LINHA AEREA DE DISTRIBUICAO EM 138kV ITAPOA x SOBRADINHO TRANSMISSAO . Demais informacoes , no horario das 8h as 12h e das 14h as 17h ou por meio dos telefones : 3465- 9012/9287 . Brasilia / DF , 12 de julho de 2019 MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O 
15,092.005465/2019,,,,"AVISO DE REVOGACAO LICITACAO PUBLICA NACIONAL - LPN 011/2019 A Caesb , no ambito de seu Programa de Saneamento Ambiental , financiado pelo Banco Interamericano de Desenvolvimento - BID , torna publico que a Licitacao Publica Nacional - LPN 011/2019 , processo no 092.005465/2019 , para execucao das Obras de Setorizacao e Adequacao de Redes nas localidades da Asa Sul , Cruzeiro , Asa Norte e Jardim Botanico , incluindo o fornecimento e Instalacao do Novo Booster , foi revogada por conveniencia administrativa . GILMAR PERES MONTEIRO Presidente da Comissao ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
16,00053-00009769/2019-41/,PREGAO ELETRONICO,,,"AVISO DE ANULACAO PREGAO ELETRONICO No 10/2019 PROCESSO : 00053-00009769/ 2019-41 / CBMDF . TIPO : Menor preco . OBJETO : Aquisicao de microscopio reto trinocular para realizacao das analises laboratoriais para o CBMDF . O DICOA informa a ANULACAO do certame , em razao da existencia de vicios insanaveis no certame . Esta aberto o prazo recursal na forma do Art. 109 , I , "" c "" , da Lei 8.666/1993 . Inf . : ( 61 ) 3901-3481 . Marcelo Teixeira Dantas . ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O B-processo_gdf I-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
17,00060-00123066/2018-91,PREGAO ELETRONICO,,,"AVISO DE REVOGACAO PREGAO ELETRONICO No 123/2019 - UASG 926119 A Pregoeira da Central de Compras torna publico aos interessados que , o procedimento licitatorio para contratacao de empresa especializada para a Operacao Logistica da cadeia de suprimentos , conforme especificacoes e quantitativos constantes no Anexo I do Edital , restou REVOGADO , nos termos do Processo no 00060-00123066/ 2018-91 e Art. 49 da Lei 8.666/93 , por decisao prolatada pelo Subsecretario de Administracao Geral , Antony Araujo Couto , e pelo Secretario de Estado de Saude , Osnei Okumoto , para atender as necessidades e demandas exigidas para o sistema de operacao logistica desta Pasta , bem como para conclusao de mapeamento da Cadeia de Suprimentos . MERITA SIMIONE BORGES ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
18,0052.002.099/2016,PREGAO ELETRONICO,,1o de agosto de 2019,"AVISO DE REVOGACAO PREGAO ELETRONICO No 14/2019 PROCESSO : 0052.002.099/2016 . OBJETO : Contratacao de servicos de solucao de impressao , copia e digitalizacao a fim de atender necessidades gerais e especificas das unidades policiais da PCDF . TIPO : Menor Preco . O ordenador de despesas da PCDF , de acordo com o artigo 109 1o da lei de licitacoes , torna publico aos licitantes e demais interessados que o certame supracitado foi revogado , devido a ocorrencia de falhas operacionais no Sistema COMPRASNET durante o tempo aleatorio para lances , com possibilidade de cerceamento da competitividade entre os licitantes , conforme decisao fundamentada no art. 49 , caput , assegurado o prazo previsto no art. 109 , inciso I , c , da Lei no 8.666/93 . A integra do documento esta disponivel no site www.pcdf.df.gov.br , link licitacoes . Maiores informacoes na CPL / PCDF fones : 3207-4071/4046 . Brasilia / DF , 1o de agosto de 2019 . SILVERIO ANTONIO MOITA DE ANDRADE Diretor ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O 
19,00410-00008137-27,PREGAO ELETRONICO,,08 de outubro de 2019,"AVISO DE REVOGACAO PREGAO ELETRONICO No 150/2018 - SRP - UASG 925041 Processo : 00410-00008137-27 - SEEC / DF . O pregoeiro comunica que o pregao acima citado foi revogado , com fulcro no art. 49 da Lei Federal n. o 8.666/93 e na Nota Tecnica no 27/2019 - AJL , acolhido pela Autoridade competente , devidamente fundamentado e constante dos autos . Maiores Informacoes : Coordenacoes de Licitacoes - COLIC / SEEC - DF , telefone : 0xx(61 ) 3313-8494 . Brasilia / DF , 08 de outubro de 2019 . EDSON DE SOUZA Coordenador ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O 
20,0392-0003741/2018- 69,,,26 de dezembro de 2018,"AVISO DE REVOGACAO EDITAL DE CONCORRENCIA N 12/2018 - CRIXA A Comissao Permanente de Licitacao - CPL / CODHAB comunica aos interessados que o Diretor- Presidente / CODHAB decidiu revogar o Edital de Concorrencia n 12/2018 , processo n.o 0392-0003741/2018- 69 cujo objeto e a contratacao de empresa para a execucao das obras de implantacao de infraestrutura externa ( sistemas de abastecimento de agua potavel e esgotamento sanitario , Drenagem e pavimentacao ) ao empreendimento situado no Bairro Crixas em Sao Sebastiao , uma vez que o objeto nao mais atende suas necessidades atuais , consubstanciando sua decisao no Despacho SEI-GDF CODHAB / PRESI / CPL devidamente fundamentado na Despacho SEI-GDF CODHAB / PRESI / SECEX e com fulcro no caput do art. 49 da Lei 8.666/93 e Sumula 473 do STF , estando o processo a disposicao no Portal de Sistema Eletronico de Informacoes - SEI . Fica assegurado o direito a ampla defesa e ao contraditorio , nos termos do 3o , art. 49 c / c a alinea "" c "" , inciso I do art. 109 , da citada Lei . Transcorrido o prazo concedido para a ampla defesa e o contraditorio sem manifestacao o ato da Revogacao restara consumado . Brasilia / DF , 26 de dezembro de 2018 GILSON PARANHOS D i r e t o r- P r e s i d e n t e ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O 
21,00367-00000579/2019-89,Carta Convite,,,AVISO DE ANULACAO DE LICITACAO - CARTA-CONVITE No 03/2019 Anulacao de procedimento licitatorio - Carta Convite n.o 03/2019 . Objeto : Contratacao de empresa para reforma da quadra poliesportiva do Bananal e Alto Bela Vista / Fercal-DF . Anulacao motivada por vicios na composicao de planilhas de precos . Processo : 00367-00000579/ 2019-89 . VICTOR GUILHERME TAVARES GOMES Secretario da CPL / RA XXXI ,O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O 
22,00053-00050726/2019-41/,PREGAO ELETRONICO,,,"AVISO DE ANULACAO PREGAO ELETRONICO No 37/2019 Processo No 00053-00050726/ 2019-41 / CBMDF . TIPO : Menor preco . OBJETO : Contratacao de empresa especializada para realizar servicos continuados de manutencao , reparo e reposicao de pecas e fluidos originais dos equipamentos e aparelhos odontologicos da Policlinica Odontologica do CBMDF , conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital . O DICOA informa a ANULACAO do item 6.8 do edital ; do item 5.8 do termo de referencia ; da tabela do item 5.6 do termo de referencia e a fase externa da licitacao do pregao em epigrafe , com fulcro no item 16.6 do edital c / c , art. 49 da Lei no 8.666/1993 , art. 29 do Decreto no 5.450/2005 e art. 53 da Lei no 9.784/1999 , em razao da existencia de vicios insanaveis no certame conforme aponta o Relatorio de Analise do Pregoeiro . Visto o art. 109 , I , "" c "" , da Lei 8.666/1993 , fica aberto o prazo recursal de 5 ( cinco ) dias uteis . Inf . : ( 61 ) 3901-3481 . MARCELO TEIXEIRA DANTAS Diretor ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O B-processo_gdf I-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
23,00112-00027937/2018-20,,,28 de novembro de 2019,"AVISO DE REVOGACAO Comunicamos aos interessados no Procedimento Licitatorio Presencial no 010/2019 - ASCAL / PRES , que o mesmo fica revogado por conveniencia administrativa , conforme fundamentado nos autos do Processo : 00112-00027937/ 2018-20 . Data da primeira publicacao no DODF no 190 , do dia 04 de outubro de 2019 - pagina 46 . Para maiores informacoes ligar para o telefone ( 0xx61 ) 3403-2321 ou ( 0xx61 ) 3403-2322 . Brasilia / DF , 28 de novembro de 2019 DELCIMAR PIRES MARTINS Chefe da Ascal / Pres ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O 
24,00392-00007567/2021-29,Pregão Eletrônico,,15 de fevereiro de 2022,"AVISO DE ANULAÇÃO DO PREGÃO ELETRÔNICO SRP Nº 07/2021 O DIRETOR-PRESIDENTE DA COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL , comunica aos interessados a ANULAÇÃO do Pregão Eletrônico nº 07/2021 , cujo objeto trata de contratação de empresa ou consórcio de empresas para prestação de serviços técnicos para a elaboração de estudos e projetos para regularização fundiária e urbana da Área de Interesse Social - ARIS Sol Nascente , para atender a Companhia de Desenvolvimento Habitacional do Distrito Federal CODHAB / DF , conforme descrito no Anexo I do Edital , referente ao processo 00392-00007567/ 2021-29 Destaque-se que está disponível no sistema Comprasnet o evento de Anulação do certame em 16/02/2022 , como procedimento para atendimento da Decisão 152/2022 TCDF . Brasília / DF , 15 de fevereiro de 2022 WELLINGTON LUIZ ",O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O 
