,numero_contrato,processo_gdf,data_escrito,text,labels
10,130/2018-SES,00060-00533257/2018-67,20/11/2019,"Especie : Primeiro Termo Aditivo ao Contrato no 130/ 2018-SES / DF . SIGGO : 38093 . Partes : DISTRITO FEDERAL , por intermedio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a empresa PRIME HOME CARE ASSISTENCIA MEDICA DOMICILIAR LTDA . CNPJ no 16.739.984/ 0001-67 . Objeto : Prorrogar o prazo de vigencia do Ajuste , por mais 12 ( doze ) meses , a contar de 21/11/2019 a 21/11/2020 , com base no Inciso II , Art. 57 da Lei n 8.666/93 ; O reajuste solicitado pela contratada na Carta n 041/2019 ( 30778075 ) , sera analisado posteriormente . Vigencia : a contar da assinatura . Dotacao Orcamentaria : Unidade Orcamentaria : 23901 . Programa de Trabalho : 10302620260520003 . Natureza da Despesa : 339039 . Fonte de Recursos : 138003467 . Nota de Empenho : 2019NE09716 . Valor de empenho inicial : R$ 1.400.784,07 ( um milhao e quatrocentos mil e setecentos e oitenta e quatro reais e sete centavos ) . Emitido em 20/11/2019 . Sob o evento : 400091 . Na modalidade : Global . Despesa de Publicacao : SES . Processo no : 00060-00533257/ 2018-67 . Data de Assinatura : 20/11/2019 . Pela SES / DF : OSNEI OKUMOTO . Pela contratada : FAUSE NABIL EL HAJE e MARIELA SOUZA DE JESUS . Testemunhas : HELBERTH GONCALVES MACAU e CAMILA CALVET GUIMARAES . Publicacao do Ajuste Original : 23/11/2018 . ",O O O O O O O O B-numero_contrato I-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
11,033/2017,0063-000319/2016,20 de dezembro de 2019,"SEXTO TERMO ADITIVO AO CONTRATO No 033/2017 - NCC / CODAG / FHB Contratante : FUNDACAO HEMOCENTRO DE BRASILIA - CNPJ 86.743.457/ 0001-01 , Contratada : IMAGEX MATERIAL HOSPITALAR E DIAGNOSTICOS EIRELI - CNPJ / MF No 19.723.754/ 0001-06 . Objeto : prorrogar a entrega da 2a parcela do "" ANTIGENO DE VON WILLEBRAND EM PLASMA CITRATADO - item 16 "" e da 3a parcela do "" DETERMINACAO IMUNOTURBIDIMETRICA DO COFATOR DE RISTICETINA DO VON WILLEBRAND - item 17 "" para ate o dia 29/11/2019 , com esteio no 1 do Art. 57 da Lei n 8.666/93 e suprimir a 2a parcela do "" CONJUNTO COMPLETO DE PLASMA DEFICIENTE EM FATOR VIII - item 7 "" . Processo : 0063-000319/2016 . Valor do Contrato : R$ 263.087,49 . Vigencia : a partir da data de sua assinatura . Assinam em 20 de dezembro de 2019 , pela Contratante : Barbara de Jesus Simoes , Diretora-Presidente , e pela Contratada : Rodolfo de Aquino Gerbassi . FUNDACAO DE ENSINO E PESQUISA EM CIENCIAS DA SAUDE ",O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
12,124/2014,0080-003251/2013,18/12/2019,"EXTRATO DO 5o TERMO ADITIVO AO CONTRATO No 124/2014 Processo : 0080-003251/2013 - Partes : SEEDF X MULTH TEC ASSISTENCIA E COMERCIO DE MAQUINAS LTDA . Objeto : a prorrogacao excepcional do prazo de vigencia do Contrato no 124/2014 por mais 12 ( doze ) meses , com base no art. 57 , II c / c 4o , da Lei no 8.666/93 . Unidade Orcamentaria : 18101 . Programa de Trabalho : 12.122.6002.8517.0036 . Natureza da Despesa : 3.3.90.39 . Fonte de Recursos : 100 . Nota de Empenho : no 2019NE05774 , no valor de R$ 18.283,93 ( dezoito mil duzentos , oitenta e tres reais e noventa e tres centavos ) , emitida em 16/12/2019 . Evento : 400091 . Modalidade : Estimativo . Valor total do Termo Aditivo : R$ 735.748,95 ( setecentos e trinta e cinco mil setecentos e quarenta e oito reais e noventa e cinco centavos ) . Vigencia : de 19/12/2019 ate 18/12/2020 . Assinatura : 18/12/2019 . Assinantes : Pela SEEDF : LEONARDO HENRIQUE CAMPOS GOUVEIA PINTO . Pela MULTH TEC : WASHINGTON LUIZ BORGES DE LIMA . ",O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O 
13,52/2017,0800-003182/2016,13/12/2019,"EXTRATO DO 2o TERMO ADITIVO AO CONTRATO No 52/2017 Processo : 0800-003182/2016 - Partes : SEEDF X OI S/A - EM RECUPERACAO JUDICIAL . Objeto : a alteracao contratual com vistas a registrar a prorrogacao da vigencia contratual por mais 12 ( doze ) meses , bem como o reajuste de 6,56 % ( seis virgula cinquenta e seis por cento ) , nos termos do inciso XI , art.40 e do inciso III , art. 55 da Lei no 8.666/93 , da Lei 10.192/2001 e da Justificativa , passando o Contrato a ter o valor total de R$ 2.518.382,10 ( dois milhoes , quinhentos e dezoito mil , trezentos e oitenta e dois reais e dez centavos ) . Unidade Orcamentaria : 18101 . Programa de Trabalho : 12.361.6221.2389.0001 . Natureza da Despesa : 3.3.90.39 . Fonte de Recursos : 103 . Nota de Empenho : no 2019NE05695 , no valor de R$ 118.923,59 ( cento e dezoito mil , novecentos e vinte e tres reais e cinquenta e nove centavos ) , emitida em 11/12/2019 . Evento : 400091 . Modalidade : Estimativo . Valor total do Termo Aditivo : R$ 2.518.382,10 ( dois milhoes , quinhentos e dezoito mil , trezentos e oitenta e dois reais e dez centavos ) . Vigencia : de 15/12/2019 a 14/12/2020 . Assinatura : 13/12/2019 . Assinantes : Pela SEEDF : LEONARDO HENRIQUE CAMPOS GOUVEIA PINTO . Pela OI S/A : IVANILDE ROSA BEZERRA E DAVI DE OLIVEIRA BERTUCCI . ",O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O 
14,62/2015,00053-SEI040413/2015,02/12/2019:,"EXTRATO DO QUARTO TERMO ADITIVO AO CONTRATO No 62/2015 PRESTACAO DE SERVICOS Processo : 00053-SEI040413/2015 . Partes : CBMDF X VITALAB COMERCIO DE PRODUTOS PARA LABORATORIO LTDA . , CNPJ no 08.767.786/ 0001-89 . Objeto : prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses . UO : 73901 . PT : 28845090300FM0053 . ND : 339039 . FR : 100 ( FCDF ) . Prazo de Vigencia : O presente Termo Aditivo entra em vigencia a partir de 10/12/2019 . Data da Assinatura : 02/12/2019 : Signatarios : Pela Contratante : Ten-Cel . QOBM / Comb . Helio Pereira Lima , na qualidade de Diretor de Contratacoes e Aquisicoes do CBMDF em exercicio e pela Contratada : Silvio Henrique Santarem Rodrigues , na qualidade de Representante Legal . ",O O O O O O O O B-numero_contrato O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
15,62/2016,02.558.157/0001-62,26/11/2019:,"EXTRATO DO TERCEIRO TERMO ADITIVO AO CONTRATO No 62/2016 PRESTACAO DE SERVICOS Processo : SEI-053-082340/2016 . Partes : CBMDF X TELEFONICA BRASIL S / A. , CNPJ no 02.558.157/ 0001-62 . Objeto : prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses . UO : 73901 . PT : 28845090300NR0053 . ND : 339039 . FR : 100 ( FCDF ) . Prazo de Vigencia : O presente Termo Aditivo entra em vigencia a partir de 26/12/2019 . Data da Assinatura : 26/11/2019 : Signatarios : Pela Contratante : Ten-Cel . QOBM / Comb . Helio Pereira Lima , na qualidade de Diretor de Contratacoes e Aquisicoes do CBMDF em exercicio e pela Contratada : Wellington Xavier da Costa e Carlota Braga de Assis Lima , na qualidade de Representantes Legais . ",O O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
16,51/2017,00053-00052326/2017-16,03/12/2019:,"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO No 51/2017 PRESTACAO DE SERVICOS Processo : 00053-00052326/ 2017-16 . Partes : CBMDF X CRUZEIRO SERVICOS TECNICOS EIRELI - ME , CNPJ no 22.575.793/ 0001-00 . Objeto : prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses . UO : 73901 . PT : 28845090300NR0053 . ND : 339039 . FR : 100 ( FCDF ) . Prazo de Vigencia : O presente Termo Aditivo entra em vigencia a partir de 26/12/2019 . Data da Assinatura : 03/12/2019 : Signatarios : Pela Contratante : Ten-Cel . QOBM / Comb . Helio Pereira Lima , na qualidade de Diretor de Contratacoes e Aquisicoes do CBMDF em exercicio e pela Contratada : Eder Jesus Pereira de Oliveira , na qualidade de Representante Legal . ",O O O O O O O O B-numero_contrato O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
17,53/2016,02.278.922/0001-90,13/12/2019:,"EXTRATO DO TERCEIRO TERMO ADITIVO AO CONTRATO No 53/2016 PRESTACAO DE SERVICOS Processo : SEI-053-028606/2016 . Partes : CBMDF X MEDICA PRO - MEDICA PRODUTOS HOSPITALARES LTDA . , CNPJ no 02.278.922/ 0001-90 . Objeto : prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses . UO : 73901 . PT : 28845090300FM0053 . ND : 339030 . FR : 100 ( FCDF ) . Prazo de Vigencia : O presente Termo Aditivo entra em vigencia a partir de 15/12/2019 . Data da Assinatura : 13/12/2019 : Signatarios : Pela Contratante : Ten-Cel . QOBM / Comb . Helio Pereira Lima , na qualidade de Diretor de Contratacoes e Aquisicoes do CBMDF em exercicio e pela Contratada : Fernando Antonio Barata Junior , na qualidade de Representante Legal . ",O O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
18,16/2017,00053-00035946/2017-82,05/12/2019:,"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO No 16/2017 PRESTACAO DE SERVICOS Processo : 00053-00035946/ 2017-82 . Partes : CBMDF X REABILITARTE CLINICA DE FISIOTERAPIA LTDA EPP , CNPJ no 11.023.583/ 0001-92 . Objeto : prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses . UO : 73901 . PT : 28845090300FM0053 . ND : 339039 . FR : 100 ( FCDF ) . Prazo de Vigencia : O presente Termo Aditivo entra em vigencia a partir de 05/12/2019 . Data da Assinatura : 05/12/2019 : Signatarios : Pela Contratante : Ten-Cel . QOBM / Comb . Helio Pereira Lima , na qualidade de Diretor de Contratacoes e Aquisicoes do CBMDF em exercicio e pela Contratada : Pedro Rosa de Oliveira , na qualidade de Representante Legal . ",O O O O O O O O B-numero_contrato O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
19,01/2017,0094-001014/2016,; 19/12/2019,"EXTRATO DO QUINTO TERMO ADITIVO AO CONTRATO No 01/2017 Processo : 0094-001014/2016 PARTES : Servico de Limpeza Urbana do Distrito Federal SLU / DF e a COMISSAO JOVEM GENTE COMO A GENTE , CNPJ no 00.568.444/ 0001-28 . OBJETO : PRORROGACAO do prazo de vigencia do Contrato no 01/2017 por 12 ( doze ) meses , de 03 janeiro de2020 a 02 de janeiro de 2021 , com base no inciso II , do art. 57 da Lei no 8.666/1993 . DATA DE ASSINATURA ; 19/12/2019 . VIGENCIA : De 03 janeiro de 2020 a 02 de janeiro de 2021 . SIGNATARIOS : pelo SLU / DF , FELIX ANGELO PALAZZO , Diretor Presidente e LUCIANA GIFFONI RODRIGUES PADILHA , Diretora de Administracao e Financas e , pela CON T R ATA D A : CARMEM LUCIA MALAQUIAS , Representante legal . ",O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
