dodf,num_doc_dodf,data_doc_dodf,ato,texto_ato,hierarquia_lotacao,orgao,motivo,nome,matricula,cargo_efetivo,vigencia,matricula_SIAPE,cargo_comissionado,simbolo,a_pedido_ou_nao,IOB
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por ter sido nomeada para outro cargo, VERUSKA ALVES DELIMA E SILVA do Cargo de Natureza Especial, Simbolo CNE-05, de Assessor Especial, da Subsecretaria de Politicas para Criancas, da Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal, a contar de 21 de janeiro de 2015.",Subsecretaria de Politicas para Criancas,"Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal",por ter sido nomeada para outro cargo,VERUSKA ALVES DELIMA E SILVA,,,21 de janeiro de 2015,,Assessor Especial,CNE-05,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome I-nome O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O O O O B-vigencia I-vigencia I-vigencia I-vigencia I-vigencia O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR GIOVANNA DE LIMA FURONI do Cargo em Comissao, Simbolo DFG-13, de Chefe, da Unidade de Apoio Administrativo do Conselho Tutelar do Lago Norte, da Coordenacao das Unidades de Apoio Tecnico e Administrativo aos Conselhos Tutelares, da Subsecretaria de Protecao da Crianca e do Adolescente, da Secretaria de Estado de Politicas para Criancas, Adolescentes centes e Juventude do Distrito Federal.","Unidade de Apoio Administrativo do Conselho Tutelar do Lago Norte, da Coordenacao das Unidades de Apoio Tecnico e Administrativo aos Conselhos Tutelares, da Subsecretaria de Protecao da Crianca e do Adolescente","Secretaria de Estado de Politicas para Criancas, Adolescentes centes e Juventude do Distrito Federal",,GIOVANNA DE LIMA FURONI,,,,,Chefe,DFG-13,,O B-nome I-nome I-nome I-nome O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o ST QPPMC ALEXANDRE SCHMIDT DE CASTRO, matricula 21.659-3, do Cargo de Assessor Tecnico, da Ajudancia Geral, do Gabinete, da Casa Militar, da Governadoria do Distrito Federal, bem como cessar o pagamento da Gratificacao Militar de Seguranca Institucional, GMSI-2, nos termos do Artigo 1o, 1o, da Lei no 5.007, de 21 de dezembro de 2012.","Ajudancia Geral, do Gabinete","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,ST QPPMC ALEXANDRE SCHMIDT DE CASTRO,21.659-3,,,,Assessor Tecnico,,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeada para outro cargo, a CAP QOPM ISABELA CRISTINA DE SOUZA ALMEIDA, matricula 50.942-6, do Cargo de Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Assessoria de Gestao da Estrategia e de Projetos, do Gabinete, da Casa Militar, da Governadoria do Distrito Federal.","Assessoria de Gestao da Estrategia e de Projetos, do Gabinete","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeada para outro cargo,CAP QOPM ISABELA CRISTINA DE SOUZA ALMEIDA,50.942-6,,,,Assessor Especial,CNE-07,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o ST QPPMC MARCELLO DELGADO DE MAGALHAES, matricula 09.831-0, do Cargo de Assessor Tecnico, do Nucleo de Contratos, da Gerencia de Planejamento e Gestao de Contratos, da Diretoria de Financas, da Subchefia de Administracao nistracao Geral, da Casa Militar, da Governadoria do Distrito Federal, bem como cessar o pagamento da Gratificacao Militar de Seguranca Institucional, GMSI-2, nos termos do Artigo 1o, 1o, da Lei no 5.007, de 21 de dezembro de 2012.","Nucleo de Contratos, da Gerencia de Planejamento e Gestao de Contratos, da Diretoria de Financas, da Subchefia de Administracao nistracao Geral","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,ST QPPMC MARCELLO DELGADO DE MAGALHAES,09.831-0,Cargo de Assessor Tecnico,,,,,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O B-cargo_efetivo I-cargo_efetivo I-cargo_efetivo I-cargo_efetivo O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o 1o SGT QBMG-1 UILTON ALVES DOS SANTOS, matricula 1402474, do Cargo de Seguranca de Instalacoes, do Nucleo de Equipes, da Gerencia de Seguranca, da Diretoria de Seguranca de Instalacoes, da Coordenacao de Seguranca, da Subchefia de Operacoes de Seguranca, da Casa Militar, da Governadoria do Distrito Federal,","Nucleo de Equipes, da Gerencia de Seguranca, da Diretoria de Seguranca de Instalacoes, da Coordenacao de Seguranca, da Subchefia de Operacoes de Seguranca","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,1o SGT QBMG-1 UILTON ALVES DOS SANTOS,1402474,,,,Seguranca de Instalacoes,,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O B-cargo_comissionado I-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR ADRIANA SILVA CARNEIRO do Cargo em Comissao, Simbolo DFG-14, de Chefe, do Nucleo de Controle Contabil, da Gerencia de Execucao Orcamentaria e Financeira, da Diretoria de Financas, da Subchefia de Administracao Geral, da Casa Militar, da Governadoria do Distrito Federal.","Nucleo de Controle Contabil, da Gerencia de Execucao Orcamentaria e Financeira, da Diretoria de Financas, da Subchefia de Administracao Geral","Casa Militar, da Governadoria do Distrito Federal",,ADRIANA SILVA CARNEIRO,,,,,Chefe,DFG-14,,O B-nome I-nome I-nome O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeada para outro cargo, BIANCA FLORES AMORIM DOS REIS do Cargo em Comissao, Simbolo DFA-14, de Assessor, da Unidade de Controle Interno, do Gabinete, da Casa Militar, da Governadoria do Distrito Federal.","Unidade de Controle Interno, do Gabinete","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeada para outro cargo,BIANCA FLORES AMORIM DOS REIS,,,,,Assessor,DFA-14,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome I-nome O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o MAJ QOBM/Comb. PEDRO ANIBAL CAIXETA JUNIOR, matricula 1400033, do Cargo de Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Unidade de Controle Interno, do Gabinete, da Casa Militar, da Governadoria do Distrito Federal.","Unidade de Controle Interno, do Gabinete","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,MAJ QOBM/Comb. PEDRO ANIBAL CAIXETA JUNIOR,1400033,,,,Assessor Especial,CNE-07,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o 2o SGT QPPMC WILLIANS PEREIRA DE SOUZA, matricula 14.654-4, do Cargo de Assessor Tecnico, do Nucleo de Seguranca e Credenciamento, ciamento, da Diretoria de Credenciamento e Controle da Informacao, da Subchefia de Seguranca da Informacao e Comunicacao, da Casa Militar, da Governadoria do Distrito Federal, bem como cessar o pagamento da Gratificacao Militar de Seguranca Institucional, GMSI-2, nos termos do Artigo 1o, 1o, da Lei no 5.007, de 21 de dezembro de 2012.","Nucleo de Seguranca e Credenciamento, ciamento, da Diretoria de Credenciamento e Controle da Informacao, da Subchefia de Seguranca da Informacao e Comunicacao","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,SGT QPPMC WILLIANS PEREIRA DE SOUZA,14.654-4,,,,Assessor Tecnico,,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O O B-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, o 1o TEN QOPMA MARCIO BARBOSA COUTINHO, matricula 08.702-5, do Cargo de Chefe, do Nucleo de Pagamento, da Gerencia de Execucao Orcamentaria e Financeira, da Diretoria de Financas, da Subchefia de Administracao Geral, da Casa Militar, da Governadoria do Distrito Federal, bem como cessar o pagamento da Gratificacao Militar de Seguranca Institucional, GMSI-3, nos termos do Artigo 1o, 1o, da Lei no 5.007, de 21 de dezembro de 2012.","Nucleo de Pagamento, da Gerencia de Execucao Orcamentaria e Financeira, da Diretoria de Financas, da Subchefia de Administracao Geral","Casa Militar, da Governadoria do Distrito Federal",por estar sendo nomeado para outro cargo,1o TEN QOPMA MARCIO BARBOSA COUTINHO,08.702-5,,,,Chefe,,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O O B-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O O O O O O O O O O O O O O O O O O O B-nome O B-nome O O O O O O O O O O O O O
