dodf,num_doc_dodf,data_doc_dodf,ato,texto_ato,hierarquia_lotacao,orgao,nome,matricula,cargo_efetivo,matricula_SIAPE,cargo_comissionado,simbolo,IOB
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR MARIO ZAN CARDOSO DA ANUNCIACAO para exercer o Cargo em Comissao, Simbolo DFG-12, de Chefe, do Nucleo de Cultura, Esporte e Lazer, da Gerencia de Articulacao, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Cultura, Esporte e Lazer, da Gerencia de Articulacao, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,MARIO ZAN CARDOSO DA ANUNCIACAO,,,,Chefe,DFG-12,O B-nome I-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR DAVI EMANUEL GUIMARAES RODRIGUES para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, do Nucleo de Agricultura, da Gerencia de Articulacao, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Agricultura, da Gerencia de Articulacao, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,DAVI EMANUEL GUIMARAES RODRIGUES,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR HERIBERTO GUIMARAES RODRIGUES para exercer o Cargo em Comissao, Simbolo bolo DFA-17, de Assessor, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.",Coordenadoria de Administracao Geral,Administracao Regional de Brazlandia do Distrito Federal,HERIBERTO GUIMARAES RODRIGUES,,,,Assessor,DFA-17,O B-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR GEOVANI BATISTA FERREIRA para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, da Gerencia de Administracao, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.","Gerencia de Administracao, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,GEOVANI BATISTA FERREIRA,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ROBERT SILVA BARBOSA para exercer o Cargo em Comissao, Simbolo DFA-08, de Assessor Tecnico, da Gerencia de Administracao, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.","Gerencia de Administracao, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,ROBERT SILVA BARBOSA,,,,Assessor Tecnico,DFA-08,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ALEXSANDRO GONCALVES BARRETO para exercer o Cargo em Comissao, Simbolo DFA-06, de Assessor Tecnico, da Gerencia de Administracao, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal","Gerencia de Administracao, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,ALEXSANDRO GONCALVES BARRETO,,,,Assessor Tecnico,DFA-06,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR YEDA PEREIRA DA SILVA, matricula 38712-6, para exercer o Cargo em Comissao, Simbolo DFA-06, de Assessor Tecnico, do Nucleo de Atendimento e Protocolo, da Gerencia de Administracao, ministracao, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Atendimento e Protocolo, da Gerencia de Administracao, ministracao, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,YEDA PEREIRA DA SILVA,38712-6,,,Assessor Tecnico,DFA-06,O B-nome I-nome I-nome I-nome O O B-matricula O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR GUSTAVO GOMES FERNANDES para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, do Nucleo de Informatica, da Gerencia de Administracao, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Informatica, da Gerencia de Administracao, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,GUSTAVO GOMES FERNANDES,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR VERONICA RIBEIRO SOARES DE MORAIS para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, da Gerencia de Pessoas, da Coordenadoria de Administracao Geral, da Administracao Regional de Brazlandia do Distrito Federal.","Gerencia de Pessoas, da Coordenadoria de Administracao Geral",Administracao Regional de Brazlandia do Distrito Federal,VERONICA RIBEIRO SOARES DE MORAIS,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR CRISTIA CORREA DE LIMA para exercer o Cargo de Natureza Especial, Simbolo CNE-5, de Coordenador, da Coordenadoria de Administracao Geral, da Administracao Regional do Itapoa do Distrito Federal.",Coordenadoria de Administracao Geral,Administracao Regional do Itapoa do Distrito Federal,CRISTIA CORREA DE LIMA,,,,Coordenador,CNE-5,O B-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ALINE RIBEIRO SORRENTINO para exercer o Cargo de Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Assessoria Especial, do Gabinete, da Administracao Regional do Itapoa do Distrito Federal.","Assessoria Especial, do Gabinete",Administracao Regional do Itapoa do Distrito Federal,ALINE RIBEIRO SORRENTINO,,,,Assessor Especial,CNE-07,O B-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
